"ColumnName","Value","Units","UnitsType","Expression","Notes"
"FPD175Bored","10.65","mm","length","Exp1 AND Exp2 AND Exp4 AND Exp18","Bore d = 10.65 mm"
"FPD175Bored","16.37","mm","length","Exp1 AND Exp2 AND Exp5 AND Exp18","Bore d = 16.37 mm"
"FPD175Bored","20.99","mm","length","Exp1 AND Exp2 AND Exp6 AND Exp18","Bore d = 20.99 mm"
"FPD175Bored","31.17","mm","length","Exp1 AND Exp2 AND Exp7 AND Exp18","Bore d = 31.17 mm"
"FPD175Bored","40.9","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp18","Bore d = 40.9 mm"
"FPD175Bored","61.63","mm","length","Exp1 AND Exp2 AND Exp9 AND Exp18","Bore d = 61.63 mm"
"FPD175Bored","81.1","mm","length","Exp1 AND Exp2 AND Exp10 AND Exp18","Bore d = 81.1 mm"
"FPD175Bored","101.82","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp18","Bore d = 101.82 mm"
"FPD175Bored","121.31","mm","length","Exp1 AND Exp2 AND Exp12 AND Exp18","Bore d = 121.31 mm"
"FPD175Bored","133.34","mm","length","Exp1 AND Exp2 AND Exp13 AND Exp18","Bore d = 133.34 mm"
"FPD175Bored","152.4","mm","length","Exp1 AND Exp2 AND Exp14 AND Exp18","Bore d = 152.4 mm"
"FPD175Bored","171.46","mm","length","Exp1 AND Exp2 AND Exp15 AND Exp18","Bore d = 171.46 mm"
"FPD175Bored","190.48","mm","length","Exp1 AND Exp2 AND Exp16 AND Exp18","Bore d = 190.48 mm"
"FPD175Bored","229.86","mm","length","Exp1 AND Exp2 AND Exp17 AND Exp18","Bore d = 229.86 mm"
"FPD175Bored","17.32","mm","length","Exp1 AND Exp2 AND Exp4 AND Exp19","Bore d = 17.32 mm"
"FPD175Bored","26.61","mm","length","Exp1 AND Exp2 AND Exp5 AND Exp19","Bore d = 26.61 mm"
