"CharacteristicCode_Logic","Active","Description","Bore_mm","MassEquation_kg"
"(CH/FPD175/METER/SIZE=025)",True,"1""",26.64,"6"
"(CH/FPD175/METER/SIZE=040)",True,"1½""",40.89,"6"
"(CH/FPD175/METER/SIZE=050)",True,"2""",52.5,"6"
"(CH/FPD175/METER/SIZE=080)",True,"3""",77.93,"7"
"(CH/FPD175/METER/SIZE=100)",True,"4""",102.26,"8"
"(CH/FPD175/METER/SIZE=150)",True,"6""",154.05,"9"
"(CH/FPD175/METER/SIZE=200)",True,"8""",202.72,"11"
"(CH/FPD175/METER/SIZE=250)",True,"10""",254.51,"13"
"(CH/FPD175/METER/SIZE=300)",True,"12""",303.23,"15"
"(CH/FPD175/METER/SIZE=350)",True,"14""",333.34,"18"
"(CH/FPD175/METER/SIZE=400)",True,"16""",381,"21"
"(CH/FPD175/METER/SIZE=450)",True,"18""",428.66,"26"
"(CH/FPD175/METER/SIZE=500)",True,"20""",476.2,"29"
"(CH/FPD175/METER/SIZE=600)",True,"24""",574.64,"36"
