"ProductCode","SelectionGroup","PartNumber","Order","Active","DefaultItem","Cost","ExclusionRule","Name","Description","AdditionalData","InShortenedList"
"FPD170","CH/FPD/PRODUCT/DES","C1",1,True,False,0,"","Split Ring Orifice Plate Carrier","Split Ring Orifice Plate Carrier",,False
"FPD170","CH/FPD/PRODUCT/DES","C2",2,True,False,0,"","Integral Orifice Plate Carrier","Integral Orifice Plate Carrier",,False
"FPD170","CH/FPD/CUST/STD","A1",1,True,False,0,"","Standard","Standard",,False
"FPD170","CH/FPD/CUST/STD","A2",2,True,False,999999,"","Aramco Standard","Aramco Standard",,False
"FPD170","CH/FPD/CUST/STD","S1",3,True,False,0,"","Shell Standard","Shell Standard",,False
"FPD170","CH/FPD/ORIFICE/DESIGN","C2",1,True,False,0,"","Concentric square edged - Flange taps","Concentric square edged - Flange taps",,False
"FPD170","CH/FPD/ORIFICE/DESIGN","C1",2,True,False,0,"","Concentric square edged - Corner taps","Concentric square edged - Corner taps",,False
"FPD170","CH/FPD/ORIFICE/DESIGN","L1",4,True,False,0,"","Conical entrance - Corner taps","Conical entrance - Corner taps",,False
"FPD170","CH/FPD/ORIFICE/DESIGN","E1",5,True,False,0,"","Eccentric - Corner taps","Eccentric - Corner taps",,False
"FPD170","CH/FPD/ORIFICE/DESIGN","E2",6,True,False,0,"","Eccentric - Flange taps 90°","Eccentric - Flange taps 90°",,False
"FPD170","CH/FPD/ORIFICE/DESIGN","E3",7,True,False,0,"","Eccentric - Flange taps 180°","Eccentric - Flange taps 180°",,False
"FPD170","CH/FPD/ORIFICE/DESIGN","U1",8,True,False,0,"","Quarter circle - Corner taps","Quarter circle - Corner taps",,False
"FPD170","CH/FPD/ORIFICE/DESIGN","U2",9,True,False,0,"","Quarter circle - Flange taps","Quarter circle - Flange taps",,False
"FPD170","CH/FPD/ORIFICE/DESIGN","S2",10,True,False,999999,"","Segmental - Flange taps","Segmental - Flange taps",,False
"FPD170","CH/FPD/ORIFICE/DESIGN","C5",11,True,False,0,"CH/FPD/CUST/STD=A2 OR CH/FPD/CUST/STD=S1","Multi-Hole - Flange taps","Multi-Hole - Flange taps",,False
"FPD170","CH/FPD/ORIFICE/DESIGN","C6",12,True,False,0,"CH/FPD/CUST/STD=A2 OR CH/FPD/CUST/STD=S1","Multi-Hole - Corner taps","Multi-Hole - Corner taps",,False
"FPD170","CH/FPD/LINE/SIZE","025",3,True,False,0,"CH/FPD/ORIFICE/DESIGN=C2 OR CH/FPD/ORIFICE/DESIGN=E1 OR CH/FPD/ORIFICE/DESIGN=E2 OR CH/FPD/ORIFICE/DESIGN=E3","DN 25 (1 in.)","DN 25 (1 in.)","1""",False
"FPD170","CH/FPD/LINE/SIZE","032",4,True,False,0,"CH/FPD/ORIFICE/DESIGN=C2 OR CH/FPD/ORIFICE/DESIGN=E1 OR CH/FPD/ORIFICE/DESIGN=E2 OR CH/FPD/ORIFICE/DESIGN=E3","DN 32 (1¼ in.)","DN 32 (1¼ in.)","1¼""",False
