"ProductCode","SelectionGroup","GrpOrder","InProductCode","MustSelect","SingleSelection","SpecialGroup","MustSelectRule","Name","Description"
"FPD170","CH/FPD/PRODUCT/DES",1,True,True,True,6,"","Product Design",""
"FPD170","CH/FPD/CUST/STD",2,True,True,True,0,"","Customer-specific Design",""
"FPD170","CH/FPD/ORIFICE/DESIGN",3,True,True,True,7,"","Orifice Design",""
"FPD170","CH/FPD/LINE/SIZE",4,True,True,True,4,"","Line Nominal Bore",""
"FPD170","CH/FPD/PIPE/SCH",5,True,True,True,5,"","Pipe Schedule",""
"FPD170","CH/FPD/NONELEM/MAT",6,True,True,True,2,"","Carrier Material",""
"FPD170","CH/FPD/ELEM/MAT",7,True,True,True,3,"","Orifice Plate Material",""
"FPD170","CH/FPD/PLATE/THICK",8,True,True,True,0,"","Orifice Plate Thickness",""
"FPD170","CH/FPD/END/CONN/TYPE",9,True,True,True,24,"","Flange Type",""
"FPD170","CH/FPD/END/CONN/RAT",10,True,True,True,10,"","Flange Rating",""
"FPD170","CH/FPD/GASKET",11,True,False,True,0,"CH/FPD/PRODUCT/DES=C1","Gasket Material",""
"FPD170","CH/FPD/ORI/SEALING/FACE",12,True,False,True,0,"","Orifice Sealing Face",""
"FPD170","CH/FPD/DRAIN/VENT",13,True,False,True,21,"","Drain/Vent Hole",""
"FPD170","CH/FPD/DRAIN/VENT/SIZE",14,True,False,True,22,"","Drain/Vent Hole Size",""
"FPD170","CH/FPD/SURFACE/TREAT",15,True,False,False,0,"","Surface Treatment",""
"FPD170","CH/FPD/TAPPING/TYPE",16,True,True,True,0,"","Tapping Type",""
"FPD170","CH/FPD/TAPPING/RAT",17,True,True,True,0,"","Tapping Rating",""
"FPD170","CH/FPD/TAPPING/SIZE",18,True,True,True,0,"","Tapping Size",""
"FPD170","CH/FPD/TAPPING/SETS",19,True,True,True,0,"","Tapping Sets",""
"FPD170","CH/FPD/TAPPING/ORIENT",20,True,False,True,0,"","Tapping Orientation",""
"FPD170","CH/FPD/CERTIFICATION",21,True,False,False,0,"","Certification",""
"FPD170","CH/FPD/TESTING",22,True,False,False,0,"","Testing",""
"FPD170","CH/FPD/DOC/LANG",23,True,False,False,0,"","Documentation Language (default = English)",""
"FPD170","CH/FPD/ADD/REQ",24,True,False,False,0,"","Added Requirements",""
"FPD170","CH/FPD/TAB/HANDLE",25,True,False,True,0,"","Tab Handle",""
"FPD170","Calculation Type",99,False,True,True,20,"","Calculation Type","Calculation Type,,,,,,,,,,"
"FPD175","CH/FPD175/MODEL/DESIGN",1,True,True,True,6,"","Model and design level",""
"FPD175","CH/FPD175/METER/SIZE",2,True,True,True,4,"","Meter size",""
"FPD175","CH/FPD175/FLUID",3,True,True,True,1,"","Fluid",""
"FPD175","CH/FPD175/BETA/RATIO",4,True,True,True,40,"","Beta ratio",""
"FPD175","CH/FPD175/PRESS/RAT",5,True,True,True,0,"","Pressure rating",""
"FPD175","CH/FPD175/MANIFOLD",6,True,True,True,0,"","Manifold",""
"FPD175","CH/FPD175/ORIEN",7,True,True,True,0,"","Pipeline orientation",""
"FPD175","CH/FPD175/TEMP/ELEM",8,True,False,True,0,"","Temperature element",""
"FPD175","CH/FPD175/CERTIFICATE",9,True,False,False,0,"","Certificates",""
"FPD175","CH/FPD175/DOC/LANG",10,True,False,False,0,"","Documentation language",""
"FPD175","CH/FPD175/TX/MTG",11,True,False,True,0,"CH/FPD175/FLUID=S2","Transmitter mounting",""
"FPD175","CH/FPD175/FIT/TX",12,True,False,True,0,"","Fitted transmitter",""
"FPD175","OriMasterMaterial",19,False,True,True,2,"","Material","Material,,,,,,,,,,"
