"ProductCode","SelectionGroup","PartNumber","ExclusionRule","Cost"
"FPD175","CH/FPD175/METER/SIZE","025","CH/FPD175/MODEL/DESIGN=F5",410
"FPD175","CH/FPD175/METER/SIZE","040","CH/FPD175/MODEL/DESIGN=F5",416
"FPD175","CH/FPD175/METER/SIZE","050","CH/FPD175/MODEL/DESIGN=F5",434
"FPD175","CH/FPD175/METER/SIZE","080","CH/FPD175/MODEL/DESIGN=F5",452
"FPD175","CH/FPD175/METER/SIZE","100","CH/FPD175/MODEL/DESIGN=F5",472
"FPD175","CH/FPD175/METER/SIZE","150","CH/FPD175/MODEL/DESIGN=F5",565
"FPD175","CH/FPD175/METER/SIZE","200","CH/FPD175/MODEL/DESIGN=F5",616
"FPD175","CH/FPD175/METER/SIZE","250","CH/FPD175/MODEL/DESIGN=F5",781
"FPD175","CH/FPD175/METER/SIZE","300","CH/FPD175/MODEL/DESIGN=F5",1021
"FPD175","CH/FPD175/METER/SIZE","100","CH/FPD175/MODEL/DESIGN=F4",549
"FPD175","CH/FPD175/METER/SIZE","150","CH/FPD175/MODEL/DESIGN=F4",623
"FPD175","CH/FPD175/METER/SIZE","200","CH/FPD175/MODEL/DESIGN=F4",669
"FPD175","CH/FPD175/METER/SIZE","250","CH/FPD175/MODEL/DESIGN=F4",848
"FPD175","CH/FPD175/METER/SIZE","300","CH/FPD175/MODEL/DESIGN=F4",1039
"FPD175","CH/FPD175/METER/SIZE","025","CH/FPD175/MODEL/DESIGN=C7",1308
"FPD175","CH/FPD175/METER/SIZE","040","CH/FPD175/MODEL/DESIGN=C7",1315
"FPD175","CH/FPD175/METER/SIZE","050","CH/FPD175/MODEL/DESIGN=C7",1334
"FPD175","CH/FPD175/METER/SIZE","080","CH/FPD175/MODEL/DESIGN=C7",1551
"FPD175","CH/FPD175/METER/SIZE","100","CH/FPD175/MODEL/DESIGN=C7",1575
"FPD175","CH/FPD175/METER/SIZE","150","CH/FPD175/MODEL/DESIGN=C7",1679
"FPD175","CH/FPD175/METER/SIZE","200","CH/FPD175/MODEL/DESIGN=C7",1933
"FPD175","CH/FPD175/METER/SIZE","250","CH/FPD175/MODEL/DESIGN=C7",2120
"FPD175","CH/FPD175/METER/SIZE","300","CH/FPD175/MODEL/DESIGN=C7",2390
