"ProductCode","SelectionGroup","GrpOrder","PartNumber","Order","Active","DefaultItem","ExclusionRule","Name","Description","AdditionalData"
FPD500,CH/FPD5/MODEL/DESIGN,1,"V2",1,True,False,"","Volume Flow Fixed Plate (266DSH)","Volume Flow Fixed Plate (266DSH)",
FPD500,CH/FPD5/MODEL/DESIGN,1,"V4",2,True,False,"CH/FPD5/METER/SIZE=10 OR CH/FPD5/METER/SIZE=15 OR CH/FPD5/METER/SIZE=20 OR CH/FPD5/METER/SIZE=30","Volume Flow Removable Plate (266DSH)","Volume Flow Removable Plate (266DSH)",
FPD500,CH/FPD5/MODEL/DESIGN,1,"M2",3,True,False,"","Mass Flow Fixed Plate (266CSH)","Mass Flow Fixed Plate (266CSH)",
FPD500,CH/FPD5/MODEL/DESIGN,1,"M4",4,True,False,"","Mass Flow Removable Plate (266CSH)","Mass Flow Removable Plate (266CSH)",
FPD500,CH/FPD5/METER/SIZE,2,"10",1,True,False,"","1""","1 in. (25 mm)","1"""
FPD500,CH/FPD5/METER/SIZE,2,"15",2,True,False,"","1½""","1-1/2 in. (40 mm)","1½"""
FPD500,CH/FPD5/METER/SIZE,2,"20",3,True,False,"","2""","2 in. (50 mm)","2"""
FPD500,CH/FPD5/METER/SIZE,2,"30",4,True,False,"","3""","3 in. (80 mm)","3"""
FPD500,CH/FPD5/METER/SIZE,2,"40",5,True,False,"","4""","4 in. (100 mm)","4"""
FPD500,CH/FPD5/METER/SIZE,2,"60",6,True,False,"","6""","6 in. (150 mm)","6"""
FPD500,CH/FPD5/METER/SIZE,2,"80",7,True,False,"","8""","8 in. (200 mm)","8"""
FPD500,CH/FPD5/METER/SIZE,2,"90",8,True,False,"","10""","10 in. (250 mm)","10"""
FPD500,CH/FPD5/METER/SIZE,2,"92",9,True,False,"","12""","12 in. (300 mm)","12"""
FPD500,CH/FPD5/FLUID,3,"L",1,True,False,"","Liquid","Liquid",1
FPD500,CH/FPD5/FLUID,3,"G",2,True,False,"","Gas","Gas",2
FPD500,CH/FPD5/FLUID,3,"S",3,True,False,"","Saturated steam","Saturated steam",3
FPD500,CH/FPD5/BETA/RATIO,4,"B1",1,True,False,"","0.4","0.4",
FPD500,CH/FPD5/BETA/RATIO,4,"B2",2,True,False,"","0.65","0.65",
FPD500,CH/FPD5/PRESS/RAT,5,"A1",1,True,False,"","ASME CL 150","ASME CL 150",
FPD500,CH/FPD5/PRESS/RAT,5,"A3",2,True,False,"","ASME CL 300","ASME CL 300",
FPD500,CH/FPD5/PRESS/RAT,5,"A6",3,True,False,"","ASME CL 600","ASME CL 600",
FPD500,CH/FPD5/PRESS/RAT,5,"D1",4,True,False,"","PN 10","PN 10",
FPD500,CH/FPD5/PRESS/RAT,5,"D2",5,True,False,"","PN 16","PN 16",
FPD500,CH/FPD5/PRESS/RAT,5,"D3",6,True,False,"","PN 25","PN 25",
FPD500,CH/FPD5/PRESS/RAT,5,"D4",7,True,False,"","PN 40","PN 40",
FPD500,CH/FPD5/PRESS/RAT,5,"D5",8,True,False,"","PN 63","PN 63",
FPD500,CH/FPD5/PRESS/RAT,5,"D6",9,True,False,"","PN 100","PN 100",
FPD500,CH/FPD5/ORIEN,6,"H",1,True,False,"","Horizontal Pipe","Horizontal Pipe",
FPD500,CH/FPD5/ORIEN,6,"V",2,True,False,"CH/FPD5/FLUID=S","Vertical","Vertical",
FPD500,CH/FPD5/MANIFOLD,7,"3",1,True,False,"","Integral 3-valve manifold","Integral 3-valve manifold",
FPD500,CH/FPD5/MANIFOLD,7,"5",2,True,False,"","Integral 5-valve manifold","Integral 5-valve manifold",
FPD500,CH/FPD5/SPAN/LIMITS,8,"A",1,True,False,"","0.05 ... 1 kPa / 0.5 ... 10 mbar / 0.2 ... 4 in. H2O","0.05 ... 1 kPa / 0.5 ... 10 mbar / 0.2 ... 4 in. H2O",
FPD500,CH/FPD5/SPAN/LIMITS,8,"B",2,True,False,"NOT(CH/FPD5/MODEL/DESIGN=V2 OR CH/FPD5/MODEL/DESIGN=V4)","0.2 ... 4 kPa / 2 ... 40 mbar / 0.8 ... 16 in. H2O","0.2 ... 4 kPa / 2 ... 40 mbar / 0.8 ... 16 in. H2O",
FPD500,CH/FPD5/SPAN/LIMITS,8,"C",3,True,False,"NOT(CH/FPD5/MODEL/DESIGN=M2 OR CH/FPD5/MODEL/DESIGN=M4)","0.2 ... 6 kPa / 2 ... 60 mbar / 0.8 ... 24 in. H2O","0.2 ... 6 kPa / 2 ... 60 mbar / 0.8 ... 24 in. H2O",
FPD500,CH/FPD5/SPAN/LIMITS,8,"E",4,True,False,"NOT(CH/FPD5/MODEL/DESIGN=V2 OR CH/FPD5/MODEL/DESIGN=V4)","0.27 ... 16 kPa / 2.7 ... 160 mbar / 1.08 ... 64 in. H2O","0.27 ... 16 kPa / 2.7 ... 160 mbar / 1.08 ... 64 in. H2O",
FPD500,CH/FPD5/SPAN/LIMITS,8,"F",5,True,False,"","0.4 ... 40 kPa / 4 ... 400 mbar / 1.6 ... 160 in. H2O","0.4 ... 40 kPa / 4 ... 400 mbar / 1.6 ... 160 in. H2O",
FPD500,CH/FPD5/SPAN/LIMITS,8,"G",6,True,False,"NOT(CH/FPD5/MODEL/DESIGN=V2 OR CH/FPD5/MODEL/DESIGN=V4)","0.65 ... 65 kPa / 6.5 ... 650 mbar / 2.6 ... 260 in. H2O","0.65 ... 65 kPa / 6.5 ... 650 mbar / 2.6 ... 260 in. H2O",
FPD500,CH/FPD5/SPAN/LIMITS,8,"H",7,True,False,"NOT(CH/FPD5/MODEL/DESIGN=V2 OR CH/FPD5/MODEL/DESIGN=V4)","1.6 ... 160 kPa / 16 ... 1600 mbar / 6.4 ... 642 in. H2O","1.6 ... 160 kPa / 16 ... 1600 mbar / 6.4 ... 642 in. H2O",
FPD500,CH/FPD5/SPAN/LIMITS,8,"L",8,True,False,"NOT(CH/FPD5/MODEL/DESIGN=M2 OR CH/FPD5/MODEL/DESIGN=M4)","2.5 ... 250 kPa / 25 ... 2500 mbar / 10 ... 1000 in. H2O","2.5 ... 250 kPa / 25 ... 2500 mbar / 10 ... 1000 in. H2O",
FPD500,CH/FPD5/SEAL/MAT,9,"3",1,True,False,"","Viton","Viton",
FPD500,CH/FPD5/SEAL/MAT,9,"4",2,True,False,"","PTFE","PTFE",
FPD500,CH/FPD5/SEAL/MAT,9,"5",3,True,False,"NOT(CH/FPD5/MODEL/DESIGN=M2 OR CH/FPD5/MODEL/DESIGN=M4)","EPDM","EPDM",
FPD500,CH/FPD5/SEAL/MAT,9,"6",4,True,False,"NOT(CH/FPD5/MODEL/DESIGN=M2 OR CH/FPD5/MODEL/DESIGN=M4)","Perbunan","Perbunan",
FPD500,CH/FPD5/HOUSE/MAT,10,"A",1,True,False,"","Aluminium alloy / 1/2-14 NPT","Aluminium alloy / 1/2-14 NPT",
FPD500,CH/FPD5/HOUSE/MAT,10,"B",2,True,False,"","Aluminium alloy / M20 x 1.5","Aluminium alloy / M20 x 1.5",
FPD500,CH/FPD5/HOUSE/MAT,10,"S",5,True,False,"","AISI 316L SST / 1/2-14 NPT","AISI 316L SST / 1/2-14 NPT",
FPD500,CH/FPD5/HOUSE/MAT,10,"T",6,True,False,"","AISI 316L SST / M20 x 1.5","AISI 316L SST / M20 x 1.5",
FPD500,CH/FPD5/DISPL,11,"0",1,True,False,"","None (blind)","None (blind)",
FPD500,CH/FPD5/DISPL,11,"1",2,True,False,"","LCD display","LCD display",
FPD500,CH/FPD5/DISPL,11,"5",4,True,False,"","TTG (Through The Glass) controlled Digital LCD Display","TTG (Through The Glass) controlled Digital LCD Display",
FPD500,CH/FPD5/OUT/SIGNAL,12,"H1",1,True,False,"","Advanced HART digital communication and 4 ... 20 mA","Advanced HART digital communication and 4 ... 20 mA",
FPD500,CH/FPD5/OUT/SIGNAL,12,"H2",3,True,False,"NOT(CH/FPD5/MODEL/DESIGN=V2 OR CH/FPD5/MODEL/DESIGN=V4)","HART digital communication and 4 ... 20 mA, SIL2 and SIL3 certified to IEC 61508","HART digital communication and 4 ... 20 mA, SIL2 and SIL3 certified to IEC 61508",
FPD500,CH/FPD5/OUT/SIGNAL,12,"P1",4,True,False,"NOT(CH/FPD5/MODEL/DESIGN=V2 OR CH/FPD5/MODEL/DESIGN=V4)","PROFIBUS PA","PROFIBUS PA",
FPD500,CH/FPD5/OUT/SIGNAL,12,"F1",5,True,False,"NOT(CH/FPD5/MODEL/DESIGN=V2 OR CH/FPD5/MODEL/DESIGN=V4)","FOUNDATION fieldbus","FOUNDATION fieldbus",
FPD500,CH/FPD5/TEMP/ELEM,13,"AT",1,True,False,"NOT(CH/FPD5/MODEL/DESIGN=M2 OR CH/FPD5/MODEL/DESIGN=M4)","Integral","Integral",
FPD500,CH/FPD5/TEMP/ELEM,13,"AR",2,True,False,"NOT(CH/FPD5/MODEL/DESIGN=M2 OR CH/FPD5/MODEL/DESIGN=M4)","Remote (element not included)","Remote (element not included)",
FPD500,CH/FPD5/TEMP/ELEM,13,"AY",3,True,False,"","None","None",
FPD500,CH/FPD5/CALIBRATION,14,"CZ",2,True,False,"","Others","Others",
FPD500,CH/FPD5/CERTIFICATE,15,"C2",1,True,False,"","Material monitoring with inspection certificate 3.1 acc. EN 10204","Material monitoring with inspection certificate 3.1 acc. EN 10204",
FPD500,CH/FPD5/CERTIFICATE,15,"CN",2,True,False,"","Material monitoring NACE MR 01-75 with inspection certificate 3.1 acc. EN 10204","Material monitoring NACE MR 01-75 with inspection certificate 3.1 acc. EN 10204",
FPD500,CH/FPD5/EX/CERT,16,"EN",1,True,False,"","ATEX + FM + CSA","ATEX + FM + CSA",
FPD500,CH/FPD5/EX/CERT,16,"EA",2,True,False,"","Factory Mutual (FM) - Intrinsically Safe","Factory Mutual (FM) - Intrinsically Safe",
FPD500,CH/FPD5/EX/CERT,16,"EB",3,True,False,"","Factory Mutual (FM) - Explosion Proof","Factory Mutual (FM) - Explosion Proof",
FPD500,CH/FPD5/EX/CERT,16,"EW",4,True,False,"","ATEX II 1/2 GD EEx ia + ATEX II 1/2 GD EEx d + ATEX EEx nL","ATEX II 1/2 GD EEx ia + ATEX II 1/2 GD EEx d + ATEX EEx nL",
FPD500,CH/FPD5/DOC/LANG,17,"M1",1,True,False,"","German","German",
FPD500,CH/FPD5/DOC/LANG,17,"M2",2,True,False,"","Italian","Italian",
FPD500,CH/FPD5/DOC/LANG,17,"M3",3,True,False,"","Spanish","Spanish",
FPD500,CH/FPD5/DOC/LANG,17,"M4",4,True,False,"","French","French",
FPD500,CH/FPD5/DOC/LANG,17,"M5",5,True,False,"","English (standard)","English (standard)",
FPD500,CH/FPD5/DOC/LANG,17,"M6",6,True,False,"","Chinese","Chinese",
FPD500,CH/FPD5/SPECIAL/APP,18,"P1",1,True,False,"((CH/FPD5/MODEL/DESIGN=M2 OR CH/FPD5/MODEL/DESIGN=M4) AND (CH/FPD5/SEAL/MAT=3)) OR ((CH/FPD5/MODEL/DESIGN=V2 OR CH/FPD5/MODEL/DESIGN=V4) AND (CH/FPD5/SEAL/MAT=4)) OR ((CH/FPD5/MODEL/DESIGN=V2 OR CH/FPD5/MODEL/DESIGN=V4) AND (CH/FPD5/SPAN/LIMITS=A OR CH/FPD5/SPAN/LIMITS=B))","Degreased (Oil- & Grease-free) with inert capsule filling, for Oxygen applications","Degreased (Oil- & Grease-free) with inert capsule filling, for Oxygen applications",
FPD500,CH/FPD5/SPECIAL/APP,18,"P2",2,True,False,"CH/FPD5/MODEL/DESIGN=V2 OR CH/FPD5/MODEL/DESIGN=V4","Prepared for Hydrogen applications","Prepared for Hydrogen applications",
FPD500,OriMasterMaterial,,"CS",1,True,False,"","Carbon Steel Pipe","Carbon Steel Pipe",C3/S6
FPD500,OriMasterMaterial,,"SS",2,True,False,"","Stainless Steel Pipe","Stainless Steel Pipe",S6/S6
FPD510,CH/FPD5/MODEL/DESIGN,1,"V2",1,True,False,"","IOMaster V, for Volume Flow, Design Level 2 (266DSH)","IOMaster V, for Volume Flow, Design Level 2 (266DSH)",
FPD510,CH/FPD5/MODEL/DESIGN,1,"M2",2,True,False,"","IOMaster M, for Mass Flow (266CSH)","IOMaster M, for Mass Flow (266CSH)",
