"ProductCode","SelectionGroup","GrpOrder","InProductCode","MustSelect","SingleSelection","SpecialGroup","MustSelectRule","Name","Description"
FPD500,CH/FPD5/MODEL/DESIGN,1,True,True,True,0,,"Model and Design Level","Model and Design Level"
FPD500,CH/FPD5/METER/SIZE,2,True,True,True,4,,"Meter Size","Meter Size"
FPD500,CH/FPD5/FLUID,3,True,True,True,1,,"Fluid","Fluid"
FPD500,CH/FPD5/BETA/RATIO,4,True,True,True,40,,"Beta Ratio","Beta Ratio"
FPD500,CH/FPD5/PRESS/RAT,5,True,True,True,0,,"Pressure Rating","Pressure Rating"
FPD500,CH/FPD5/ORIEN,6,True,True,True,0,,"Pipeline Orientation","Pipeline Orientation"
FPD500,CH/FPD5/MANIFOLD,7,True,True,True,0,,"Manifold","Manifold"
FPD500,CH/FPD5/SPAN/LIMITS,8,True,True,True,0,,"DP Span Limits","DP Span Limits"
FPD500,CH/FPD5/SEAL/MAT,9,True,True,True,0,,"Transmitter Seal Material","Transmitter Seal Material"
FPD500,CH/FPD5/HOUSE/MAT,10,True,True,True,0,,"Electronic Housing Material / Electrical Connection","Electronic Housing Material / Electrical Connection"
FPD500,CH/FPD5/DISPL,11,True,True,True,0,,"Integrated Digital Display (LCD)","Integrated Digital Display (LCD)"
FPD500,CH/FPD5/OUT/SIGNAL,12,True,True,True,0,,"Output Signal","Output Signal"
FPD500,CH/FPD5/TEMP/ELEM,13,True,False,True,0,,"Temperature Element","Temperature Element"
FPD500,CH/FPD5/CALIBRATION,14,True,False,True,0,,"Calibration","Calibration"
FPD500,CH/FPD5/CERTIFICATE,15,True,False,True,0,,"Certificates","Certificates"
FPD500,CH/FPD5/EX/CERT,16,True,False,True,0,,"Explosion Protection Certification","Explosion Protection Certification"
FPD500,CH/FPD5/DOC/LANG,17,True,False,True,0,,"Documentation Language","Documentation Language"
FPD500,CH/FPD5/SPECIAL/APP,18,True,False,True,0,,"Special Applications","Special Applications"
FPD500,OriMasterMaterial,19,False,True,True,2,,"Material","Material"
FPD510,CH/FPD5/MODEL/DESIGN,1,True,True,True,0,,"Model and Design Level","Model and Design Level"
FPD510,CH/FPD5/METER/SIZE,2,True,True,True,4,,"Meter Size","Meter Size"
FPD510,CH/FPD5/FLUID,3,True,True,True,1,,"Fluid","Fluid"
FPD510,CH/FPD5/FIT/MAT,4,True,True,True,2,,"Body / Restriction Material","Body / Restriction Material"
FPD510,CH/FPD5/BORE/SIZE,5,True,True,True,40,,"Orifice Bore","Orifice Bore"
FPD510,CH/FPD5/PRESS/RAT,6,True,True,True,0,,"Pressure Rating","Pressure Rating"
FPD510,CH/FPD5/ORIEN,7,True,True,True,0,,"Pipeline Orientation","Pipeline Orientation"
FPD510,CH/FPD5/MANIFOLD,8,True,True,True,0,,"Manifold","Manifold"
FPD510,CH/FPD5/SPAN/LIMITS,9,True,True,True,0,,"DP Span Limits","DP Span Limits"
FPD510,CH/FPD5/SEAL/MAT,10,True,True,True,0,,"Transmitter Seal Material","Transmitter Seal Material"
FPD510,CH/FPD5/HOUSE/MAT,11,True,True,True,0,,"Electronic Housing Material / Electrical Connection","Electronic Housing Material / Electrical Connection"
FPD510,CH/FPD5/DISPL,12,True,True,True,0,,"Integrated Digital Display (LCD)","Integrated Digital Display (LCD)"
FPD510,CH/FPD5/OUT/SIGNAL,13,True,True,True,0,,"Output Signal","Output Signal"
FPD510,CH/FPD5/TEMP/ELEM,14,True,False,True,0,,"Temperature Element","Temperature Element"
FPD510,CH/FPD5/CALIBRATION,15,True,False,True,0,,"Calibration","Calibration"
FPD510,CH/FPD5/CERTIFICATE,16,True,False,False,0,,"Certificates","Certificates"
FPD510,CH/FPD5/EX/CERT,17,True,False,True,0,,"Explosion Protection Certification","Explosion Protection Certification"
FPD510,CH/FPD5/DOC/LANG,18,True,False,True,0,,"Documentation Language","Documentation Language"
FPD510,CH/FPD5/SPECIAL/APP,19,True,False,True,0,,"Special Applications","Special Applications"
FPD550,CH/FPD5/MODEL/DESIGN,1,True,True,True,0,,"Model and Design Level","Model and Design Level"
FPD550,CH/FPD5/METER/SIZE,2,True,True,True,4,,"Meter Size","Meter Size"
FPD550,CH/FPD5/FLUID,3,True,True,True,1,,"Fluid","Fluid"
FPD550,CH/FPD5/FIT/MAT,4,True,True,True,2,,"Material of Construction","Material of Construction"
FPD550,CH/FPD5/CONN/TYPE,5,True,True,True,31,,"Process Connection Type","Process Connection Type"
FPD550,CH/FPD5/PRESS/RAT,6,True,True,True,0,,"Flange Rating","Flange Rating"
FPD550,CH/FPD5/ORIEN,7,True,True,True,0,,"Pipeline Orientation","Pipeline Orientation"
FPD550,CH/FPD5/MANIFOLD,8,True,True,True,0,,"Manifold","Manifold"
FPD550,CH/FPD5/SPAN/LIMITS,9,True,True,True,0,,"DP Span Limits","DP Span Limits"
FPD550,CH/FPD5/SEAL/MAT,10,True,True,True,0,,"Transmitter Seal Material","Transmitter Seal Material"
FPD550,CH/FPD5/HOUSE/MAT,11,True,True,True,0,,"Electronic Housing Material / Electrical Connection","Electronic Housing Material / Electrical Connection"
FPD550,CH/FPD5/DISPL,12,True,True,True,0,,"Integrated Digital Display (LCD)","Integrated Digital Display (LCD)"
FPD550,CH/FPD5/OUT/SIGNAL,13,True,True,True,0,,"Output Signal","Output Signal"
FPD550,CH/FPD5/TEMP/ELEM,14,True,False,True,0,,"Temperature Element","Temperature Element"
FPD550,CH/FPD5/CERTIFICATE,15,True,False,False,0,,"Certificates","Certificates"
FPD550,CH/FPD5/EX/CERT,16,True,False,True,0,,"Explosion Protection Certification","Explosion Protection Certification"
FPD550,CH/FPD5/DOC/LANG,17,True,False,True,0,,"Documentation Language","Documentation Language"
FPD550,CH/FPD5/SPECIAL/APP,18,True,False,True,0,,"Special Applications","Special Applications"
FPD570,CH/FPD5/MODEL/DESIGN,1,True,True,True,0,,"Model and Design Level","Model and Design Level"
FPD570,CH/FPD5/METER/SIZE,2,True,True,True,4,,"Meter Size","Meter Size"
FPD570,CH/FPD5/FLUID,3,True,True,True,1,,"Fluid","Fluid"
FPD570,CH/FPD5/BORE/SIZE,4,True,True,True,40,,"H/D Ratio","H/D Ratio"
FPD570,CH/FPD5/FIT/MAT,5,True,True,True,2,,"Body / Restriction Material","Body / Restriction Material"
FPD570,CH/FPD5/CONN/TYPE,6,True,True,True,0,,"Process Connection Type","Process Connection Type"
FPD570,CH/FPD5/PRESS/RAT,7,True,True,True,0,,"Flange Rating","Flange Rating"
FPD570,CH/FPD5/ORIEN,8,True,True,True,0,,"Pipeline Orientation","Pipeline Orientation"
FPD570,CH/FPD5/MANIFOLD,9,True,True,True,0,,"Manifold","Manifold"
FPD570,CH/FPD5/SPAN/LIMITS,10,True,True,True,0,,"DP Span Limits","DP Span Limits"
FPD570,CH/FPD5/SEAL/MAT,11,True,True,True,0,,"Transmitter Seal Material","Transmitter Seal Material"
FPD570,CH/FPD5/HOUSE/MAT,12,True,True,True,0,,"Electronic Housing Material / Electrical Connection","Electronic Housing Material / Electrical Connection"
FPD570,CH/FPD5/DISPL,13,True,True,True,0,,"Integrated Digital Display (LCD)","Integrated Digital Display (LCD)"
FPD570,CH/FPD5/OUT/SIGNAL,14,True,True,True,0,,"Output Signal","Output Signal"
FPD570,CH/FPD5/TEMP/ELEM,15,True,False,True,0,,"Temperature Element","Temperature Element"
FPD570,CH/FPD5/CALIBRATION,16,True,False,True,0,,"Calibration","Calibration"
FPD570,CH/FPD5/CERTIFICATE,17,True,False,False,0,,"Certificates","Certificates"
FPD570,CH/FPD5/EX/CERT,18,True,False,True,0,,"Explosion Protection Certification","Explosion Protection Certification"
FPD570,CH/FPD5/DOC/LANG,19,True,False,True,0,,"Documentation Language","Documentation Language"
FPD570,CH/FPD5/SPECIAL/APP,20,True,False,True,0,,"Special Applications","Special Applications"
