Description,CharacteristicCode_Logic,Active,MassEquation_kg
,(CH/FPD5/METER/SIZE=025) AND (CH/FPD5/PRESS/RAT=B2),TRUE,11
,(CH/FPD5/METER/SIZE=025) AND (CH/FPD5/PRESS/RAT=B3),TRUE,11
,(CH/FPD5/METER/SIZE=025) AND (CH/FPD5/PRESS/RAT=B5),TRUE,15
,(CH/FPD5/METER/SIZE=025) AND (CH/FPD5/PRESS/RAT=B6),TRUE,17
,(CH/FPD5/METER/SIZE=025) AND (CH/FPD5/PRESS/RAT=D6),TRUE,10
,(CH/FPD5/METER/SIZE=025) AND (CH/FPD5/PRESS/RAT=D7),TRUE,11
,(CH/FPD5/METER/SIZE=025) AND (CH/FPD5/PRESS/RAT=D8),TRUE,13
,(CH/FPD5/METER/SIZE=025) AND (CH/FPD5/PRESS/RAT=D9),TRUE,13
,(CH/FPD5/METER/SIZE=040) AND (CH/FPD5/PRESS/RAT=B2),TRUE,13
,(CH/FPD5/METER/SIZE=040) AND (CH/FPD5/PRESS/RAT=B3),TRUE,15
,(CH/FPD5/METER/SIZE=040) AND (CH/FPD5/PRESS/RAT=B5),TRUE,19
,(CH/FPD5/METER/SIZE=040) AND (CH/FPD5/PRESS/RAT=B6),TRUE,29
,(CH/FPD5/METER/SIZE=040) AND (CH/FPD5/PRESS/RAT=D6),TRUE,11
,(CH/FPD5/METER/SIZE=040) AND (CH/FPD5/PRESS/RAT=D7),TRUE,11
,(CH/FPD5/METER/SIZE=040) AND (CH/FPD5/PRESS/RAT=D8),TRUE,15
,(CH/FPD5/METER/SIZE=040) AND (CH/FPD5/PRESS/RAT=D9),TRUE,15
,(CH/FPD5/METER/SIZE=050) AND (CH/FPD5/PRESS/RAT=B2),TRUE,15
,(CH/FPD5/METER/SIZE=050) AND (CH/FPD5/PRESS/RAT=B3),TRUE,17
,(CH/FPD5/METER/SIZE=050) AND (CH/FPD5/PRESS/RAT=B5),TRUE,29
,(CH/FPD5/METER/SIZE=050) AND (CH/FPD5/PRESS/RAT=B6),TRUE,45
,(CH/FPD5/METER/SIZE=050) AND (CH/FPD5/PRESS/RAT=D6),TRUE,13
,(CH/FPD5/METER/SIZE=050) AND (CH/FPD5/PRESS/RAT=D7),TRUE,13
,(CH/FPD5/METER/SIZE=050) AND (CH/FPD5/PRESS/RAT=D8),TRUE,17
,(CH/FPD5/METER/SIZE=050) AND (CH/FPD5/PRESS/RAT=D9),TRUE,19
,(CH/FPD5/METER/SIZE=080) AND (CH/FPD5/PRESS/RAT=B2),TRUE,21
,(CH/FPD5/METER/SIZE=080) AND (CH/FPD5/PRESS/RAT=B3),TRUE,27
,(CH/FPD5/METER/SIZE=080) AND (CH/FPD5/PRESS/RAT=B5),TRUE,51
,(CH/FPD5/METER/SIZE=080) AND (CH/FPD5/PRESS/RAT=B6),TRUE,93
,(CH/FPD5/METER/SIZE=080) AND (CH/FPD5/PRESS/RAT=D6),TRUE,17
,(CH/FPD5/METER/SIZE=080) AND (CH/FPD5/PRESS/RAT=D7),TRUE,17
,(CH/FPD5/METER/SIZE=080) AND (CH/FPD5/PRESS/RAT=D8),TRUE,21
,(CH/FPD5/METER/SIZE=080) AND (CH/FPD5/PRESS/RAT=D9),TRUE,23
,(CH/FPD5/METER/SIZE=100) AND (CH/FPD5/PRESS/RAT=B2),TRUE,29
,(CH/FPD5/METER/SIZE=100) AND (CH/FPD5/PRESS/RAT=B3),TRUE,45
,(CH/FPD5/METER/SIZE=100) AND (CH/FPD5/PRESS/RAT=B5),TRUE,73
,(CH/FPD5/METER/SIZE=100) AND (CH/FPD5/PRESS/RAT=B6),TRUE,139
,(CH/FPD5/METER/SIZE=100) AND (CH/FPD5/PRESS/RAT=D6),TRUE,21
,(CH/FPD5/METER/SIZE=100) AND (CH/FPD5/PRESS/RAT=D7),TRUE,21
,(CH/FPD5/METER/SIZE=100) AND (CH/FPD5/PRESS/RAT=D8),TRUE,25
,(CH/FPD5/METER/SIZE=100) AND (CH/FPD5/PRESS/RAT=D9),TRUE,31
,(CH/FPD5/METER/SIZE=150) AND (CH/FPD5/PRESS/RAT=B2),TRUE,45
,(CH/FPD5/METER/SIZE=150) AND (CH/FPD5/PRESS/RAT=B3),TRUE,81
,(CH/FPD5/METER/SIZE=150) AND (CH/FPD5/PRESS/RAT=B5),TRUE,157
,(CH/FPD5/METER/SIZE=150) AND (CH/FPD5/PRESS/RAT=B6),TRUE,351
,(CH/FPD5/METER/SIZE=150) AND (CH/FPD5/PRESS/RAT=D6),TRUE,31
,(CH/FPD5/METER/SIZE=150) AND (CH/FPD5/PRESS/RAT=D7),TRUE,31
,(CH/FPD5/METER/SIZE=150) AND (CH/FPD5/PRESS/RAT=D8),TRUE,47
,(CH/FPD5/METER/SIZE=150) AND (CH/FPD5/PRESS/RAT=D9),TRUE,55
,(CH/FPD5/MODEL/DESIGN=V1) AND ((CH/FPD5/HOUSE/MAT=H) OR (CH/FPD5/HOUSE/MAT=L)),TRUE,4
,(CH/FPD5/MODEL/DESIGN=V1) AND ((CH/FPD5/HOUSE/MAT=S) OR (CH/FPD5/HOUSE/MAT=T)),TRUE,4
,(CH/FPD5/MODEL/DESIGN=V2) AND ((CH/FPD5/HOUSE/MAT=A) OR (CH/FPD5/HOUSE/MAT=B)),TRUE,4
,(CH/FPD5/MODEL/DESIGN=V2) AND ((CH/FPD5/HOUSE/MAT=S) OR (CH/FPD5/HOUSE/MAT=T)),TRUE,6
,(CH/FPD5/MODEL/DESIGN=M1) AND ((CH/FPD5/HOUSE/MAT=A) OR (CH/FPD5/HOUSE/MAT=B)),TRUE,3
,(CH/FPD5/MODEL/DESIGN=M1) AND ((CH/FPD5/HOUSE/MAT=S) OR (CH/FPD5/HOUSE/MAT=T)),TRUE,5
,(CH/FPD5/MANIFOLD=3),TRUE,2
,(CH/FPD5/MANIFOLD=5),TRUE,3
