"ColumnName","Value","Units","UnitsType","Expression","Notes"
"GADrawing1","FPD150.R1.1","","","Exp25 AND Exp2 AND Exp3 AND Exp5 AND Exp4 AND Exp86","FPD150.R1.1"
"GADrawing1","FPD150.R1.2","","","Exp25 AND Exp2 AND Exp3 AND Exp5 AND Exp90 AND Exp86","FPD150.R1.2"
"GADrawing1","FPD150.R1.3","","","Exp25 AND Exp2 AND Exp3 AND Exp5 AND Exp4 AND Exp87","FPD150.R1.3"
"GADrawing1","FPD150.R1.4","","","Exp25 AND Exp2 AND Exp3 AND Exp5 AND Exp90 AND Exp87","FPD150.R1.4"
"GADrawing1","FPD150.R1.5","","","Exp25 AND Exp2 AND Exp3 AND Exp5 AND Exp4 AND Exp88","FPD150.R1.5"
"GADrawing1","FPD150.R1.6","","","Exp25 AND Exp2 AND Exp3 AND Exp5 AND Exp90 AND Exp88","FPD150.R1.6"
"GADrawing1","FPD150.R1.7","","","Exp25 AND Exp2 AND Exp3 AND Exp5 AND Exp4 AND Exp89","FPD150.R1.7"
"GADrawing1","FPD150.R1.8","","","Exp25 AND Exp2 AND Exp3 AND Exp5 AND Exp90 AND Exp89","FPD150.R1.8"
"GADrawing1","FPD160.R1.1","","","Exp18 AND Exp2 AND Exp3 AND Exp4 AND Exp22 AND Exp86 AND Exp28 AND Exp91","FPD160.R1.1"
"GADrawing1","FPD160.R1.2","","","Exp18 AND Exp2 AND Exp3 AND Exp4 AND Exp22 AND Exp86 AND Exp29 AND Exp91","FPD160.R1.2"
"GADrawing1","FPD160.R1.3","","","Exp18 AND Exp2 AND Exp3 AND Exp4 AND Exp22 AND Exp87 AND Exp28 AND Exp91","FPD160.R1.3"
"GADrawing1","FPD160.R1.4","","","Exp18 AND Exp2 AND Exp3 AND Exp4 AND Exp22 AND Exp87 AND Exp29 AND Exp91","FPD160.R1.4"
"GADrawing1","FPD160.R1.5","","","Exp18 AND Exp2 AND Exp3 AND Exp4 AND Exp22 AND Exp88 AND Exp28 AND Exp91","FPD160.R1.5"
"GADrawing1","FPD160.R1.6","","","Exp18 AND Exp2 AND Exp3 AND Exp4 AND Exp22 AND Exp88 AND Exp29 AND Exp91","FPD160.R1.6"
"PlateODiaA","47.6","mm","length","Exp2 AND Exp3 AND Exp5 AND Exp26 AND Exp27","DN15 RF CL150"
"PlateODiaA","54","mm","length","Exp2 AND Exp3 AND Exp5 AND Exp26 AND Exp28","DN15 RF CL300,400,600"
"PlateODiaA","63.5","mm","length","Exp2 AND Exp3 AND Exp5 AND Exp26 AND Exp29","DN15 RF CL900,1500"
"PlateODiaA","70","mm","length","Exp2 AND Exp3 AND Exp5 AND Exp26 AND Exp30","DN15 RF CL2500"
"PlateODiaA","57","mm","length","Exp2 AND Exp3 AND Exp5 AND Exp31 AND Exp27","DN20 RF CL150"
"PlateODiaA","66.7","mm","length","Exp2 AND Exp3 AND Exp5 AND Exp31 AND Exp28","DN20 RF CL300,400,600"
"PlateODiaA","70","mm","length","Exp2 AND Exp3 AND Exp5 AND Exp31 AND Exp29","DN20 RF CL900,1500"
"PlateODiaA","76","mm","length","Exp2 AND Exp3 AND Exp5 AND Exp31 AND Exp30","DN20 RF CL2500"
"PlateODiaA","66.7","mm","length","Exp2 AND Exp3 AND Exp5 AND Exp32 AND Exp27","DN25 RF CL150"
