"ProductCode","SelectionGroup","PartNumber","Order","Active","DefaultItem","Cost","ExclusionRule","Name","Description","AdditionalData","InShortenedList"
"FPD150","CH/FPD/PRODUCT/DES","P1",1,True,False,0,"","Orifice Plate for RF/FF Flanges","Orifice Plate for RF/FF Flanges",,False
"FPD150","CH/FPD/PRODUCT/DES","P2",2,True,False,0,"","Male RTJ Carrier - Screw-in Plate","Male RTJ Carrier - Screw-in Plate","1",False
"FPD150","CH/FPD/PRODUCT/DES","P3",3,True,False,0,"","Male RTJ Carrier - Integral Plate","Male RTJ Carrier - Integral Plate","1",False
"FPD150","CH/FPD/CUST/STD","A1",1,True,False,0,"","Standard","Standard",,False
"FPD150","CH/FPD/CUST/STD","A2",2,True,False,999999,"","Aramco Standard","Aramco Standard",,False
"FPD150","CH/FPD/CUST/STD","S1",3,True,False,0,"","Shell Standard","Shell Standard",,False
"FPD150","CH/FPD/ORIFICE/DESIGN","C2",1,True,False,0,"","Concentric square edged - Flange taps","Concentric square edged - Flange taps",,False
"FPD150","CH/FPD/ORIFICE/DESIGN","C1",2,True,False,0,"","Concentric square edged - Corner taps","Concentric square edged - Corner taps",,False
"FPD150","CH/FPD/ORIFICE/DESIGN","C3",3,True,False,0,"","Concentric - D & D/2 taps","Concentric - D & D/2 taps",,False
"FPD150","CH/FPD/ORIFICE/DESIGN","L1",4,True,False,0,"","Conical entrance - Corner taps","Conical entrance - Corner taps",,False
"FPD150","CH/FPD/ORIFICE/DESIGN","E1",5,True,False,0,"","Eccentric - Corner taps","Eccentric - Corner taps",,False
"FPD150","CH/FPD/ORIFICE/DESIGN","E2",6,True,False,0,"","Eccentric - Flange taps 90°","Eccentric - Flange taps 90°",,False
"FPD150","CH/FPD/ORIFICE/DESIGN","E3",7,True,False,0,"","Eccentric - Flange taps 180°","Eccentric - Flange taps 180°",,False
"FPD150","CH/FPD/ORIFICE/DESIGN","U1",8,True,False,0,"","Quarter circle - Corner taps","Quarter circle - Corner taps",,False
