"ColumnName","Value","Units","UnitsType","Expression","Notes"
"GADrawing1","FPD180.1","","","Exp1 AND Exp2 AND Exp5 AND Exp7","FPD180.1"
"GADrawing1","FPD180.2","","","Exp1 AND Exp3 AND Exp6 AND Exp7","FPD180.2"
"GADrawing1","FPD180.3","","","Exp1 AND Exp2 AND Exp5 AND Exp8","FPD180.3"
"GADrawing1","FPD180.4","","","Exp1 AND Exp3 AND Exp6 AND Exp8","FPD180.4"
"GADimensionL1","=16 * [PipeID]{length,PipeIDUnits}","m","length","","L1"
"GADimensionL2","=8 * [PipeID]{length,PipeIDUnits}","m","length","","L2"
"GADimensionL3","=24 * [PipeID]{length,PipeIDUnits}","m","length","","L3"
"GADimensionA","47.6","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp15 AND Exp16","O/DIA A = 47.6mm"
"GADimensionA","54","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp15 AND Exp17","O/DIA A = 54mm"
"GADimensionA","63.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp15 AND Exp18","O/DIA A = 63.5mm"
"GADimensionA","70","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp15 AND Exp19","O/DIA A = 70mm"
"GADimensionA","57","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp20 AND Exp16","O/DIA A = 57mm"
"GADimensionA","66.7","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp20 AND Exp17","O/DIA A = 66.7mm"
"GADimensionA","70","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp20 AND Exp18","O/DIA A = 70mm"
"GADimensionA","76","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp20 AND Exp19","O/DIA A = 76mm"
"GADimensionA","66.7","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp21 AND Exp16","O/DIA A = 66.7mm"
"GADimensionA","73","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp21 AND Exp17","O/DIA A = 73mm"
"GADimensionA","79.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp21 AND Exp18","O/DIA A = 79.5mm"
