"Expression","RuleType","SelectionOnly","ShortName","Notes"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('L1','C1','C2','C3')) AND ([Beta] IS NOT NULL) AND ([Beta] < 0.1)",4,False,"Beta value must be >= 0.1 - Consider using a lower DP to achieve a larger Beta or consider using a smaller line size.","Beta low stop (conical,concentric)"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='L1') AND ([Beta] IS NOT NULL) AND ([Beta] > 0.316)",4,False,"Beta must be <= 0.316 - Consider reducing Beta by accepting a higher DP or consider using a larger line size. please check the acceptability of the overall pressure loss.","Beta high stop (conical)"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('C1','C2','C3')) AND ([Beta] IS NOT NULL) AND ([Beta] > 0.75)",4,False,"Beta must be <= 0.75 - Consider reducing Beta by accepting a higher DP or consider using a larger line size. please check the acceptability of the overall pressure loss.","Beta high stop (concentric)"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('E1','E2','E3','S2')) AND ([Beta] IS NOT NULL) AND ([Beta] < 0.46)",4,False,"Beta value must be >= 0.46 - Consider using a lower DP to achieve a larger Beta or consider using a smaller line size.","Beta low stop (eccentric,segmental)"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('E1','E2','E3','S2')) AND ([Beta] IS NOT NULL) AND ([Beta] > 0.84)",4,False,"Beta must be <= 0.84 - Consider reducing Beta by accepting a higher DP or consider using a larger line size. please check the acceptability of the overall pressure loss.","Beta high stop (eccentric,segmental)"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('U1','U2')) AND ([Beta] IS NOT NULL) AND ([Beta] < 0.245)",4,False,"Beta value must be >= 0.245 - Consider using a lower DP to achieve a larger Beta or consider using a smaller line size.","Beta low stop (quarter circle)"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('U1','U2')) AND ([Beta] IS NOT NULL) AND ([Beta] > 0.6)",4,False,"Beta must be <= 0.6 - Consider reducing Beta by accepting a higher DP or consider using a larger line size. please check the acceptability of the overall pressure loss.","Beta high stop (quarter circle)"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='M2') AND ([PipeSupportDia] IS NULL)",3,True,"RTJ plates require support diameter to be specified","RTJ need support diameter"
"([SelectedItem]{CH/FPD/PRODUCT/DES} IN('M1','M3')) AND ([PipeSupportDia] IS NOT NULL)",3,True,"Support diameter not necessary (ID is used)","Not RTJ; no support diameter"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('C1','C3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([Beta] <= 0.56) AND ([ReynoldsNoAtMeterMax] < 5000)",2,False,"For Concentric plates with corner or (D + D/2) taps with Beta <= 0.56, Reynolds number must be >= 5000 - Reynolds number is less than the min limit for this product, please check the accuracy of the input data or consider decreasing the line size.","Beta/Reynolds @ meter max/Design (concentric:corner or D D/2)  minimum B<56"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('C1','C3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([Beta] > 0.56) AND ([ReynoldsNoAtMeterMax] < 16000 * [Beta] * [Beta])",2,False,"For Concentric plates with corner or (D + D/2) taps with Beta > 0.56, Reynolds number must be <= 16000*Beta² - Reynolds number is greater than the max limit for this product, please check the accuracy of the input data or consider increasing the line size.","Beta/Reynolds @ meter max/Design (concentric:corner or D D/2) minimum B>56"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='C2') AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] < 5000)",2,False,"For Concentric plates with Flange taps, Reynolds number must be >= 5000  -  Reynolds number is less than the min limit for this product, please check the accuracy of the input data or consider decreasing the line size.","Beta/Reynolds @ meter max/Design (concentric:flange) minimum 1"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='C2') AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] < 170 * [Beta] * [Beta] * [PipeID]{length,PipeIDUnits} * 1000)",2,False,"For Concentric plates with Flange taps, Reynolds number must be >= 170 * Beta² * PipeID (in mm) - Reynolds number is less than the min limit for this product, please check the accuracy of the input data or consider decreasing the line size.","Beta/Reynolds @ meter max/Design (concentric:flange) minimum 2"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('S2','E1','E2','E3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] < (200000 * [Beta] * [Beta]))",2,False,"For Segmental & Eccentric plates, Reynolds number must be >= 200000 * Beta² - Reynolds number is less than the min limit for this product, please check the accuracy of the input data or consider decreasing the line size.","Beta/Reynolds @ meter max/Design (segmental, eccentric) minimum"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('S2','E1','E2','E3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] > (1000000 * [Beta]))",2,False,"For Segmental & Eccentric plates, Reynolds number must be <= 1000000 * Beta - Reynolds number is greater than the max limit for this product, please check the accuracy of the input data or consider increasing the line size.","Beta/Reynolds @ meter max/Design (segmental, eccentric) maximum"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('U1','U2')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] > (100000 * [Beta]))",2,False,"For Quarter circle plates, Reynolds number must be < 100000*Beta- Reynolds number is greater than the max limit for this product, please check the accuracy of the input data or consider increasing the line size.","Beta/Reynolds @ meter max/Design (quarter circle) maximum"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('U1','U2')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] < ((1000 * [Beta]) + (9400000 * ([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24))))",2,False,"For Quarter circle plates, Reynolds number must be >= 1000*Beta + 9.4E6*(Beta-0.24)^8 - Reynolds number is less than the min limit for this product, please check the accuracy of the input data or consider decreasing the line size.","Beta/Reynolds @ meter max/Design (quarter circle) minimum"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='L1') AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] < 80)",2,False,"For Conical Entrance  plates, Reynolds number must be >80 - Reynolds number is less than the min limit for this product, please check the accuracy of the input data or consider decreasing the line size.","Beta/Reynolds @ meter max/Design (conical) minimum"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='L1') AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] > (200000 * [Beta]))",2,False,"For Conical Entrance plates, Reynolds number must be <200000 * Beta - Reynolds number is greater than the max limit for this product, please check the accuracy of the input data or consider increasing the line size.","Beta/Reynolds @ meter max/Design (conical) maximum"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('C1','C3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([Beta] <= 0.56) AND ([ReynoldsNoAtNormal] < 5000)",2,False,"For Concentric plates with corner or (D + D/2) taps with Beta <= 0.56, Reynolds number (@ normal flow) must be >= 5000 - Reynolds number is less than the min limit for this product, please check the accuracy of the input data or consider decreasing the line size.","Beta/Reynolds @ normal/Design (concentric:corner or D D/2)  minimum B<56"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='C2') AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([ReynoldsNoAtNormal] < 5000)",2,False,"For Concentric plates with Flange taps, Reynolds number (@ normal flow) must be >= 5000 - Reynolds number is less than the min limit for this product, please check the accuracy of the input data or consider decreasing the line size.","Beta/Reynolds @ normal/Design (concentric:flange) minimum 1"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='C2') AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([ReynoldsNoAtNormal] < 170 * [Beta] * [Beta] * [PipeID]{length,PipeIDUnits} * 1000)",2,False,"For Concentric plates with Flange taps, Reynolds number (@ normal flow) must be >= 170 * Beta² * PipeID (in mm)","Beta/Reynolds @ normal/Design (concentric:flange) minimum 2"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('S2','E1','E2','E3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([ReynoldsNoAtNormal] < (200000 * [Beta] * [Beta]))",2,False,"For Segmental & Eccentric plates, Reynolds number (@ normal flow) must be >= 200000 * Beta² - Reynolds number is less than the min limit for this product, please check the accuracy of the input data or consider decreasing the line size.","Beta/Reynolds @ normal/Design (segmental, eccentric) minimum"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('S2','E1','E2','E3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([ReynoldsNoAtNormal] > (1000000 * [Beta]))",2,False,"For Segmental & Eccentric plates, Reynolds number (@ normal flow) must be <= 1000000 * Beta - Reynolds number is greater than the max limit for this product, please check the accuracy of the input data or consider increasing the line size.","Beta/Reynolds @ normal/Design (segmental, eccentric) maximum"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('U1','U2')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([ReynoldsNoAtNormal] < ((1000 * [Beta]) + (9400000 * ([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24))))",2,False,"For Quarter circle plates, Reynolds number (@ normal flow) must be >= 1000*Beta + 9.4E6*(Beta-0.24)^8 - Reynolds number is less than the min limit for this product, please check the accuracy of the input data or consider decreasing the line size.","Beta/Reynolds @ normal/Design (quarter circle) minimum"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='L1') AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([ReynoldsNoAtNormal] < 80)",2,False,"For Conical Entrance  plates, Reynolds number (@ normal flow) must be >80 - Reynolds number is less than the min limit for this product, please check the accuracy of the input data or consider decreasing the line size.","Beta/Reynolds @ normal/Design (conical) minimum"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='L1') AND ([MachinedBore]{Length,PipeIDUnits} is not null) AND ([MachinedBore]{Length,PipeIDUnits} <= 0.006)",2,False,"For Conical Entrance plates, Machined bore must be greater than 6mm","Small bore and Design = L1"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('C1', 'C2', 'C3')) AND ([MachinedBore]{Length,PipeIDUnits} is not null) AND ([MachinedBore]{Length,PipeIDUnits} <= 0.0125)",2,False,"For Concentric plates, Machined bore must be greater than 12.5mm","Small bore and Design = C1, C2, C3"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('U1', 'U2')) AND ([MachinedBore]{Length,PipeIDUnits} is not null) AND ([MachinedBore]{Length,PipeIDUnits} <= 0.015)",2,False,"For Quarter Circle plates, Machined bore must be greater than 15mm","Small bore and Design = U1, U2"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('E1', 'E2', 'E3')) AND ([MachinedBore]{Length,PipeIDUnits} is not null) AND ([MachinedBore]{Length,PipeIDUnits} <= 0.05)",2,False,"For Eccentric plates, Machined bore must be greater than 50mm","Small bore and Design = E1, E2, E3"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} = 'S2') AND ([MachinedBore]{Length,PipeIDUnits} is not null) AND ([MachinedBore]{Length,PipeIDUnits} <= 0.05)",2,False,"For Segmental plates, Machined bore must be greater than 50mm","Small bore and Design = S2"
"([ReynoldsNoAtNormal] IS NULL)",2,False,"No normal flow provided; so Reynolds no for meter max flow used in checks.","Reynolds @ normal/Reynolds @ meter max"
