"ProductCode","SelectionGroup","PartNumber","Order","Active","DefaultItem","Cost","ExclusionRule","Name","Description","AdditionalData","InShortenedList"
"FPD180","CH/FPD/PRODUCT/DES","M1",1,True,False,0,"","Orifice Meter Run RF Flange Assembly","Orifice Meter Run RF Flange Assembly",,False
"FPD180","CH/FPD/PRODUCT/DES","M2",2,True,False,0,"","Orifice Meter Run RTJ M Integral Carrier","Orifice Meter Run RTJ M Integral Carrier",,False
"FPD180","CH/FPD/PRODUCT/DES","M3",3,True,False,0,"","Orifice Meter Run RTJ M Screwed Carrier","Orifice Meter Run RTJ M Screwed Carrier",,False
"FPD180","CH/FPD/CUST/STD","A1",1,True,False,0,"","Standard","Standard",,False
"FPD180","CH/FPD/CUST/STD","A2",2,True,False,0,"","Aramco Standard","Aramco Standard",,False
"FPD180","CH/FPD/CUST/STD","S1",3,True,False,0,"","Shell Standard","Shell Standard",,False
"FPD180","CH/FPD/ORIFICE/DESIGN","C1",1,True,False,0,"","Concentric square edged - Corner taps","Concentric square edged - Corner taps",,False
"FPD180","CH/FPD/ORIFICE/DESIGN","C2",2,True,False,0,"","Concentric square edged - Flange taps","Concentric square edged - Flange taps",,False
"FPD180","CH/FPD/ORIFICE/DESIGN","L1",4,True,False,0,"","Conical entrance - Corner taps","Conical entrance - Corner taps",,False
"FPD180","CH/FPD/ORIFICE/DESIGN","E1",5,True,False,0,"","Eccentric - Corner taps","Eccentric - Corner taps",,False
"FPD180","CH/FPD/ORIFICE/DESIGN","E2",6,True,False,0,"","Eccentric - Flange taps 90°","Eccentric - Flange taps 90°",,False
"FPD180","CH/FPD/ORIFICE/DESIGN","E3",7,True,False,0,"","Eccentric - Flange taps 180°","Eccentric - Flange taps 180°",,False
"FPD180","CH/FPD/ORIFICE/DESIGN","U1",8,True,False,0,"","Quarter circle - Corner taps","Quarter circle - Corner taps",,False
"FPD180","CH/FPD/ORIFICE/DESIGN","U2",9,True,False,0,"","Quarter circle - Flange taps","Quarter circle - Flange taps",,False
"FPD180","CH/FPD/ORIFICE/DESIGN","S2",10,True,False,0,"","Segmental - Flange taps","Segmental - Flange taps",,False
"FPD180","CH/FPD/ORIFICE/DESIGN","C5",11,True,False,0,"CH/FPD/CUST/STD=A2 OR CH/FPD/CUST/STD=S1","Multi-Hole - Flange taps","Multi-Hole - Flange taps",,False
"FPD180","CH/FPD/ORIFICE/DESIGN","C6",12,True,False,0,"CH/FPD/CUST/STD=A2 OR CH/FPD/CUST/STD=S1","Multi-Hole - Corner taps","Multi-Hole - Corner taps",,False
"FPD180","CH/FPD/LINE/SIZE","025",1,True,False,0,"CH/FPD/ORIFICE/DESIGN=C2 OR CH/FPD/ORIFICE/DESIGN=E1 OR CH/FPD/ORIFICE/DESIGN=E2 OR CH/FPD/ORIFICE/DESIGN=E3","DN 25 (1 in.)","DN 25 (1 in.)","1""",False
"FPD180","CH/FPD/LINE/SIZE","032",2,True,False,0,"CH/FPD/ORIFICE/DESIGN=C2 OR CH/FPD/ORIFICE/DESIGN=E1 OR CH/FPD/ORIFICE/DESIGN=E2 OR CH/FPD/ORIFICE/DESIGN=E3","DN 32 (1¼ in.)","DN 32 (1¼ in.)","1¼""",False
"FPD180","CH/FPD/LINE/SIZE","040",3,True,False,0,"CH/FPD/ORIFICE/DESIGN=C2 OR CH/FPD/ORIFICE/DESIGN=E1 OR CH/FPD/ORIFICE/DESIGN=E2 OR CH/FPD/ORIFICE/DESIGN=E3","DN 40 (1½ in.)","DN 40 (1½ in.)","1½""",False
"FPD180","CH/FPD/LINE/SIZE","050",4,True,False,0,"CH/FPD/ORIFICE/DESIGN=E1 OR CH/FPD/ORIFICE/DESIGN=E2 OR CH/FPD/ORIFICE/DESIGN=E3","DN 50 (2 in.)","DN 50 (2 in.)","2""",False
"FPD180","CH/FPD/LINE/SIZE","065",5,True,False,0,"CH/FPD/ORIFICE/DESIGN=E1 OR CH/FPD/ORIFICE/DESIGN=E2 OR CH/FPD/ORIFICE/DESIGN=E3","DN 65 (2½ in.)","DN 65 (2½ in.)","2½""",False
"FPD180","CH/FPD/LINE/SIZE","080",6,True,False,0,"CH/FPD/ORIFICE/DESIGN=E1 OR CH/FPD/ORIFICE/DESIGN=E2 OR CH/FPD/ORIFICE/DESIGN=E3","DN 80 (3 in.)","DN 80 (3 in.)","3""",False
"FPD180","CH/FPD/LINE/SIZE","090",7,True,False,0,"CH/FPD/ORIFICE/DESIGN=E1 OR CH/FPD/ORIFICE/DESIGN=E2 OR CH/FPD/ORIFICE/DESIGN=E3","DN 90 (3½ in.)","DN 90 (3½ in.)","3½""",False
"FPD180","CH/FPD/LINE/SIZE","100",8,True,False,0,"","DN 100 (4 in.)","DN 100 (4 in.)","4""",False
"FPD180","CH/FPD/LINE/SIZE","125",9,True,False,0,"","DN 125 (5 in.)","DN 125 (5 in.)","5""",False
"FPD180","CH/FPD/LINE/SIZE","150",10,True,False,0,"","DN 150 (6 in.)","DN 150 (6 in.)","6""",False
"FPD180","CH/FPD/LINE/SIZE","200",11,True,False,0,"","DN 200 (8 in.)","DN 200 (8 in.)","8""",False
"FPD180","CH/FPD/LINE/SIZE","250",12,True,False,0,"","DN 250 (10 in.)","DN 250 (10 in.)","10""",False
"FPD180","CH/FPD/LINE/SIZE","300",13,True,False,0,"","DN 300 (12 in.)","DN 300 (12 in.)","12""",False
"FPD180","CH/FPD/LINE/SIZE","350",14,True,False,0,"","DN 350 (14 in.)","DN 350 (14 in.)","14""",False
"FPD180","CH/FPD/LINE/SIZE","400",15,True,False,0,"","DN 400 (16 in.)","DN 400 (16 in.)","16""",False
"FPD180","CH/FPD/LINE/SIZE","450",16,True,False,0,"","DN 450 (18 in.)","DN 450 (18 in.)","18""",False
"FPD180","CH/FPD/LINE/SIZE","500",17,True,False,0,"","DN 500 (20 in.)","DN 500 (20 in.)","20""",False
"FPD180","CH/FPD/LINE/SIZE","600",19,True,False,0,"CH/FPD/ORIFICE/DESIGN=L1 OR CH/FPD/ORIFICE/DESIGN=U1 OR CH/FPD/ORIFICE/DESIGN=U2","DN 600 (24 in.)","DN 600 (24 in.)","24""",False
"FPD180","CH/FPD/LINE/SIZE","650",20,True,False,0,"CH/FPD/ORIFICE/DESIGN=L1 OR CH/FPD/ORIFICE/DESIGN=U1 OR CH/FPD/ORIFICE/DESIGN=U2","DN 650 (26 in.)","DN 650 (26 in.)","26""",False
"FPD180","CH/FPD/LINE/SIZE","700",21,True,False,0,"CH/FPD/ORIFICE/DESIGN=L1 OR CH/FPD/ORIFICE/DESIGN=U1 OR CH/FPD/ORIFICE/DESIGN=U2","DN 700 (28 in.)","DN 700 (28 in.)","28""",False
"FPD180","CH/FPD/LINE/SIZE","750",22,True,False,0,"CH/FPD/ORIFICE/DESIGN=L1 OR CH/FPD/ORIFICE/DESIGN=U1 OR CH/FPD/ORIFICE/DESIGN=U2","DN 750 (30 in.)","DN 750 (30 in.)","30""",False
"FPD180","CH/FPD/LINE/SIZE","800",23,True,False,0,"CH/FPD/ORIFICE/DESIGN=L1 OR CH/FPD/ORIFICE/DESIGN=U1 OR CH/FPD/ORIFICE/DESIGN=U2","DN 800 (32 in.)","DN 800 (32 in.)","32""",False
"FPD180","CH/FPD/LINE/SIZE","850",24,True,False,0,"CH/FPD/ORIFICE/DESIGN=L1 OR CH/FPD/ORIFICE/DESIGN=U1 OR CH/FPD/ORIFICE/DESIGN=U2","DN 850 (34 in.)","DN 850 (34 in.)","34""",False
"FPD180","CH/FPD/LINE/SIZE","900",25,True,False,0,"CH/FPD/ORIFICE/DESIGN=L1 OR CH/FPD/ORIFICE/DESIGN=U1 OR CH/FPD/ORIFICE/DESIGN=U2","DN 900 (36 in.)","DN 900 (36 in.)","36""",False
"FPD180","CH/FPD/LINE/SIZE","999",26,True,False,0,"","Others","Others","Customer",False
"FPD180","CH/FPD/PIPE/SCH","S1",1,True,False,0,"","Schedule 5S","Schedule 5S","5S",False
"FPD180","CH/FPD/PIPE/SCH","S2",2,True,False,0,"","Schedule 5","Schedule 5","5",False
"FPD180","CH/FPD/PIPE/SCH","S3",3,True,False,0,"","Schedule 10S","Schedule 10S","10S",False
"FPD180","CH/FPD/PIPE/SCH","S4",4,True,False,0,"","Schedule 10","Schedule 10","10",False
"FPD180","CH/FPD/PIPE/SCH","S5",5,True,False,0,"","Schedule 20","Schedule 20","20",False
"FPD180","CH/FPD/PIPE/SCH","S6",6,True,False,0,"","Schedule 30","Schedule 30","30",False
"FPD180","CH/FPD/PIPE/SCH","S7",7,True,False,0,"","Schedule 40S","Schedule 40S","40S",False
"FPD180","CH/FPD/PIPE/SCH","S8",8,True,False,0,"","Schedule 40","Schedule 40","40",False
"FPD180","CH/FPD/PIPE/SCH","S9",9,True,False,0,"","Schedule STD","Schedule STD","STD",False
"FPD180","CH/FPD/PIPE/SCH","T1",10,True,False,0,"","Schedule 60","Schedule 60","60",False
"FPD180","CH/FPD/PIPE/SCH","T2",11,True,False,0,"","Schedule 80S","Schedule 80S","80S",False
"FPD180","CH/FPD/PIPE/SCH","T3",12,True,False,0,"","Schedule 80","Schedule 80","80",False
"FPD180","CH/FPD/PIPE/SCH","T4",13,True,False,0,"","Schedule XS","Schedule XS","XS",False
"FPD180","CH/FPD/PIPE/SCH","T5",14,True,False,0,"","Schedule 100","Schedule 100","100",False
"FPD180","CH/FPD/PIPE/SCH","T6",15,True,False,0,"","Schedule 120","Schedule 120","120",False
"FPD180","CH/FPD/PIPE/SCH","T7",16,True,False,0,"","Schedule 140","Schedule 140","140",False
"FPD180","CH/FPD/PIPE/SCH","T8",17,True,False,0,"","Schedule 160","Schedule 160","160",False
"FPD180","CH/FPD/PIPE/SCH","T9",18,True,False,0,"","Schedule XXS","Schedule XXS","XXS",False
"FPD180","CH/FPD/PIPE/SCH","Z9",19,True,False,0,"","Others","Others","Customer",False
"FPD180","CH/FPD/NONELEM/MAT","S6",1,True,False,0,"","316/316L Stainless Steel","316/316L Stainless Steel",,False
"FPD180","CH/FPD/NONELEM/MAT","S4",2,True,False,0,"","304/304L Stainless Steel","304/304L Stainless Steel",,False
"FPD180","CH/FPD/NONELEM/MAT","C3",3,True,False,0,"","Carbon Steel (A105N/A106 GrB)","Carbon Steel (A105N/A106 GrB)",,False
"FPD180","CH/FPD/NONELEM/MAT","C4",4,True,False,0,"","Low Temp Carbon Steel (LF2 C1/A333 Gr 6)","Low Temp Carbon Steel (LF2 C1/A333 Gr 6)",,False
"FPD180","CH/FPD/NONELEM/MAT","S3",5,True,False,0,"","310 Stainless Steel","310 Stainless Steel",,False
"FPD180","CH/FPD/NONELEM/MAT","S2",6,True,False,0,"","321 Stainless Steel","321 Stainless Steel",,False
