"ProductCode","SelectionGroup","GrpOrder","InProductCode","MustSelect","SingleSelection","SpecialGroup","MustSelectRule","Name","Description","EnglishUS","EnglishUS_LongDesc","French","French_LongDesc","German","German_LongDesc","Spanish","Spanish_LongDesc","Russian","Russian_LongDesc"
FPD180,CH/FPD/PRODUCT/DES,1,True,True,True,6,,"Product Design","Product Design","","","","","","","","","",""
FPD180,CH/FPD/CUST/STD,2,True,True,True,0,,"Customer-specific Design","Customer-specific Design","","","","","","","","","",""
FPD180,CH/FPD/ORIFICE/DESIGN,3,True,True,True,7,,"Orifice Design","Orifice Design","","","","","","","","","",""
FPD180,CH/FPD/LINE/SIZE,4,True,True,True,4,,"Meter Nominal Bore","Meter Nominal Bore","","","","","","","","","",""
FPD180,CH/FPD/PIPE/SCH,5,True,True,True,5,,"Metering Pipe Schedule","Metering Pipe Schedule","","","","","","","","","",""
FPD180,CH/FPD/NONELEM/MAT,6,True,True,True,2,,"Pipework Material","Pipework Material","","","","","","","","","",""
FPD180,CH/FPD/ELEM/MAT,7,True,True,True,3,,"Orifice Plate Material","Orifice Plate Material","","","","","","","","","",""
FPD180,CH/FPD/PLATE/THICK,8,True,True,True,0,,"Orifice Plate Thickness","Orifice Plate Thickness","","","","","","","","","",""
FPD180,CH/FPD/CONN/TYPE,9,True,True,True,24,,"Flange Type (Process/Orifice)","Flange Type (Process/Orifice)","","","","","","","","","",""
FPD180,CH/FPD/END/CONN/RAT,10,True,True,True,10,,"Flange Rating","Flange Rating","","","","","","","","","",""
FPD180,CH/FPD/BOLT/TYPE/MAT,11,True,True,True,0,,"Bolt Type & Material","Bolt Type & Material","","","","","","","","","",""
FPD180,CH/FPD/GASKET,12,True,True,True,0,,"Gasket Material","Gasket Material","","","","","","","","","",""
FPD180,CH/FPD/HONED,13,True,False,True,0,,"Honing of upstream pipework","Honing of upstream pipework","","","","","","","","","",""
FPD180,CH/FPD/LENGTH,14,True,False,True,0,,"Metering section length","Metering section length","","","","","","","","","",""
FPD180,CH/FPD/ORI/SEALING/FACE,15,True,False,True,0,,"Orifice Sealing Face","Orifice Sealing Face","","","","","","","","","",""
FPD180,CH/FPD/DRAIN/VENT,16,True,False,True,21,,"Drain/Vent Hole","Drain/Vent Hole","","","","","","","","","",""
FPD180,CH/FPD/DRAIN/VENT/SIZE,17,True,False,True,22,,"Drain/Vent Hole Size","Drain/Vent Hole Size","","","","","","","","","",""
FPD180,CH/FPD/SURFACE/TREAT,18,True,False,False,0,,"Surface Treatment","Surface Treatment","","","","","","","","","",""
FPD180,CH/FPD/TAPPING/TYPE,19,True,True,True,0,,"Tapping Type","Tapping Type","","","","","","","","","",""
FPD180,CH/FPD/TAPPING/RAT,20,True,True,True,0,,"Tapping Rating","Tapping Rating","","","","","","","","","",""
FPD180,CH/FPD/TAPPING/SIZE,21,True,True,True,0,,"Tapping Size","Tapping Size","","","","","","","","","",""
FPD180,CH/FPD/TAPPING/SETS,22,True,True,True,0,,"Tapping Sets","Tapping Sets","","","","","","","","","",""
FPD180,CH/FPD/TAPPING/ORIENT,23,True,False,True,0,,"Tapping Orientation","Tapping Orientation","","","","","","","","","",""
FPD180,CH/FPD/CERTIFICATION,24,True,False,False,0,,"Certification","Certification","","","","","","","","","",""
FPD180,CH/FPD/TESTING,25,True,False,False,0,,"Testing","Testing","","","","","","","","","",""
FPD180,CH/FPD/DOC/LANG,26,True,False,False,0,,"Documentation Language","Documentation Language","","","","","","","","","",""
FPD180,CH/FPD/ADD/REQ,27,True,False,False,0,,"Added Requirements","Added Requirements","","","","","","","","","",""
FPD180,CH/FPD/TAB/HANDLE,28,True,False,True,0,,"Tab Handle","Tab Handle","","","","","","","","","",""
FPD180,Calculation Type,99,False,True,True,20,,"Calculation Type","Calculation Type","","","","","","","","","",""
