"ProductCode","SelectionGroup","PartNumber","Order","Active","DefaultItem","Cost","ExclusionRule","Name","Description","AdditionalData","InShortenedList"
"FPD320","CH/FPD/PRODUCT/DES","N1",1,True,False,0,"","ASME PTC-6","ASME PTC-6",,False
"FPD320","CH/FPD/PRODUCT/DES","N2",2,True,False,0,"","ISA 1932","ISA 1932",,False
"FPD320","CH/FPD/PRODUCT/DES","N3",3,True,False,0,"","Long Radius","Long Radius",,False
"FPD320","CH/FPD/PRODUCT/DES","N4",4,True,False,0,"","ASME MFC-3M","ASME MFC-3M",,False
"FPD320","CH/FPD/PRODUCT/DES","N5",5,True,False,0,"","Venturi Nozzle","Venturi Nozzle",,False
"FPD320","CH/FPD/NONELEM/MAT","S6",1,True,False,0,"","316/316L Stainless Steel","316/316L Stainless Steel",,False
"FPD320","CH/FPD/NONELEM/MAT","S4",2,True,False,0,"","304/304L Stainless Steel","304/304L Stainless Steel",,False
"FPD320","CH/FPD/NONELEM/MAT","C3",3,True,False,0,"","Carbon Steel (A105N/A106 GrB)","Carbon Steel (A105N/A106 GrB)",,False
"FPD320","CH/FPD/NONELEM/MAT","C4",4,True,False,0,"","Low Temp Carbon Steel (A350 LF2 C1/A333 Gr 6)","Low Temp Carbon Steel (A350 LF2 C1/A333 Gr 6)",,False
"FPD320","CH/FPD/NONELEM/MAT","S3",5,True,False,0,"","310 Stainless Steel","310 Stainless Steel",,False
"FPD320","CH/FPD/NONELEM/MAT","S2",6,True,False,0,"","321 Stainless Steel","321 Stainless Steel",,False
"FPD320","CH/FPD/NONELEM/MAT","S8",7,True,False,0,"","317/317L Stainless Steel","317/317L Stainless Steel",,False
"FPD320","CH/FPD/NONELEM/MAT","D1",8,True,False,0,"","22% Cr Duplex (UNS S31803)","22% Cr Duplex (UNS S31803)",,False
"FPD320","CH/FPD/NONELEM/MAT","D2",9,True,False,0,"","25% Cr Super Duplex (UNS S32750/S32760)","25% Cr Super Duplex (UNS S32750/S32760)",,False
"FPD320","CH/FPD/NONELEM/MAT","M1",10,True,False,0,"","6% Mo SS (UNS S31254)","6% Mo SS (UNS S31254)",,False
"FPD320","CH/FPD/NONELEM/MAT","M4",11,True,False,0,"","Alloy 400 (UNS N04400)","Alloy 400 (UNS N04400)",,False
"FPD320","CH/FPD/NONELEM/MAT","N2",12,True,False,0,"","Alloy 625 (UNS N06625)","Alloy 625 (UNS N06625)",,False
"FPD320","CH/FPD/NONELEM/MAT","U4",13,True,False,0,"","Alloy 800 (UNS N08800)","Alloy 800 (UNS N08800)",,False
"FPD320","CH/FPD/NONELEM/MAT","U5",14,True,False,0,"","Alloy 825 (UNS N08825)","Alloy 825 (UNS N08825)",,False
"FPD320","CH/FPD/NONELEM/MAT","U7",15,True,False,0,"","Alloy C276 (UNS N10276)","Alloy C276 (UNS N10276)",,False
"FPD320","CH/FPD/NONELEM/MAT","K3",16,True,False,0,"","5Cr-½Mo Low Alloy F5 (UNS K41545)","5Cr-½Mo Low Alloy F5 (UNS K41545)",,False
"FPD320","CH/FPD/NONELEM/MAT","F6",17,True,False,0,"","9Cr-1Mo Low Alloy F9 (UNS K90941)","9Cr-1Mo Low Alloy F9 (UNS K90941)",,False
"FPD320","CH/FPD/NONELEM/MAT","K4",18,True,False,0,"","1¼Cr-½Mo Low Alloy F11 (UNS K11597)","1¼Cr-½Mo Low Alloy F11 (UNS K11597)",,False
"FPD320","CH/FPD/NONELEM/MAT","K5",19,True,False,0,"","2¼Cr-1Mo Low Alloy F22 (UNS K21590)","2¼Cr-1Mo Low Alloy F22 (UNS K21590)",,False
"FPD320","CH/FPD/NONELEM/MAT","F7",20,True,False,0,"","9Cr-1Mo-V Low Alloy F91 (UNS K91560)","9Cr-1Mo-V Low Alloy F91 (UNS K91560)",,False
"FPD320","CH/FPD/NONELEM/MAT","Z9",21,True,False,0,"","Others","Others","Customer",False
"FPD320","CH/FPD/ELEM/MAT","S6",1,True,False,0,"","316/316L Stainless Steel","316/316L Stainless Steel",,False
"FPD320","CH/FPD/ELEM/MAT","S4",2,True,False,0,"","304/304L Stainless Steel","304/304L Stainless Steel",,False
"FPD320","CH/FPD/ELEM/MAT","S3",3,True,False,0,"","310 Stainless Steel","310 Stainless Steel",,False
"FPD320","CH/FPD/ELEM/MAT","S2",4,True,False,0,"","321 Stainless Steel","321 Stainless Steel",,False
"FPD320","CH/FPD/ELEM/MAT","S8",5,True,False,0,"","317/317L Stainless Steel","317/317L Stainless Steel",,False
"FPD320","CH/FPD/ELEM/MAT","D1",6,True,False,0,"","22% Cr Duplex (UNS S31803)","22% Cr Duplex (UNS S31803)",,False
"FPD320","CH/FPD/ELEM/MAT","D2",7,True,False,0,"","25% Cr Super Duplex (UNS S32750)","25% Cr Super Duplex (UNS S32750)",,False
"FPD320","CH/FPD/ELEM/MAT","D3",8,True,False,0,"","25% Cr Super Duplex (UNS S32760)","25% Cr Super Duplex (UNS S32760)",,False
"FPD320","CH/FPD/ELEM/MAT","M1",9,True,False,0,"","6% Mo SS (UNS S31254)","6% Mo SS (UNS S31254)",,False
"FPD320","CH/FPD/ELEM/MAT","M4",10,True,False,0,"","Alloy 400 (UNS N04400)","Alloy 400 (UNS N04400)",,False
"FPD320","CH/FPD/ELEM/MAT","N2",11,True,False,0,"","Alloy 625 (UNS N06625)","Alloy 625 (UNS N06625)",,False
"FPD320","CH/FPD/ELEM/MAT","U4",12,True,False,0,"","Alloy 800 (UNS N08800)","Alloy 800 (UNS N08800)",,False
"FPD320","CH/FPD/ELEM/MAT","U5",13,True,False,0,"","Alloy 825 (UNS N08825)","Alloy 825 (UNS N08825)",,False
"FPD320","CH/FPD/ELEM/MAT","U7",14,True,False,0,"","Alloy C276 (UNS N010276)","Alloy C276 (UNS N010276)",,False
"FPD320","CH/FPD/ELEM/MAT","K3",15,True,False,0,"","5Cr-½Mo Low Alloy F5 (UNS K41545)","5Cr-½Mo Low Alloy F5 (UNS K41545)",,False
"FPD320","CH/FPD/ELEM/MAT","F6",16,True,False,0,"","9Cr-1Mo Low Alloy F9 (UNS K90941)","9Cr-1Mo Low Alloy F9 (UNS K90941)",,False
"FPD320","CH/FPD/ELEM/MAT","K4",17,True,False,0,"","1¼Cr-½Mo Low Alloy F11 (UNS K11597)","1¼Cr-½Mo Low Alloy F11 (UNS K11597)",,False
"FPD320","CH/FPD/ELEM/MAT","K5",18,True,False,0,"","2¼Cr-1Mo Low Alloy F22 (UNS K21590)","2¼Cr-1Mo Low Alloy F22 (UNS K21590)",,False
"FPD320","CH/FPD/ELEM/MAT","F7",19,True,False,0,"","9Cr-1Mo-V Low Alloy F91 (UNS K91560)","9Cr-1Mo-V Low Alloy F91 (UNS K91560)",,False
"FPD320","CH/FPD/ELEM/MAT","Z9",20,True,False,0,"","Others","Others","Customer",False
