"Design","DiameterMax_m","Parameter","Value"
"E2",0.1,"a",0.5917
"E2",0.1,"b",0.3061
"E2",0.1,"c",0.3406
"E2",0.1,"d",-0.1019
"E2",0.1,"e",-0.2715
"E2",0.1,"f",7.3
"E2",0.1,"g",-15.7
"E2",0.1,"h",170.8
"E2",0.1,"i",-399.7
"E2",0.1,"j",332.2
"E3",0.1,"a",0.5866
"E3",0.1,"b",0.3917
"E3",0.1,"c",0.7586
"E3",0.1,"d",-0.2273
"E3",0.1,"e",-0.3343
"E3",0.1,"f",69.1
"E3",0.1,"g",-469.4
"E3",0.1,"h",1245.6
"E3",0.1,"i",-1287.5
"E3",0.1,"j",486.2
"E2",9999999,"a",0.6016
"E2",9999999,"b",0.3312
"E2",9999999,"c",-1.5581
"E2",9999999,"d",0.651
"E2",9999999,"e",-0.7308
"E2",9999999,"f",-139.7
"E2",9999999,"g",1328.8
"E2",9999999,"h",-4228.2
"E2",9999999,"i",5691.9
"E2",9999999,"j",-2710.4
"E3",9999999,"a",0.6037
"E3",9999999,"b",0.1598
"E3",9999999,"c",-0.2918
"E3",9999999,"d",0.0244
"E3",9999999,"e",-0.079
"E3",9999999,"f",-103.2
"E3",9999999,"g",898.3
"E3",9999999,"h",-2557.3
"E3",9999999,"i",2977
"E3",9999999,"j",-1131.3
"S2",0.1,"a",0.6284
"S2",0.1,"b",0.1462
"S2",0.1,"c",-0.8464
"S2",0.1,"d",0.2603
"S2",0.1,"e",-0.2886
"S2",9999999,"a",0.6276
"S2",9999999,"b",0.0828
"S2",9999999,"c",0.2739
"S2",9999999,"d",-0.0934
"S2",9999999,"e",-0.1132
