ProductCode,SelectionGroup,GrpOrder,InProductCode,MustSelect,SingleSelection,SpecialGroup,MustSelectRule,Cost,Name,Description,EnglishUS,EnglishUS_LongDesc,French,French_LongDesc,German,German_LongDesc,Spanish,Spanish_LongDesc,Russian,Russian_LongDesc
FPD170,CH/FPD/PRODUCT/DES,1,TRUE,TRUE,TRUE,6,,Product Design,Product Design,,,,,,,,,,,
FPD170,CH/FPD/CUST/STD,2,TRUE,TRUE,TRUE,0,,Customer-specific Design,Customer-specific Design,,,,,,,,,,,
FPD170,CH/FPD/ORIFICE/DESIGN,3,TRUE,TRUE,TRUE,7,,Orifice Design,Orifice Design,,,,,,,,,,,
FPD170,CH/FPD/LINE/SIZE,4,TRUE,TRUE,TRUE,4,,Line Nominal Bore,Line Nominal Bore,,,,,,,,,,,
FPD170,CH/FPD/PIPE/SCH,5,TRUE,TRUE,TRUE,5,,Pipe Schedule,Pipe Schedule,,,,,,,,,,,
FPD170,CH/FPD/NONELEM/MAT,6,TRUE,TRUE,TRUE,2,,Carrier Material,Carrier Material,,,,,,,,,,,
FPD170,CH/FPD/ELEM/MAT,7,TRUE,TRUE,TRUE,3,,Orifice Plate Material,Orifice Plate Material,,,,,,,,,,,
FPD170,CH/FPD/PLATE/THICK,8,TRUE,TRUE,TRUE,0,,Orifice Plate Thickness,Orifice Plate Thickness,,,,,,,,,,,
FPD170,CH/FPD/END/CONN/TYPE,9,TRUE,TRUE,TRUE,24,,Flange Type,Flange Type,,,,,,,,,,,
FPD170,CH/FPD/END/CONN/RAT,10,TRUE,TRUE,TRUE,10,,Flange Rating,Flange Rating,,,,,,,,,,,
FPD170,CH/FPD/GASKET,11,TRUE,FALSE,TRUE,0,CH/FPD/PRODUCT/DES=C1,Gasket Material,Gasket Material,,,,,,,,,,,
FPD170,CH/FPD/ORI/SEALING/FACE,12,TRUE,FALSE,TRUE,0,,Orifice Sealing Face,Orifice Sealing Face,,,,,,,,,,,
FPD170,CH/FPD/DRAIN/VENT,13,TRUE,FALSE,TRUE,21,,Drain/Vent Hole,Drain/Vent Hole,,,,,,,,,,,
FPD170,CH/FPD/DRAIN/VENT/SIZE,14,TRUE,FALSE,TRUE,22,,Drain/Vent Hole Size,Drain/Vent Hole Size,,,,,,,,,,,
FPD170,CH/FPD/SURFACE/TREAT,15,TRUE,FALSE,FALSE,0,,Surface Treatment,Surface Treatment,,,,,,,,,,,
FPD170,CH/FPD/TAPPING/TYPE,16,TRUE,TRUE,TRUE,0,,Tapping Type,Tapping Type,,,,,,,,,,,
FPD170,CH/FPD/TAPPING/RAT,17,TRUE,TRUE,TRUE,0,,Tapping Rating,Tapping Rating,,,,,,,,,,,
FPD170,CH/FPD/TAPPING/SIZE,18,TRUE,TRUE,TRUE,0,,Tapping Size,Tapping Size,,,,,,,,,,,
FPD170,CH/FPD/TAPPING/SETS,19,TRUE,TRUE,TRUE,0,,Tapping Sets,Tapping Sets,,,,,,,,,,,
FPD170,CH/FPD/TAPPING/ORIENT,20,TRUE,FALSE,TRUE,0,,Tapping Orientation,Tapping Orientation,,,,,,,,,,,
FPD170,CH/FPD/CERTIFICATION,21,TRUE,FALSE,FALSE,0,,Certification,Certification,,,,,,,,,,,
FPD170,CH/FPD/TESTING,22,TRUE,FALSE,FALSE,0,,Testing,Testing,,,,,,,,,,,
FPD170,CH/FPD/DOC/LANG,23,TRUE,FALSE,FALSE,0,,Documentation Language (default = English),Documentation Language (default = English),,,,,,,,,,,
FPD170,CH/FPD/ADD/REQ,24,TRUE,FALSE,FALSE,0,,Added Requirements,Added Requirements,,,,,,,,,,,
FPD170,CH/FPD/TAB/HANDLE,25,TRUE,FALSE,TRUE,0,,Tab Handle,Tab Handle,,,,,,,,,,,
FPD170,Calculation Type,99,FALSE,TRUE,TRUE,20,,,Calculation Type,Calculation Type,,,,,,,,,,
FPD175,CH/FPD175/MODEL/DESIGN,1,TRUE,TRUE,TRUE,6,,Model and design level,Model and design level,,,,,,,,,,,
FPD175,CH/FPD175/METER/SIZE,2,TRUE,TRUE,TRUE,4,,Meter size,Meter size,,,,,,,,,,,
FPD175,CH/FPD175/FLUID,3,TRUE,TRUE,TRUE,1,,Fluid,Fluid,,,,,,,,,,,
FPD175,CH/FPD175/BETA/RATIO,4,TRUE,TRUE,TRUE,40,,Beta ratio,Beta ratio,,,,,,,,,,,
FPD175,CH/FPD175/PRESS/RAT,5,TRUE,TRUE,TRUE,0,,Pressure rating,Pressure rating,,,,,,,,,,,
FPD175,CH/FPD175/MANIFOLD,6,TRUE,TRUE,TRUE,0,,Manifold,Manifold,,,,,,,,,,,
FPD175,CH/FPD175/ORIEN,7,TRUE,TRUE,TRUE,0,,Pipeline orientation,Pipeline orientation,,,,,,,,,,,
FPD175,CH/FPD175/TEMP/ELEM,8,TRUE,FALSE,TRUE,0,,Temperature element,Temperature element,,,,,,,,,,,
FPD175,CH/FPD175/CERTIFICATE,9,TRUE,FALSE,FALSE,0,,Certificates,Certificates,,,,,,,,,,,
FPD175,CH/FPD175/DOC/LANG,10,TRUE,FALSE,FALSE,0,,Documentation language,Documentation language,,,,,,,,,,,
FPD175,CH/FPD175/TX/MTG,11,TRUE,FALSE,TRUE,0,CH/FPD175/FLUID=S2,Transmitter mounting,Transmitter mounting,,,,,,,,,,,
FPD175,CH/FPD175/FIT/TX,12,TRUE,FALSE,TRUE,0,,Fitted transmitter,Fitted transmitter,,,,,,,,,,,
FPD175,OriMasterMaterial,19,FALSE,TRUE,TRUE,2,,,Material,Material,,,,,,,,,,
