Notes,Expression,SelectionOnly,RuleType,ShortName,EnglishUS,French,German,Spanish,Russian
"Beta low stop (conical,concentric)","([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('L1','C1','C2','C3')) AND ([Beta] IS NOT NULL) AND ([Beta] < 0.1)",FALSE,4,Beta value must be >= 0.1,,,,,
Beta high stop (conical),([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='L1') AND ([Beta] IS NOT NULL) AND ([Beta] > 0.316),FALSE,4,Beta must be <= 0.316,,,,,
Beta high stop (concentric),"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('C1','C2','C3')) AND ([Beta] IS NOT NULL) AND ([Beta] > 0.75)",FALSE,4,Beta must be <= 0.75,,,,,
"Beta low stop (eccentric,segmental)","([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('E1','E2','E3','S2')) AND ([Beta] IS NOT NULL) AND ([Beta] < 0.46)",FALSE,4,Beta value must be >= 0.46,,,,,
"Beta high stop (eccentric,segmental)","([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('E1','E2','E3','S2')) AND ([Beta] IS NOT NULL) AND ([Beta] > 0.84)",FALSE,4,Beta must be <= 0.84,,,,,
Beta low stop (quarter circle),"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('U1','U2')) AND ([Beta] IS NOT NULL) AND ([Beta] < 0.245)",FALSE,4,Beta value must be >= 0.245,,,,,
Beta high stop (quarter circle),"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('U1','U2')) AND ([Beta] IS NOT NULL) AND ([Beta] > 0.6)",FALSE,4,Beta must be <= 0.6,,,,,
RTJ need support diameter,"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C3','C4')) AND ([PipeSupportDia] IS NULL)",TRUE,3,RTJ plates require support diameter to be specified,,,,,
Not RTJ; no support diameter,"([SelectedItem]{CH/FPD/PRODUCT/DES}='C1','C2'.'C5') AND ([PipeSupportDia] IS NOT NULL)",TRUE,3,Support diameter not necessary (ID is used),,,,,
Beta/Reynolds @ meter max/Design (concentric:corner or D D/2)  minimum B<56,"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('C1','C3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([Beta] <= 0.56) AND ([ReynoldsNoAtMeterMax] < 5000)",FALSE,2,"For Concentric plates with corner or (D + D/2) taps with Beta <= 0.56, Reynolds number must be >= 5000",,,,,
Beta/Reynolds @ meter max/Design (concentric:corner or D D/2) minimum B>56,"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('C1','C3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([Beta] > 0.56) AND ([ReynoldsNoAtMeterMax] < 16000 * [Beta] * [Beta])",FALSE,2,"For Concentric plates with corner or (D + D/2) taps with Beta > 0.56, Reynolds number must be <= 16000*Beta²",,,,,
Beta/Reynolds @ meter max/Design (concentric:flange) minimum 1,([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='C2') AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] < 5000),FALSE,2,"For Concentric plates with Flange taps, Reynolds number must be >= 5000",,,,,
Beta/Reynolds @ meter max/Design (concentric:flange) minimum 2,"([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='C2') AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] < 170 * [Beta] * [Beta] * [PipeID]{length,PipeIDUnits} * 1000)",FALSE,2,"For Concentric plates with Flange taps, Reynolds number must be >= 170 * Beta² * PipeID (in mm)",,,,,
"Beta/Reynolds @ meter max/Design (segmental, eccentric) minimum","([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('S2','E1','E2','E3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] < (200000 * [Beta] * [Beta]))",FALSE,2,"For Segmental plates, Reynolds number must be >= 200000 * Beta 2",,,,,
"Beta/Reynolds @ meter max/Design (segmental, eccentric) maximum","([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('S2','E1','E2','E3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] < (1000000 * [Beta]))",FALSE,2,"For Segmental plates, Reynolds number must be >= 1000000 * Beta ",,,,,
Beta/Reynolds @ meter max/Design (quarter circle) maximum,"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('U1','U2')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] > (100000 * [Beta]))",FALSE,2,"For Quarter circle plates, Reynolds number must be < 100000*Beta",,,,,
Beta/Reynolds @ meter max/Design (quarter circle) minimum,"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('U1','U2')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] < ((1000 * [Beta]) + (9400000 * ([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24))))",FALSE,2,"For Quarter circle plates, Reynolds number must be >= 1000*Beta + 9.4E6*(Beta-0.24)^8",,,,,
Beta/Reynolds @ meter max/Design (conical) minimum,([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='L1') AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] < 80),FALSE,2,"For Conical Entrance  plates, Reynolds number must be >80",,,,,
Beta/Reynolds @ meter max/Design (conical) maximum,([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='L1') AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] > (200000 * [Beta])),FALSE,2,"For Conical Entrance  plates, Reynolds number must be <200000 * Beta",,,,,
Beta/Reynolds @ normal/Design (concentric:corner or D D/2)  minimum B<56,"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('C1','C3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([Beta] <= 0.56) AND ([ReynoldsNoAtNormal] < 5000)",FALSE,2,"For Concentric plates with corner or (D + D/2) taps with Beta <= 0.56, Reynolds number (@ normal flow) must be >= 5000",,,,,
Beta/Reynolds @ normal/Design (concentric:flange) minimum 1,([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='C2') AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([ReynoldsNoAtNormal] < 5000),FALSE,2,"For Concentric plates with Flange taps, Reynolds number (@ normal flow) must be >= 5000",,,,,
