ColumnName,Value,Units,UnitsType,Notes,Expression
GADrawing1,FPD180.1,,,FPD180.1,Exp1 AND Exp2 AND Exp5 AND Exp7
GADrawing1,FPD180.2,,,FPD180.2,Exp1 AND Exp3 AND Exp6 AND Exp7
GADrawing1,FPD180.3,,,FPD180.3,Exp1 AND Exp2 AND Exp5 AND Exp8
GADrawing1,FPD180.4,,,FPD180.4,Exp1 AND Exp3 AND Exp6 AND Exp8
GADimensionL1,"=16 * [PipeID]{length,PipeIDUnits}",m,length,L1,
GADimensionL2,"=8 * [PipeID]{length,PipeIDUnits}",m,length,L2,
GADimensionL3,"=24 * [PipeID]{length,PipeIDUnits}",m,length,L3,
GADimensionA,47.6,mm,length,O/DIA A = 47.6mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp15 AND Exp16
GADimensionA,54,mm,length,O/DIA A = 54mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp15 AND Exp17
GADimensionA,63.5,mm,length,O/DIA A = 63.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp15 AND Exp18
GADimensionA,70,mm,length,O/DIA A = 70mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp15 AND Exp19
GADimensionA,57,mm,length,O/DIA A = 57mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp20 AND Exp16
GADimensionA,66.7,mm,length,O/DIA A = 66.7mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp20 AND Exp17
GADimensionA,70,mm,length,O/DIA A = 70mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp20 AND Exp18
GADimensionA,76,mm,length,O/DIA A = 76mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp20 AND Exp19
GADimensionA,66.7,mm,length,O/DIA A = 66.7mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp21 AND Exp16
GADimensionA,73,mm,length,O/DIA A = 73mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp21 AND Exp17
GADimensionA,79.5,mm,length,O/DIA A = 79.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp21 AND Exp18
GADimensionA,85.5,mm,length,O/DIA A = 85.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp21 AND Exp19
GADimensionA,76,mm,length,O/DIA A = 76mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp22 AND Exp16
GADimensionA,82.5,mm,length,O/DIA A = 82.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp22 AND Exp17
GADimensionA,89,mm,length,O/DIA A = 89mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp22 AND Exp18
GADimensionA,105,mm,length,O/DIA A = 105mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp22 AND Exp19
GADimensionA,85.5,mm,length,O/DIA A = 85.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp23 AND Exp16
GADimensionA,95.3,mm,length,O/DIA A = 95.3mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp23 AND Exp17
GADimensionA,98.5,mm,length,O/DIA A = 98.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp23 AND Exp18
GADimensionA,117.5,mm,length,O/DIA A = 117.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp23 AND Exp19
