ProductCode,SelectionGroup,GrpOrder,PartNumber,Order,Active,DefaultItem,ExclusionRule,Name,Description,AdditionalData,EnglishUS,EnglishUS_LongDesc,French,French_LongDesc,German,German_LongDesc,Spanish,Spanish_LongDesc,Russian,Russian_LongDesc
FPD180,CH/FPD/PRODUCT/DES,1,M1,1,TRUE,FALSE,,Orifice Meter Run RF Flange Assembly,Orifice Meter Run RF Flange Assembly,,,,,,,,,,,
FPD180,CH/FPD/PRODUCT/DES,1,M2,2,TRUE,FALSE,,Orifice Meter Run RTJ M Integral Carrier,Orifice Meter Run RTJ M Integral Carrier,,,,,,,,,,,
FPD180,CH/FPD/PRODUCT/DES,1,M3,3,TRUE,FALSE,,Orifice Meter Run RTJ M Screwed Carrier,Orifice Meter Run RTJ M Screwed Carrier,,,,,,,,,,,
FPD180,CH/FPD/CUST/STD,2,A1,1,TRUE,FALSE,,ABB Standard,ABB Standard,,,,,,,,,,,
FPD180,CH/FPD/CUST/STD,2,A2,2,TRUE,FALSE,,Aramco Standard,Aramco Standard,,,,,,,,,,,
FPD180,CH/FPD/CUST/STD,2,S1,3,TRUE,FALSE,,Shell Standard,Shell Standard,,,,,,,,,,,
FPD180,CH/FPD/ORIFICE/DESIGN,3,C1,1,TRUE,FALSE,,Concentric square edged - Corner taps,Concentric square edged - Corner taps,,,,,,,,,,,
FPD180,CH/FPD/ORIFICE/DESIGN,3,C2,2,TRUE,FALSE,,Concentric square edged - Flange taps,Concentric square edged - Flange taps,,,,,,,,,,,
FPD180,CH/FPD/ORIFICE/DESIGN,3,L1,4,TRUE,FALSE,,Conical entrance - Corner taps,Conical entrance - Corner taps,,,,,,,,,,,
FPD180,CH/FPD/ORIFICE/DESIGN,3,E1,5,TRUE,FALSE,,Eccentric - Corner taps,Eccentric - Corner taps,,,,,,,,,,,
FPD180,CH/FPD/ORIFICE/DESIGN,3,E2,6,TRUE,FALSE,,Eccentric - Flange taps 90°,Eccentric - Flange taps 90°,,,,,,,,,,,
FPD180,CH/FPD/ORIFICE/DESIGN,3,E3,7,TRUE,FALSE,,Eccentric - Flange taps 180°,Eccentric - Flange taps 180°,,,,,,,,,,,
FPD180,CH/FPD/ORIFICE/DESIGN,3,U1,8,TRUE,FALSE,,Quarter circle - Corner taps,Quarter circle - Corner taps,,,,,,,,,,,
FPD180,CH/FPD/ORIFICE/DESIGN,3,U2,9,TRUE,FALSE,,Quarter circle - Flange taps,Quarter circle - Flange taps,,,,,,,,,,,
FPD180,CH/FPD/ORIFICE/DESIGN,3,S2,10,TRUE,FALSE,,Segmental - Flange taps,Segmental - Flange taps,,,,,,,,,,,
FPD180,CH/FPD/ORIFICE/DESIGN,3,C5,11,TRUE,FALSE,CH/FPD/CUST/STD=A2 OR CH/FPD/CUST/STD=S1,Multi-Hole - Flange taps,Multi-Hole - Flange taps,,,,,,,,,,,
FPD180,CH/FPD/ORIFICE/DESIGN,3,C6,12,TRUE,FALSE,CH/FPD/CUST/STD=A2 OR CH/FPD/CUST/STD=S1,Multi-Hole - Corner taps,Multi-Hole - Corner taps,,,,,,,,,,,
FPD180,CH/FPD/LINE/SIZE,4,025,1,TRUE,FALSE,CH/FPD/ORIFICE/DESIGN=C2 OR CH/FPD/ORIFICE/DESIGN=E1 OR CH/FPD/ORIFICE/DESIGN=E2 OR CH/FPD/ORIFICE/DESIGN=E3,DN 25 (1 in.),DN 25 (1 in.),"1""",,,,,,,,,,
FPD180,CH/FPD/LINE/SIZE,4,032,2,TRUE,FALSE,CH/FPD/ORIFICE/DESIGN=C2 OR CH/FPD/ORIFICE/DESIGN=E1 OR CH/FPD/ORIFICE/DESIGN=E2 OR CH/FPD/ORIFICE/DESIGN=E3,DN 32 (1¼ in.),DN 32 (1¼ in.),"1¼""",,,,,,,,,,
FPD180,CH/FPD/LINE/SIZE,4,040,3,TRUE,FALSE,CH/FPD/ORIFICE/DESIGN=C2 OR CH/FPD/ORIFICE/DESIGN=E1 OR CH/FPD/ORIFICE/DESIGN=E2 OR CH/FPD/ORIFICE/DESIGN=E3,DN 40 (1½ in.),DN 40 (1½ in.),"1½""",,,,,,,,,,
FPD180,CH/FPD/LINE/SIZE,4,050,4,TRUE,FALSE,CH/FPD/ORIFICE/DESIGN=E1 OR CH/FPD/ORIFICE/DESIGN=E2 OR CH/FPD/ORIFICE/DESIGN=E3,DN 50 (2 in.),DN 50 (2 in.),"2""",,,,,,,,,,
FPD180,CH/FPD/LINE/SIZE,4,065,5,TRUE,FALSE,CH/FPD/ORIFICE/DESIGN=E1 OR CH/FPD/ORIFICE/DESIGN=E2 OR CH/FPD/ORIFICE/DESIGN=E3,DN 65 (2½ in.),DN 65 (2½ in.),"2½""",,,,,,,,,,
FPD180,CH/FPD/LINE/SIZE,4,080,6,TRUE,FALSE,CH/FPD/ORIFICE/DESIGN=E1 OR CH/FPD/ORIFICE/DESIGN=E2 OR CH/FPD/ORIFICE/DESIGN=E3,DN 80 (3 in.),DN 80 (3 in.),"3""",,,,,,,,,,
FPD180,CH/FPD/LINE/SIZE,4,090,7,TRUE,FALSE,CH/FPD/ORIFICE/DESIGN=E1 OR CH/FPD/ORIFICE/DESIGN=E2 OR CH/FPD/ORIFICE/DESIGN=E3,DN 90 (3½ in.),DN 90 (3½ in.),"3½""",,,,,,,,,,
FPD180,CH/FPD/LINE/SIZE,4,100,8,TRUE,FALSE,,DN 100 (4 in.),DN 100 (4 in.),"4""",,,,,,,,,,
FPD180,CH/FPD/LINE/SIZE,4,125,9,TRUE,FALSE,,DN 125 (5 in.),DN 125 (5 in.),"5""",,,,,,,,,,
FPD180,CH/FPD/LINE/SIZE,4,150,10,TRUE,FALSE,,DN 150 (6 in.),DN 150 (6 in.),"6""",,,,,,,,,,
FPD180,CH/FPD/LINE/SIZE,4,200,11,TRUE,FALSE,,DN 200 (8 in.),DN 200 (8 in.),"8""",,,,,,,,,,
FPD180,CH/FPD/LINE/SIZE,4,250,12,TRUE,FALSE,,DN 250 (10 in.),DN 250 (10 in.),"10""",,,,,,,,,,
FPD180,CH/FPD/LINE/SIZE,4,300,13,TRUE,FALSE,,DN 300 (12 in.),DN 300 (12 in.),"12""",,,,,,,,,,
FPD180,CH/FPD/LINE/SIZE,4,350,14,TRUE,FALSE,,DN 350 (14 in.),DN 350 (14 in.),"14""",,,,,,,,,,
FPD180,CH/FPD/LINE/SIZE,4,400,15,TRUE,FALSE,,DN 400 (16 in.),DN 400 (16 in.),"16""",,,,,,,,,,
FPD180,CH/FPD/LINE/SIZE,4,450,16,TRUE,FALSE,,DN 450 (18 in.),DN 450 (18 in.),"18""",,,,,,,,,,
