CH/A6/TUBE/LENGTH,CH/A6/TUBE/DIA,CH/A6/TUBE/COMBI,Tube Dia,Tube,Float,Tube/Float,Float Density,coeff_B,coeff_A,exp_A,coeff_C,coeff_D,coeff_E,coeff_F,coeff_G
1,B,F1,1/8,1/8-08,BG,1/8-08-BG,2.54,-0.973873841,2.968173356,19.4563473,-19.09814381,71.81385847,-84.52134541,15.43335876,34.31535923
1,B,F5,1/8,1/8-08,SA,1/8-08-SA,3.98,-0.973873841,2.968173356,19.4563473,-19.09814381,71.81385847,-84.52134541,15.43335876,34.31535923
1,B,F6,1/8,1/8-08,SS,1/8-08-SS,8.02,-0.973873841,2.968173356,19.4563473,-19.09814381,71.81385847,-84.52134541,15.43335876,34.31535923
1,B,F2,1/8,1/8-08,CA,1/8-08-CA,15,-0.973873841,2.968173356,19.4563473,-19.09814381,71.81385847,-84.52134541,15.43335876,34.31535923
1,B,F7,1/8,1/8-08,TA,1/8-08-TA,16.6,-0.973873841,2.968173356,19.4563473,-19.09814381,71.81385847,-84.52134541,15.43335876,34.31535923
1,B,F8,1/8,1/8-20,BG,1/8-20-BG,2.54,-0.988071021,4.926543841,137.9020763,-0.472626461,4.933302483,-13.81075912,-12.61086507,111.6749735
1,B,G1,1/8,1/8-20,SA,1/8-20-SA,3.98,-0.988071021,4.926543841,137.9020763,-0.472626461,4.933302483,-13.81075912,-12.61086507,111.6749735
1,B,G2,1/8,1/8-20,SS,1/8-20-SS,8.02,-0.988071021,4.926543841,137.9020763,-0.472626461,4.933302483,-13.81075912,-12.61086507,111.6749735
1,B,F9,1/8,1/8-20,CA,1/8-20-CA,15,-0.988071021,4.926543841,137.9020763,-0.472626461,4.933302483,-13.81075912,-12.61086507,111.6749735
1,B,H1,1/8,1/8-20,TA,1/8-20-TA,16.6,-0.988071021,4.926543841,137.9020763,-0.472626461,4.933302483,-13.81075912,-12.61086507,111.6749735
1,C,M2,1/4,1/4-15,BG,1/4-15-BG,2.54,-1.000940719,6.893772808,986.1148296,-0.009614542,0.047592061,4.872051878,-80.08704496,459.0725789
1,C,N3,1/4,1/4-15,SA,1/4-15-SA,3.98,-1.000940719,6.893772808,986.1148296,-0.009614542,0.047592061,4.872051878,-80.08704496,459.0725789
1,C,N6,1/4,1/4-15,SS,1/4-15-SS,8.02,-1.000940719,6.893772808,986.1148296,-0.009614542,0.047592061,4.872051878,-80.08704496,459.0725789
1,C,M3,1/4,1/4-15,CA,1/4-15-CA,15,-1.000940719,6.893772808,986.1148296,-0.009614542,0.047592061,4.872051878,-80.08704496,459.0725789
1,C,N7,1/4,1/4-15,TA,1/4-15-TA,16.6,-1.000940719,6.893772808,986.1148296,-0.009614542,0.047592061,4.872051878,-80.08704496,459.0725789
