CH/A6/TUBE/LENGTH,CH/A6/TUBE/DIA,CH/A6/TUBE/COMBI,Tube Dia,Tube,Float,Tube/Float,Float Density,Sizing Factor A,Sizing Factor B,first_m,first_c,middle_m,middle_c,last_m,last_c
2,C,T2,1/4,1/4-25,CD,1/4-25-CD,2.28,1142,434,0.136930271,-0.396037588,0.074354678,0.021796983,0.034127759,0.385414451
2,C,T3,1/4,1/4-25,SA,1/4-25-SA,3.98,1142,434,0.136930271,-0.396037588,0.074354678,0.021796983,0.034127759,0.385414451
2,C,T4,1/4,1/4-25,SS,1/4-25-SS,8.02,1142,434,0.136930271,-0.396037588,0.074354678,0.021796983,0.034127759,0.385414451
2,C,T1,1/4,1/4-25,CA,1/4-25-CA,15,1142,434,0.136930271,-0.396037588,0.074354678,0.021796983,0.034127759,0.385414451
2,C,T5,1/4,1/4-25,TA,1/4-25-TA,16.6,1142,434,0.136930271,-0.396037588,0.074354678,0.021796983,0.034127759,0.385414451
2,C,T0,1/4,1/4-25,BG,1/4-25-BG,2.54,1142,434,0.136930271,-0.396037588,0.074354678,0.021796983,0.034127759,0.385414451
2,C,S6,1/4,1/4-20,CD,1/4-20-CD,2.28,1142,434,0.106054212,-0.330535292,0.072043716,-0.102914193,0.021074155,0.356920319
2,C,S7,1/4,1/4-20,SA,1/4-20-SA,3.98,1142,434,0.106054212,-0.330535292,0.072043716,-0.102914193,0.021074155,0.356920319
2,C,S8,1/4,1/4-20,SS,1/4-20-SS,8.02,1142,434,0.106054212,-0.330535292,0.072043716,-0.102914193,0.021074155,0.356920319
2,C,S5,1/4,1/4-20,CA,1/4-20-CA,15,1142,434,0.106054212,-0.330535292,0.072043716,-0.102914193,0.021074155,0.356920319
2,C,S9,1/4,1/4-20,TA,1/4-20-TA,16.6,1142,434,0.106054212,-0.330535292,0.072043716,-0.102914193,0.021074155,0.356920319
2,C,S4,1/4,1/4-20,BG,1/4-20-BG,2.54,1142,434,0.106054212,-0.330535292,0.072043716,-0.102914193,0.021074155,0.356920319
2,C,S0,1/4,1/4-16,CD,1/4-16-CD,2.28,1142,434,0.07041,-0.226410992,0.067213669,-0.181742812,0.02586865,0.180817075
2,C,S1,1/4,1/4-16,SA,1/4-16-SA,3.98,1142,434,0.07041,-0.226410992,0.067213669,-0.181742812,0.02586865,0.180817075
2,C,S2,1/4,1/4-16,SS,1/4-16-SS,8.02,1142,434,0.07041,-0.226410992,0.067213669,-0.181742812,0.02586865,0.180817075
2,C,R9,1/4,1/4-16,CA,1/4-16-CA,15,1142,434,0.07041,-0.226410992,0.067213669,-0.181742812,0.02586865,0.180817075
2,C,S3,1/4,1/4-16,TA,1/4-16-TA,16.6,1142,434,0.07041,-0.226410992,0.067213669,-0.181742812,0.02586865,0.180817075
2,C,R8,1/4,1/4-16,BG,1/4-16-BG,2.54,1142,434,0.07041,-0.226410992,0.067213669,-0.181742812,0.02586865,0.180817075
2,C,R4,1/4,1/4-10,CD,1/4-10-CD,2.28,1142,434,0.035557375,-0.124662346,0.046536784,-0.176984384,0.017641492,0.076956909
2,C,R5,1/4,1/4-10,SA,1/4-10-SA,3.98,1142,434,0.035557375,-0.124662346,0.046536784,-0.176984384,0.017641492,0.076956909
2,C,R6,1/4,1/4-10,SS,1/4-10-SS,8.02,1142,434,0.035557375,-0.124662346,0.046536784,-0.176984384,0.017641492,0.076956909
2,C,R3,1/4,1/4-10,CA,1/4-10-CA,15,1142,434,0.035557375,-0.124662346,0.046536784,-0.176984384,0.017641492,0.076956909
2,C,R7,1/4,1/4-10,TA,1/4-10-TA,16.6,1142,434,0.035557375,-0.124662346,0.046536784,-0.176984384,0.017641492,0.076956909
2,C,R2,1/4,1/4-10,BG,1/4-10-BG,2.54,1142,434,0.035557375,-0.124662346,0.046536784,-0.176984384,0.017641492,0.076956909
2,B,,1/8,1/8-25,CD,1/8-25-CD,2.28,404,76.8,0.136930271,-0.396037588,0.074354678,0.021796983,0.034127759,0.385414451
2,B,K4,1/8,1/8-25,SA,1/8-25-SA,3.98,404,76.8,0.136930271,-0.396037588,0.074354678,0.021796983,0.034127759,0.385414451
2,B,K5,1/8,1/8-25,SS,1/8-25-SS,8.02,404,76.8,0.136930271,-0.396037588,0.074354678,0.021796983,0.034127759,0.385414451
2,B,K3,1/8,1/8-25,CA,1/8-25-CA,15,404,76.8,0.136930271,-0.396037588,0.074354678,0.021796983,0.034127759,0.385414451
2,B,L1,1/8,1/8-25,TA,1/8-25-TA,16.6,404,76.8,0.136930271,-0.396037588,0.074354678,0.021796983,0.034127759,0.385414451
2,B,K2,1/8,1/8-25,BG,1/8-25-BG,2.54,404,76.8,0.136930271,-0.396037588,0.074354678,0.021796983,0.034127759,0.385414451
2,B,,1/8,1/8-20,CD,1/8-20-CD,2.28,404,76.8,0.106054212,-0.330535292,0.072043716,-0.102914193,0.021074155,0.356920319
2,B,J9,1/8,1/8-20,SA,1/8-20-SA,3.98,404,76.8,0.106054212,-0.330535292,0.072043716,-0.102914193,0.021074155,0.356920319
2,B,K0,1/8,1/8-20,SS,1/8-20-SS,8.02,404,76.8,0.106054212,-0.330535292,0.072043716,-0.102914193,0.021074155,0.356920319
2,B,J8,1/8,1/8-20,CA,1/8-20-CA,15,404,76.8,0.106054212,-0.330535292,0.072043716,-0.102914193,0.021074155,0.356920319
2,B,K1,1/8,1/8-20,TA,1/8-20-TA,16.6,404,76.8,0.106054212,-0.330535292,0.072043716,-0.102914193,0.021074155,0.356920319
2,B,J7,1/8,1/8-20,BG,1/8-20-BG,2.54,404,76.8,0.106054212,-0.330535292,0.072043716,-0.102914193,0.021074155,0.356920319
2,B,,1/8,1/8-16,CD,1/8-16-CD,2.28,404,76.8,0.07041,-0.226410992,0.067213669,-0.181742812,0.02586865,0.180817075
2,B,J4,1/8,1/8-16,SA,1/8-16-SA,3.98,404,76.8,0.07041,-0.226410992,0.067213669,-0.181742812,0.02586865,0.180817075
2,B,J5,1/8,1/8-16,SS,1/8-16-SS,8.02,404,76.8,0.07041,-0.226410992,0.067213669,-0.181742812,0.02586865,0.180817075
2,B,J3,1/8,1/8-16,CA,1/8-16-CA,15,404,76.8,0.07041,-0.226410992,0.067213669,-0.181742812,0.02586865,0.180817075
2,B,J6,1/8,1/8-16,TA,1/8-16-TA,16.6,404,76.8,0.07041,-0.226410992,0.067213669,-0.181742812,0.02586865,0.180817075
2,B,J2,1/8,1/8-16,BG,1/8-16-BG,2.54,404,76.8,0.07041,-0.226410992,0.067213669,-0.181742812,0.02586865,0.180817075
2,B,,1/8,1/8-12,CD,1/8-12-CD,2.28,404,76.8,0.047255853,-0.166460685,0.055560321,-0.196611527,0.023705609,0.077415135
2,B,H9,1/8,1/8-12,SA,1/8-12-SA,3.98,404,76.8,0.047255853,-0.166460685,0.055560321,-0.196611527,0.023705609,0.077415135
2,B,J0,1/8,1/8-12,SS,1/8-12-SS,8.02,404,76.8,0.047255853,-0.166460685,0.055560321,-0.196611527,0.023705609,0.077415135
2,B,H8,1/8,1/8-12,CA,1/8-12-CA,15,404,76.8,0.047255853,-0.166460685,0.055560321,-0.196611527,0.023705609,0.077415135
2,B,J1,1/8,1/8-12,TA,1/8-12-TA,16.6,404,76.8,0.047255853,-0.166460685,0.055560321,-0.196611527,0.023705609,0.077415135
2,B,H7,1/8,1/8-12,BG,1/8-12-BG,2.54,404,76.8,0.047255853,-0.166460685,0.055560321,-0.196611527,0.023705609,0.077415135
2,B,,1/8,1/8-08,CD,1/8-08-CD,2.28,404,76.8,0.027090218,-0.105522702,0.03686423,-0.153036891,0.01544927,0.041407612
2,B,H4,1/8,1/8-08,SA,1/8-08-SA,3.98,404,76.8,0.027090218,-0.105522702,0.03686423,-0.153036891,0.01544927,0.041407612
2,B,H5,1/8,1/8-08,SS,1/8-08-SS,8.02,404,76.8,0.027090218,-0.105522702,0.03686423,-0.153036891,0.01544927,0.041407612
2,B,H3,1/8,1/8-08,CA,1/8-08-CA,15,404,76.8,0.027090218,-0.105522702,0.03686423,-0.153036891,0.01544927,0.041407612
2,B,H6,1/8,1/8-08,TA,1/8-08-TA,16.6,404,76.8,0.027090218,-0.105522702,0.03686423,-0.153036891,0.01544927,0.041407612
