"ProductCode","SelectionGroup","GrpOrder","PartNumber","Order","Active","DefaultItem","ExclusionRule","Cost","Name","Description","AdditionalData","InShortenedList"
A6,CH/A6/CONN/ORIEN,1,"1",1,True,False,"","0","Horizontal","Horizontal",,TRUE
A6,CH/A6/CONN/ORIEN,1,"2",2,True,False,"","40.8","Vertical (not Available with Regulator)","Vertical (not Available with Regulator)",,TRUE
A6,CH/A6/CONN/TYPE,2,"1",1,True,False,"NOT(CH/A6/CONN/ORIEN=1)","0","Connector for 10 mm (0.4 in.) ID Tubing","Connector for 10 mm (0.4 in.) ID Tubing",,TRUE
A6,CH/A6/CONN/TYPE,2,"2",2,True,False,"NOT(CH/A6/CONN/ORIEN=1)","0","As Regulator","As Regulator",,TRUE
A6,CH/A6/CONN/TYPE,2,"3",3,True,False,"","0","¼ in. NPT Female","¼ in. NPT Female",,TRUE
A6,CH/A6/CONN/TYPE,2,"4",4,True,False,"NOT(CH/A6/CONN/ORIEN=1)","0","G ¼ (with Horizontal Fittings) or Rc ¼ (with Vertical Fittings)","G ¼ (with Horizontal Fittings) or Rc ¼ (with Vertical Fittings)",,TRUE
A6,CH/A6/CONN/TYPE,2,"5",6,True,False,"NOT(CH/A6/CONN/ORIEN=1)","0","Connector for 6 mm (0.24 in.) ID Tubing","Connector for 6 mm (0.24 in.) ID Tubing",,TRUE
A6,CH/A6/CONN/TYPE,2,"6",7,True,False,"NOT(CH/A6/CONN/ORIEN=1)","0","Connector for 8 mm (0.3 in.) ID Tubing","Connector for 8 mm (0.3 in.) ID Tubing",,TRUE
A6,CH/A6/CONN/TYPE,2,"7",8,True,False,"NOT(CH/A6/CONN/ORIEN=1)","0","Connector for 6 mm (0.24 in.) ID Hose","Connector for 6 mm (0.24 in.) ID Hose",,TRUE
A6,CH/A6/CONN/TYPE,2,"8",9,True,False,"NOT(CH/A6/CONN/ORIEN=1)","0","Connector for 8 mm (0.3 in.) ID Hose","Connector for 8 mm (0.3 in.) ID Hose",,TRUE
A6,CH/A6/TUBE/LENGTH,3,"1",1,True,False,"","0","76 mm (3 in.)","76 mm (3 in.)",,TRUE
A6,CH/A6/TUBE/LENGTH,3,"2",2,True,False,"","50.9","127 mm (5 in.) with Standard Float Stops","127 mm (5 in.) with Standard Float Stops",,TRUE
A6,CH/A6/TUBE/LENGTH,3,"4",3,True,False,"","24.9","38 mm (1-1/2 in.)","38 mm (1-1/2 in.)",,TRUE
A6,CH/A6/TUBE/LENGTH,3,"6",4,True,False,"","50.9","127mm (5 in.) with Stainless Steel Float Stops (1/8 in. & 1/4 in. only)","127mm (5 in.) with Stainless Steel Float Stops (1/8 in. & 1/4 in. only)",,TRUE
A6,CH/A6/TUBE/DIA,4,"A",1,True,False,"(CH/A6/CONN/TYPE=2) OR (CH/A6/TUBE/LENGTH=1 OR CH/A6/TUBE/LENGTH=6)","0","1,6 mm (1/16 in.)","1,6 mm (1/16 in.)",,FALSE
