"ProductCode","SelectionGroup","GrpOrder","InProductCode","MustSelect","SingleSelection","SpecialGroup","MustSelectRule","Name","Description"
A6,CH/A6/CONN/ORIEN,1,True,True,True,0,,"Connection","Connection"
A6,CH/A6/CONN/TYPE,2,True,True,True,0,,"Connection Type","Connection Type"
A6,CH/A6/TUBE/LENGTH,3,True,True,True,36,,"Tube Length","Tube Length"
A6,CH/A6/TUBE/DIA,4,True,True,True,37,,"Tube Diameter","Tube Diameter"
A6,CH/A6/TUBE/COMBI,5,True,True,True,38,,"Tube / Float Combination","Tube / Float Combination"
A6,CH/A6/SCALE,6,True,True,True,0,,"Scale Type","Scale Type"
A6,CH/A6/MATERIALS,7,True,True,True,0,,"Materials - Fittings / Seals","Materials - Fittings / Seals"
A6,CH/A6/VALVE,8,True,True,True,0,,"Valve","Valve"
A6,CH/A6/ALARMS,9,True,True,True,0,,"Alarms","Alarms"
A6,CH/A6/REGULATOR,10,True,True,True,0,,"Regulator","Regulator"
A6,CH/A6/MOUNTING,11,True,True,True,0,,"Mounting","Mounting"
A6,CH/A6/DESIGN/LEVEL,12,True,True,True,0,,"Design Level","Design Level"
A6,CH/A6/CERT,13,True,True,True,0,,"Certification","Certification"
A6,CH/A6/DEGR,14,True,False,True,0,,"Degreasing","Degreasing"
