"ColumnName","Value","Units","UnitsType","Expression","Notes"
"GADrawing1","FPD190.1","","","Exp1 AND Exp2 AND Exp7 AND Exp10","FPD190.1"
"GADrawing1","FPD190.2","","","Exp1 AND Exp2 AND Exp7 AND Exp11","FPD190.2"
"GADrawing1","FPD190.3","","","Exp1 AND Exp2 AND Exp10","FPD190.3"
"GADrawing1","FPD190.4","","","Exp1 AND Exp2 AND Exp11","FPD190.4"
"GADrawing1","FPD190.6","","","Exp1 AND Exp3","FPD190.6"
"GADrawing1","FPD190.7","","","Exp1 AND Exp10 AND Exp95","FPD190.7"
"GADimensionA","47.6","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp12 AND Exp39","O/DIA A = 47.6mm"
"GADimensionA","54","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp12 AND Exp40","O/DIA A = 54mm"
"GADimensionA","63.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp12 AND Exp41","O/DIA A = 63.5mm"
"GADimensionA","70","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp12 AND Exp42","O/DIA A = 70mm"
"GADimensionA","57","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp13 AND Exp39","O/DIA A = 57mm"
"GADimensionA","66.7","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp13 AND Exp40","O/DIA A = 66.7mm"
"GADimensionA","70","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp13 AND Exp41","O/DIA A = 70mm"
"GADimensionA","76","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp13 AND Exp42","O/DIA A = 76mm"
"GADimensionA","66.7","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp14 AND Exp39","O/DIA A = 66.7mm"
"GADimensionA","73","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp14 AND Exp40","O/DIA A = 73mm"
"GADimensionA","79.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp14 AND Exp41","O/DIA A = 79.5mm"
"GADimensionA","85.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp14 AND Exp42","O/DIA A = 85.5mm"
"GADimensionA","76","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp15 AND Exp39","O/DIA A = 76mm"
"GADimensionA","82.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp15 AND Exp40","O/DIA A = 82.5mm"
"GADimensionA","89","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp15 AND Exp41","O/DIA A = 89mm"
"GADimensionA","105","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp15 AND Exp42","O/DIA A = 105mm"
"GADimensionA","85.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp16 AND Exp39","O/DIA A = 85.5mm"
"GADimensionA","95.3","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp16 AND Exp40","O/DIA A = 95.3mm"
"GADimensionA","98.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp16 AND Exp41","O/DIA A = 98.5mm"
"GADimensionA","117.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp16 AND Exp42","O/DIA A = 117.5mm"
"GADimensionA","105","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp17 AND Exp39","O/DIA A = 105mm"
"GADimensionA","111.1","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp17 AND Exp40","O/DIA A = 111.1mm"
"GADimensionA","143","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp17 AND Exp41","O/DIA A = 143mm"
"GADimensionA","146","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp17 AND Exp42","O/DIA A = 146mm"
"GADimensionA","124","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp18 AND Exp39","O/DIA A = 124mm"
"GADimensionA","130","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp18 AND Exp40","O/DIA A = 130mm"
"GADimensionA","165","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp18 AND Exp41","O/DIA A = 165mm"
"GADimensionA","168","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp18 AND Exp42","O/DIA A = 168mm"
"GADimensionA","137","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp19 AND Exp39","O/DIA A = 137mm"
"GADimensionA","149.2","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp19 AND Exp40","O/DIA A = 149.2mm"
"GADimensionA","168","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp19 AND Exp43","O/DIA A = 168mm"
"GADimensionA","174.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp19 AND Exp44","O/DIA A = 174.5mm"
"GADimensionA","197","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp19 AND Exp42","O/DIA A = 197mm"
"GADimensionA","162","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp20 AND Exp45","O/DIA A = 162mm"
"GADimensionA","165","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp20 AND Exp46","O/DIA A = 165mm"
"GADimensionA","175","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp21 AND Exp39","O/DIA A = 175mm"
"GADimensionA","181","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp21 AND Exp46","O/DIA A = 181mm"
"GADimensionA","178","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp21 AND Exp47","O/DIA A = 178mm"
"GADimensionA","194","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp21 AND Exp48","O/DIA A = 194mm"
"GADimensionA","207","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp21 AND Exp43","O/DIA A = 207mm"
"GADimensionA","209.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp21 AND Exp44","O/DIA A = 209.5mm"
"GADimensionA","235","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp21 AND Exp42","O/DIA A = 235mm"
"GADimensionA","197","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp22 AND Exp39","O/DIA A = 197mm"
"GADimensionA","216","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp22 AND Exp46","O/DIA A = 216mm"
"GADimensionA","212.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp22 AND Exp47","O/DIA A = 212.5mm"
"GADimensionA","241.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp22 AND Exp48","O/DIA A = 241.5mm"
"GADimensionA","247.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp22 AND Exp43","O/DIA A = 247.5mm"
"GADimensionA","254","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp22 AND Exp44","O/DIA A = 254mm"
"GADimensionA","279.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp22 AND Exp42","O/DIA A = 279.5mm"
"GADimensionA","222","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp23 AND Exp39","O/DIA A = 222mm"
"GADimensionA","251","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp23 AND Exp46","O/DIA A = 251mm"
"GADimensionA","247.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp23 AND Exp47","O/DIA A = 247.5mm"
"GADimensionA","267","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp23 AND Exp48","O/DIA A = 267mm"
"GADimensionA","289","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp23 AND Exp43","O/DIA A = 289mm"
"GADimensionA","282.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp23 AND Exp44","O/DIA A = 282.5mm"
"GADimensionA","317.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp23 AND Exp42","O/DIA A = 317.5mm"
"GADimensionA","279.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp24 AND Exp39","O/DIA A = 279.5mm"
"GADimensionA","308","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp24 AND Exp46","O/DIA A = 308mm"
"GADimensionA","305","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp24 AND Exp47","O/DIA A = 305mm"
"GADimensionA","321","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp24 AND Exp48","O/DIA A = 321mm"
"GADimensionA","359","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp24 AND Exp43","O/DIA A = 359mm"
"GADimensionA","353","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp24 AND Exp44","O/DIA A = 353mm"
"GADimensionA","387.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp24 AND Exp42","O/DIA A = 387.5mm"
"GADimensionA","340","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp25 AND Exp39","O/DIA A = 340mm"
"GADimensionA","362","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp25 AND Exp46","O/DIA A = 362mm"
"GADimensionA","359","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp25 AND Exp47","O/DIA A = 359mm"
"GADimensionA","400","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp25 AND Exp48","O/DIA A = 400mm"
"GADimensionA","435","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp25 AND Exp43","O/DIA A = 435mm"
"GADimensionA","435","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp25 AND Exp44","O/DIA A = 435mm"
"GADimensionA","476","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp25 AND Exp42","O/DIA A = 476mm"
"GADimensionA","410","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp26 AND Exp39","O/DIA A = 410mm"
"GADimensionA","422.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp26 AND Exp46","O/DIA A = 422.5mm"
"GADimensionA","419","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp26 AND Exp47","O/DIA A = 419mm"
"GADimensionA","457","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp26 AND Exp48","O/DIA A = 457mm"
"GADimensionA","498.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp26 AND Exp43","O/DIA A = 498.5mm"
"GADimensionA","520.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp26 AND Exp44","O/DIA A = 520.5mm"
"GADimensionA","549.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp26 AND Exp42","O/DIA A = 549.5mm"
"GADimensionA","451","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp27 AND Exp39","O/DIA A = 451mm"
"GADimensionA","486","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp27 AND Exp46","O/DIA A = 486mm"
"GADimensionA","482.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp27 AND Exp47","O/DIA A = 482.5mm"
"GADimensionA","492","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp27 AND Exp48","O/DIA A = 492mm"
"GADimensionA","521","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp27 AND Exp43","O/DIA A = 521mm"
"GADimensionA","578","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp27 AND Exp44","O/DIA A = 578mm"
"GADimensionA","514.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp28 AND Exp39","O/DIA A = 514.5mm"
"GADimensionA","540","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp28 AND Exp46","O/DIA A = 540mm"
"GADimensionA","536.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp28 AND Exp47","O/DIA A = 536.5mm"
"GADimensionA","565","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp28 AND Exp48","O/DIA A = 565mm"
"GADimensionA","575","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp28 AND Exp43","O/DIA A = 575mm"
"GADimensionA","641.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp28 AND Exp44","O/DIA A = 641.5mm"
"GADimensionA","549.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp29 AND Exp39","O/DIA A = 549.5mm"
"GADimensionA","597","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp29 AND Exp46","O/DIA A = 597mm"
"GADimensionA","593.7","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp29 AND Exp47","O/DIA A = 593.7mm"
"GADimensionA","613","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp29 AND Exp48","O/DIA A = 613mm"
"GADimensionA","638","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp29 AND Exp43","O/DIA A = 638mm"
"GADimensionA","705","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp29 AND Exp44","O/DIA A = 705mm"
"GADimensionA","606.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp30 AND Exp39","O/DIA A = 606.5mm"
"GADimensionA","654","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp30 AND Exp46","O/DIA A = 654mm"
"GADimensionA","647.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp30 AND Exp47","O/DIA A = 647.5mm"
"GADimensionA","682.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp30 AND Exp48","O/DIA A = 682.5mm"
"GADimensionA","698.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp30 AND Exp43","O/DIA A = 698.5mm"
"GADimensionA","755.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp30 AND Exp44","O/DIA A = 755.5mm"
"GADimensionA","717.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp32 AND Exp39","O/DIA A = 717.5mm"
"GADimensionA","775","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp32 AND Exp46","O/DIA A = 775mm"
"GADimensionA","768.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp32 AND Exp47","O/DIA A = 768.5mm"
"GADimensionA","790.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp32 AND Exp48","O/DIA A = 790.5mm"
"GADimensionA","838","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp32 AND Exp43","O/DIA A = 838mm"
"GADimensionA","901.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp32 AND Exp44","O/DIA A = 901.5mm"
"GADimensionA","660.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp31 AND Exp39","O/DIA A = 660.5mm"
"GADimensionA","705","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp31 AND Exp46","O/DIA A = 705mm"
"GADimensionA","701.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp31 AND Exp47","O/DIA A = 701.5mm"
"GADimensionA","733.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp31 AND Exp48","O/DIA A = 733.5mm"
"GADimensionA","775","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp33 AND Exp39","O/DIA A = 775mm"
"GADimensionA","835","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp33 AND Exp46","O/DIA A = 835mm"
"GADimensionA","832","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp33 AND Exp47","O/DIA A = 832mm"
"GADimensionA","867","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp33 AND Exp48","O/DIA A = 867mm"
"GADimensionA","882.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp33 AND Exp43","O/DIA A = 882.5mm"
"GADimensionA","832","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp34 AND Exp39","O/DIA A = 832mm"
"GADimensionA","898.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp34 AND Exp46","O/DIA A = 898.5mm"
"GADimensionA","892","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp34 AND Exp47","O/DIA A = 892mm"
"GADimensionA","914.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp34 AND Exp48","O/DIA A = 914.5mm"
"GADimensionA","946","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp34 AND Exp43","O/DIA A = 946mm"
"GADimensionA","882.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp35 AND Exp39","O/DIA A = 882.5mm"
"GADimensionA","952.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp35 AND Exp46","O/DIA A = 952.5mm"
"GADimensionA","946","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp35 AND Exp47","O/DIA A = 946mm"
"GADimensionA","971.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp35 AND Exp48","O/DIA A = 971.5mm"
"GADimensionA","1009.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp35 AND Exp43","O/DIA A = 1009.5mm"
"GADimensionA","940","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp36 AND Exp39","O/DIA A = 940mm"
"GADimensionA","1006.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp36 AND Exp46","O/DIA A = 1006.5mm"
"GADimensionA","1003.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp36 AND Exp47","O/DIA A = 1003.5mm"
"GADimensionA","1022.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp36 AND Exp48","O/DIA A = 1022.5mm"
"GADimensionA","1073","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp36 AND Exp43","O/DIA A = 1073mm"
"GADimensionA","990.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp37 AND Exp39","O/DIA A = 990.5mm"
"GADimensionA","1057","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp37 AND Exp46","O/DIA A = 1057mm"
"GADimensionA","1054","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp37 AND Exp47","O/DIA A = 1054mm"
"GADimensionA","1073","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp37 AND Exp48","O/DIA A = 1073mm"
"GADimensionA","1136.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp37 AND Exp43","O/DIA A = 1136.5mm"
"GADimensionA","1048","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp38 AND Exp39","O/DIA A = 1048mm"
"GADimensionA","1117.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp38 AND Exp49","O/DIA A = 1117.5mm"
"GADimensionA","1130.5","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp38 AND Exp48","O/DIA A = 1130.5mm"
"GADimensionA","1200","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp10 AND Exp38 AND Exp43","O/DIA A = 1200mm"
"GADimensionA","125","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp14 AND Exp40","O/DIA A = 125mm"
"GADimensionA","150","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp14 AND Exp41","O/DIA A = 150mm"
"GADimensionA","160","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp14 AND Exp42","O/DIA A = 160mm"
"GADimensionA","135","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp15 AND Exp40","O/DIA A = 135mm"
"GADimensionA","160","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp15 AND Exp41","O/DIA A = 160mm"
"GADimensionA","185","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp15 AND Exp42","O/DIA A = 185mm"
"GADimensionA","155","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp16 AND Exp40","O/DIA A = 155mm"
"GADimensionA","180","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp16 AND Exp41","O/DIA A = 180mm"
"GADimensionA","205","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp16 AND Exp42","O/DIA A = 205mm"
"GADimensionA","165","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp17 AND Exp40","O/DIA A = 165mm"
"GADimensionA","215","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp17 AND Exp41","O/DIA A = 215mm"
"GADimensionA","235","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp17 AND Exp42","O/DIA A = 235mm"
"GADimensionA","190","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp18 AND Exp40","O/DIA A = 190mm"
"GADimensionA","245","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp18 AND Exp41","O/DIA A = 245mm"
"GADimensionA","265","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp18 AND Exp42","O/DIA A = 265mm"
"GADimensionA","210","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp19 AND Exp40","O/DIA A = 210mm"
"GADimensionA","240","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp19 AND Exp43","O/DIA A = 240mm"
"GADimensionA","265","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp19 AND Exp44","O/DIA A = 265mm"
"GADimensionA","305","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp19 AND Exp42","O/DIA A = 305mm"
"GADimensionA","230","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp20 AND Exp40","O/DIA A = 230mm"
"GADimensionA","255","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp21 AND Exp49","O/DIA A = 255mm"
"GADimensionA","275","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp21 AND Exp48","O/DIA A = 275mm"
"GADimensionA","290","mm","length","Exp1 AND Exp2 AND Exp8 AND Exp9 AND Exp11 AND Exp21 AND Exp43","O/DIA A = 290mm"
