"Index","fi","deltaLA","UseForSingleStage"
1,12.5,-63.4,True
2,16,-56.7,True
3,20,-50.5,True
4,25,-44.7,True
5,31.5,-39.4,True
6,40,-34.6,True
7,50,-30.2,True
8,63,-26.2,True
9,80,-22.5,True
10,100,-19.1,True
11,125,-16.1,True
12,160,-13.4,True
13,200,-10.9,True
14,250,-8.6,True
15,315,-6.6,True
16,400,-4.8,True
17,500,-3.2,True
18,630,-1.9,True
19,800,-0.8,True
20,1000,0,True
21,1250,0.6,True
22,1600,1,True
23,2000,1.2,True
24,2500,1.3,True
25,3150,1.2,True
26,4000,1,True
27,5000,0.5,True
28,6300,-0.1,True
29,8000,-1.1,True
30,10000,-2.5,True
31,12500,-4.3,True
32,16000,-6.6,True
33,20000,-9.3,True
