Index,fi,deltaLA,UseForSingleStage
1,12.5,-63.4,FALSE
2,16,-56.7,FALSE
3,20,-50.5,FALSE
4,25,-44.7,FALSE
5,31.5,-39.4,FALSE
6,40,-34.6,FALSE
7,50,-30.2,FALSE
8,63,-26.2,FALSE
9,80,-22.5,FALSE
10,100,-19.1,FALSE
11,125,-16.1,TRUE
12,160,-13.4,FALSE
13,200,-10.9,FALSE
14,250,-8.6,TRUE
15,315,-6.6,FALSE
16,400,-4.8,FALSE
17,500,-3.2,TRUE
18,630,-1.9,FALSE
19,800,-0.8,FALSE
20,1000,0,TRUE
21,1250,0.6,FALSE
22,1600,1,FALSE
23,2000,1.2,TRUE
24,2500,1.3,FALSE
25,3150,1.2,FALSE
26,4000,1,TRUE
27,5000,0.5,FALSE
28,6300,-0.1,FALSE
29,8000,-1.1,TRUE
30,10000,-2.5,FALSE
31,12500,-4.3,FALSE
32,16000,-6.6,FALSE
33,20000,-9.3,FALSE
