"ProductCode","SelectionGroup","PartNumber","Order","Active","DefaultItem","Cost","ExclusionRule","Name","Description","AdditionalData","InShortenedList"
"FPD190","CH/FPD/PRODUCT/DES","R1",1,True,False,0,"","Restriction - Plate for RF/FF flanges","Restriction - Plate for RF/FF flanges",,False
"FPD190","CH/FPD/PRODUCT/DES","R2",2,True,False,999999,"","Restriction - RTJ F Integral Carrier","Restriction - RTJ F Integral Carrier","1",False
"FPD190","CH/FPD/PRODUCT/DES","R3",3,True,False,999999,"","Restriction - RTJ M Screwed Plate","Restriction - RTJ M Screwed Plate","1",False
"FPD190","CH/FPD/PRODUCT/DES","R4",4,True,False,999999,"","Restriction - RTJ M Integral","Restriction - RTJ M Integral","1",False
"FPD190","CH/FPD/PRODUCT/DES","R5",5,True,False,999999,"","Restriction - Multi Stage","Restriction - Multi Stage","2",False
"FPD190","CH/FPD/CUST/STD","A1",1,True,False,0,"","Standard","Standard",,False
"FPD190","CH/FPD/CUST/STD","A2",2,True,False,999999,"","Aramco Standard","Aramco Standard",,False
"FPD190","CH/FPD/CUST/STD","S1",3,True,False,0,"","Shell Standard","Shell Standard",,False
"FPD190","CH/FPD/ORIFICE/DESIGN","C4",1,True,False,0,"","Restriction - Concentric","Restriction Plate - Concentric",,False
"FPD190","CH/FPD/ORIFICE/DESIGN","M2",2,True,False,0,"","Restriction - Multi-hole","Restriction Plate - Multi-hole",,False
"FPD190","CH/FPD/LINE/SIZE","015",1,True,False,0,"","DN 15 (½ in.)","DN 15 (½ in.)","½""",False
"FPD190","CH/FPD/LINE/SIZE","020",2,True,False,0,"","DN 20 (¾ in.)","DN 20 (¾ in.)","¾""",False
"FPD190","CH/FPD/LINE/SIZE","025",3,True,False,0,"","DN 25 (1 in.)","DN 25 (1 in.)","1""",False
"FPD190","CH/FPD/LINE/SIZE","032",4,True,False,0,"","DN 32 (1¼ in.)","DN 32 (1¼ in.)","1¼""",False
"FPD190","CH/FPD/LINE/SIZE","040",5,True,False,0,"","DN 40 (1½ in.)","DN 40 (1½ in.)","1½""",False
"FPD190","CH/FPD/LINE/SIZE","050",6,True,False,0,"","DN 50 (2 in.)","DN 50 (2 in.)","2""",False
"FPD190","CH/FPD/LINE/SIZE","065",7,True,False,0,"","DN 65 (2½ in.)","DN 65 (2½ in.)","2½""",False
"FPD190","CH/FPD/LINE/SIZE","080",8,True,False,0,"","DN 80 (3 in.)","DN 80 (3 in.)","3""",False
"FPD190","CH/FPD/LINE/SIZE","090",9,True,False,0,"","DN 90 (3½ in.)","DN 90 (3½ in.)","3½""",False
"FPD190","CH/FPD/LINE/SIZE","100",10,True,False,0,"","DN 100 (4 in.)","DN 100 (4 in.)","4""",False
"FPD190","CH/FPD/LINE/SIZE","125",11,True,False,0,"","DN 125 (5 in.)","DN 125 (5 in.)","5""",False
"FPD190","CH/FPD/LINE/SIZE","150",12,True,False,0,"","DN 150 (6 in.)","DN 150 (6 in.)","6""",False
"FPD190","CH/FPD/LINE/SIZE","200",13,True,False,0,"","DN 200 (8 in.)","DN 200 (8 in.)","8""",False
"FPD190","CH/FPD/LINE/SIZE","250",14,True,False,0,"","DN 250 (10 in.)","DN 250 (10 in.)","10""",False
"FPD190","CH/FPD/LINE/SIZE","300",15,True,False,0,"","DN 300 (12 in.)","DN 300 (12 in.)","12""",False
"FPD190","CH/FPD/LINE/SIZE","350",16,True,False,0,"","DN 350 (14 in.)","DN 350 (14 in.)","14""",False
"FPD190","CH/FPD/LINE/SIZE","400",17,True,False,0,"","DN 400 (16 in.)","DN 400 (16 in.)","16""",False
"FPD190","CH/FPD/LINE/SIZE","450",18,True,False,0,"","DN 450 (18 in.)","DN 450 (18 in.)","18""",False
"FPD190","CH/FPD/LINE/SIZE","500",19,True,False,0,"","DN 500 (20 in.)","DN 500 (20 in.)","20""",False
"FPD190","CH/FPD/LINE/SIZE","550",20,True,False,0,"","DN 550 (22 in.)","DN 550 (22 in.)","22""",False
"FPD190","CH/FPD/LINE/SIZE","600",21,True,False,0,"","DN 600 (24 in.)","DN 600 (24 in.)","24""",False
"FPD190","CH/FPD/LINE/SIZE","650",22,True,False,999999,"CH/FPD/CUST/STD=S1","DN 650 (26 in.)","DN 650 (26 in.)","26""",False
"FPD190","CH/FPD/LINE/SIZE","700",23,True,False,999999,"CH/FPD/CUST/STD=S1","DN 700 (28 in.)","DN 700 (28 in.)","28""",False
"FPD190","CH/FPD/LINE/SIZE","750",24,True,False,999999,"CH/FPD/CUST/STD=S1","DN 750 (30 in.)","DN 750 (30 in.)","30""",False
"FPD190","CH/FPD/LINE/SIZE","800",25,True,False,999999,"CH/FPD/CUST/STD=S1","DN 800 (32 in.)","DN 800 (32 in.)","32""",False
