"ProductCode","SelectionGroup","GrpOrder","InProductCode","MustSelect","SingleSelection","SpecialGroup","MustSelectRule","Name","Description","EnglishUS","EnglishUS_LongDesc","French","French_LongDesc","German","German_LongDesc","Spanish","Spanish_LongDesc","Russian","Russian_LongDesc"
FPD190,CH/FPD/PRODUCT/DES,1,True,True,True,6,,"Product Design","Product Design","","","","","","","","","",""
FPD190,CH/FPD/CUST/STD,2,True,True,True,0,,"Customer-specific Design","Customer-specific Design","","","","","","","","","",""
FPD190,CH/FPD/ORIFICE/DESIGN,3,True,True,True,7,,"Orifice Design","Orifice Design","","","","","","","","","",""
FPD190,CH/FPD/LINE/SIZE,4,True,True,True,4,,"Line Nominal Bore","Line Nominal Bore","","","","","","","","","",""
FPD190,CH/FPD/PIPE/SCH,5,True,True,True,5,,"Pipe Schedule","Pipe Schedule","","","","","","","","","",""
FPD190,CH/FPD/NONELEM/MAT,6,True,True,True,2,,"Pipe Material","Pipe Material","","","","","","","","","",""
FPD190,CH/FPD/ELEM/MAT,7,True,True,True,3,,"Element Material","Element Material","","","","","","","","","",""
FPD190,CH/FPD/PLATE/THICK,8,True,True,True,0,,"Orifice Plate Thickness","Orifice Plate Thickness","","","","","","","","","",""
FPD190,CH/FPD/END/CONN/TYPE,9,True,True,True,0,,"Flange Type","Flange Type","","","","","","","","","",""
FPD190,CH/FPD/END/CONN/RAT,10,True,True,True,10,,"Flange Rating","Flange Rating","","","","","","","","","",""
FPD190,CH/FPD/GASKET,11,True,False,True,0,CH/FPD/PRODUCT/DES=R3 OR CH/FPD/PRODUCT/DES=R4,"Gasket Material","Gasket Material","","","","","","","","","",""
FPD190,CH/FPD/ORI/SEALING/FACE,12,True,False,True,0,,"Orifice Sealing Face","Orifice Sealing Face","","","","","","","","","",""
FPD190,CH/FPD/DRAIN/VENT,13,True,False,True,21,,"Drain/Vent Hole","Drain/Vent Hole","","","","","","","","","",""
FPD190,CH/FPD/DRAIN/VENT/SIZE,14,True,False,True,22,,"Drain/Vent Hole Size","Drain/Vent Hole Size","","","","","","","","","",""
FPD190,CH/FPD/SURFACE/TREAT,15,True,False,False,0,,"Surface Treatment","Surface Treatment","","","","","","","","","",""
FPD190,CH/FPD/CERTIFICATION,16,True,False,False,0,,"Certification","Certification","","","","","","","","","",""
FPD190,CH/FPD/TESTING,17,True,False,False,0,,"Testing","Testing","","","","","","","","","",""
FPD190,CH/FPD/DOC/LANG,18,True,False,False,0,,"Documentation Language (default = English)","Documentation Language (default = English)","","","","","","","","","",""
FPD190,CH/FPD/ADD/REQ,19,True,False,False,0,,"Added Requirements","Added Requirements","","","","","","","","","",""
FPD190,CH/FPD/TAB/HANDLE,20,True,False,True,0,,"Tab Handle","Tab Handle","","","","","","","","","",""
