UnitName,Active,ConvertTo_Secs,ConvertTo_m3,ConvertTo_kg,IsVolumeFlow,ConvertAt_STP,ConvertAt_STP68F,ConvertAt_NTP,AppliesToFlowProducts,AppliesToTempProducts,AppliesToVAProducts
g/min,TRUE,1,1,0.001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
g/h,TRUE,60,1,0.001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
kg/s,TRUE,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
kg/min,TRUE,60,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
kg/h,TRUE,3600,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
kg/day,TRUE,86400,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
lb/s,TRUE,1,1,0.45359237,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
lb/min,TRUE,60,1,0.45359237,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
lb/h,TRUE,3600,1,0.45359237,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
lb/day,TRUE,86400,1,0.45359237,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Tonne/s,TRUE,1,1,1000,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Tonne/min,TRUE,60,1,1000,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Tonne/h,TRUE,3600,1,1000,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Tonne/day,TRUE,86400,1,1000,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Ton(L)/s,TRUE,1,1,1016.04691,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Ton(L)/min,TRUE,60,1,1016.04691,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Ton(L)/h,TRUE,3600,1,1016.04691,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Ton(L)/day,TRUE,86400,1,1016.04691,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Ton(S)/s,TRUE,1,1,907.18474,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Ton(S)/min,TRUE,60,1,907.18474,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Ton(S)/h,TRUE,3600,1,907.18474,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Ton(S)/day,TRUE,86400,1,907.18474,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
m³/s,TRUE,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
m³/min,TRUE,60,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
m³/h,TRUE,3600,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
m³/day,TRUE,86400,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
litres/s,TRUE,1,0.001,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
litres/min,TRUE,60,0.001,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
litres/h,TRUE,3600,0.001,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
litres/day,TRUE,86400,0.001,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
cc/min,TRUE,60,1.00E-06,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ml/s,TRUE,1,1.00E-06,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ml/min,TRUE,60,1.00E-06,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ml/h,TRUE,3600,1.00E-06,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ft³/s,TRUE,1,0.028316847,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
ft³/min,TRUE,60,0.028316847,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
ft³/h,TRUE,3600,0.028316847,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
ft³/day,TRUE,86400,0.028316847,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
in³/s,TRUE,1,1.64E-05,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
in³/min,TRUE,60,1.64E-05,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
in³/h,TRUE,3600,1.64E-05,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
UKG/s,TRUE,1,0.004546092,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
UKG/min,TRUE,60,0.004546092,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
UKG/h,TRUE,3600,0.004546092,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
UKG/day,TRUE,86400,0.004546092,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
USG/s,TRUE,1,0.003785412,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
USG/min,TRUE,60,0.003785412,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
USG/h,TRUE,3600,0.003785412,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
USG/day,TRUE,86400,0.003785412,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
UK Barrels/day,TRUE,86400,0.16365924,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
US Barrels/day,TRUE,86400,0.119240471,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Petroleum Barrels/day,TRUE,86400,0.158987295,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Sm³/s,TRUE,1,1,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Sm³/min,TRUE,60,1,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Sm³/h,TRUE,3600,1,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Sm³/day,TRUE,86400,1,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Scf/s,TRUE,1,0.028316847,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Scf/min,TRUE,60,0.028316847,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Scf/h,TRUE,3600,0.028316847,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Scf/day,TRUE,86400,0.028316847,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
MMScf/h,TRUE,3600,28316.847,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
MScf/h,TRUE,3600,28.316847,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Nm³/s,TRUE,1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Nm³/min,TRUE,60,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Nm³/h,TRUE,3600,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Nm³/day,TRUE,86400,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Ncf/s,TRUE,1,0.028316847,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Ncf/min,TRUE,60,0.028316847,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Ncf/h,TRUE,3600,0.028316847,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Ncf/day,TRUE,86400,0.028316847,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Scf/s@68°F,TRUE,1,0.028316847,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Scf/min@68°F,TRUE,60,0.028316847,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Scf/h@68°F,TRUE,3600,0.028316847,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Scf/day@68°F,TRUE,86400,0.028316847,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
MMScf/h@68°F,TRUE,3600,28316.847,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
MScf/h@68°F,TRUE,3600,28.316847,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
