Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Butene,266.9058228,101325,0.967108428,1.132165194,0.007158963,2.648856163
Butene,271.9058228,101325,0.968770146,1.129514337,0.007300784,2.595687151
Butene,271.9058228,122802.6953,0.961916149,1.132635474,0.00731399,3.168306351
Butene,276.9058228,101325,0.970324695,1.126969934,0.007442171,2.544734001
Butene,276.9058228,122802.6953,0.963825107,1.12988615,0.007455345,3.104935169
Butene,276.9058228,147667.5938,0.956200778,1.133417249,0.007470377,3.763387918
Butene,281.9058228,101325,0.971780896,1.124525785,0.007582931,2.495854139
Butene,281.9058228,122802.6953,0.965611875,1.127254605,0.007596062,3.044221401
Butene,281.9058228,147667.5938,0.958381116,1.130550623,0.007611047,3.688228846
Butene,281.9058228,176261.9063,0.949942827,1.134536743,0.007628127,4.441523075
Butene,286.9058228,101325,0.973146558,1.12217629,0.007722933,2.448916435
Butene,286.9058228,122802.6953,0.967286348,1.124733448,0.007736012,2.985990763
Butene,286.9058228,147667.5938,0.960422754,1.127815127,0.007750937,3.616249561
Butene,286.9058228,176261.9063,0.952420056,1.131531596,0.007767949,4.352768421
Butene,286.9058228,208940.5781,0.943123519,1.136024356,0.00778733,5.210625172
Butene,291.9058228,101325,0.974428713,1.11991632,0.007862094,2.403802395
Butene,291.9058228,122802.6953,0.968857527,1.122315884,0.007875113,2.930084944
Butene,291.9058228,147667.5938,0.962336779,1.125201583,0.007889969,3.547238111
Butene,291.9058228,176261.9063,0.954740286,1.128672719,0.007906902,4.267813683
Butene,291.9058228,208940.5781,0.94592464,1.132855654,0.007926187,5.106207848
Butene,291.9058228,246069.9219,0.935725212,1.137914777,0.007948151,6.079144001
Butene,296.9058228,101325,0.97563386,1.117741227,0.00800037,2.360402107
Butene,296.9058228,122802.6953,0.970333338,1.119995952,0.00801332,2.876359701
Butene,296.9058228,147667.5938,0.964133382,1.122702241,0.008028099,3.481002569
Butene,296.9058228,176261.9063,0.956916213,1.125949502,0.008044943,4.18640089
Butene,296.9058228,208940.5781,0.948548675,1.129851341,0.008064122,5.006329536
Butene,296.9058228,246069.9219,0.938878834,1.13455379,0.008085955,5.956693649
Butene,296.9058228,288026.8438,0.927730441,1.140248895,0.008110822,7.056143761
Butene,301.9058228,101325,0.976767719,1.115646839,0.008137748,2.318615913
Butene,301.9058228,122802.6953,0.971721172,1.117768168,0.008150621,2.824683189
Butene,301.9058228,147667.5938,0.965821743,1.120309591,0.008165316,3.417367697
Butene,301.9058228,176261.9063,0.958959341,1.123352408,0.008182061,4.108296394
Butene,301.9058228,208940.5781,0.951010048,1.126998544,0.008201125,4.910675049
Butene,301.9058228,246069.9219,0.941833258,1.131378293,0.008222818,5.83966589
Butene,301.9058228,288026.8438,0.931267142,1.13666141,0.008247509,6.912930489
Butene,301.9058228,335197.8125,0.919122279,1.143074632,0.008275641,8.151384354
Butene,306.9058228,101325,0.977835715,1.113629222,0.008274233,2.27835083
Butene,306.9058228,122802.6953,0.973027527,1.115627527,0.008287026,2.774933815
Butene,306.9058228,147667.5938,0.967410028,1.118017316,0.008301628,3.356173992
Butene,306.9058228,176261.9063,0.960879862,1.120872617,0.008318268,4.033288002
Butene,306.9058228,208940.5781,0.953321576,1.12428546,0.008337208,4.818958759
Butene,306.9058228,246069.9219,0.944604754,1.128372669,0.008358752,5.727673531
Butene,306.9058228,288026.8438,0.934580207,1.133284569,0.00838326,6.776200294
Butene,306.9058228,335197.8125,0.923074782,1.139220238,0.008411158,7.984250069
Butene,306.9058228,387978.0938,0.909883738,1.146448851,0.00844297,9.375429153
Butene,311.9058228,101325,0.978842497,1.111684799,0.008409853,2.239521742
Butene,311.9058228,122802.6953,0.974258542,1.11356926,0.008422559,2.727000237
Butene,311.9058228,147667.5938,0.968905687,1.115819335,0.008437064,3.297275066
Butene,311.9058228,176261.9063,0.962687194,1.118502498,0.008453591,3.961181879
Butene,311.9058228,208940.5781,0.955495,1.121702194,0.008472401,4.730923176
Butene,311.9058228,246069.9219,0.947207868,1.12552321,0.008493789,5.620367527
Butene,311.9058228,288026.8438,0.937688053,1.130099654,0.008518105,6.645475864
Butene,311.9058228,335197.8125,0.926776588,1.135606647,0.008545765,7.824878693
Butene,311.9058228,387978.0938,0.914287329,1.142279029,0.008577268,9.180704117
Butene,311.9058228,446770.8438,0.899997473,1.15043962,0.008613232,10.73977184
Butene,316.9058228,101325,0.979792476,1.109810114,0.008544646,2.202050447
Butene,316.9058228,122802.6953,0.975419581,1.111589313,0.00855726,2.680780172
Butene,316.9058228,147667.5938,0.970315635,1.113710403,0.008571661,3.240536451
Butene,316.9058228,176261.9063,0.964389682,1.116235137,0.008588071,3.891801357
Butene,316.9058228,208940.5781,0.957540751,1.11923945,0.008606743,4.646332741
Butene,316.9058228,246069.9219,0.949655771,1.122817755,0.00862797,5.517433167
Butene,316.9058228,288026.8438,0.940607131,1.127089858,0.008652089,6.520328522
Butene,316.9058228,335197.8125,0.930248559,1.132211089,0.008679505,7.672677517
Butene,316.9058228,387978.0938,0.918410122,1.138386846,0.008710698,8.995292664
Butene,316.9058228,446770.8438,0.904890358,1.145895958,0.008746258,10.51316833
Butene,316.9058228,511986.4375,0.889445364,1.155128837,0.00878692,12.25699329
Butene,321.9058228,101325,0.980689704,1.108002186,0.008678658,2.165863752
Butene,321.9058228,122802.6953,0.976515651,1.109683633,0.008691178,2.636178732
Butene,321.9058228,147667.5938,0.971646011,1.111685395,0.008705471,3.185834885
