Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Carbon Monoxide,270,10000,0.999936223,1.399767876,0.016490322,0.124779128
Carbon Monoxide,270,20000,0.999872446,1.399996161,0.016493065,0.249574155
Carbon Monoxide,270,30000,0.999808788,1.400224566,0.016495513,0.374385089
Carbon Monoxide,270,40000,0.99974519,1.400453091,0.016497809,0.499211848
Carbon Monoxide,270,50000,0.999681711,1.400681496,0.016500013,0.624054492
Carbon Monoxide,270,60000,0.999618232,1.40091002,0.016502151,0.74891293
Carbon Monoxide,270,70000,0.999554813,1.401138544,0.016504243,0.873787165
Carbon Monoxide,270,80000,0.999491513,1.401367068,0.016506296,0.998677135
Carbon Monoxide,270,90000,0.999428272,1.401595592,0.01650832,1.123582959
Carbon Monoxide,270,100000,0.999365032,1.401824117,0.016510323,1.2485044
Carbon Monoxide,270,500000,0.996892989,1.41098249,0.016586242,6.258002281
Carbon Monoxide,270,1000000,0.993957639,1.422460794,0.016683454,12.55296612
Carbon Monoxide,270,1500000,0.991197944,1.433950663,0.016785989,18.88187408
Carbon Monoxide,270,2000000,0.988617778,1.445427299,0.016893905,25.24153709
Carbon Monoxide,270,2500000,0.986220717,1.456865191,0.017007027,31.62861252
Carbon Monoxide,270,3000000,0.984009981,1.468237877,0.017125167,38.03960419
Carbon Monoxide,270,3493500,0.982013643,1.479372978,0.017246531,44.3871727
Carbon Monoxide,273.1499939,10000,0.999940693,1.399732471,0.016650053,0.123339608
Carbon Monoxide,273.1499939,20000,0.999881387,1.399953485,0.016652767,0.246693835
Carbon Monoxide,273.1499939,30000,0.999822199,1.400174499,0.016655186,0.370062679
Carbon Monoxide,273.1499939,40000,0.999763072,1.400395513,0.016657459,0.493446082
Carbon Monoxide,273.1499939,50000,0.999704003,1.400616527,0.016659638,0.616844058
Carbon Monoxide,273.1499939,60000,0.999644995,1.40083766,0.016661752,0.740256548
Carbon Monoxide,273.1499939,70000,0.999586046,1.401058674,0.016663818,0.863683522
Carbon Monoxide,273.1499939,80000,0.999527156,1.401279807,0.016665848,0.987125039
Carbon Monoxide,273.1499939,90000,0.999468386,1.40150094,0.016667848,1.11058104
Carbon Monoxide,273.1499939,100000,0.999409616,1.401722074,0.016669827,1.234051466
Carbon Monoxide,273.1499939,500000,0.997114241,1.410577893,0.016744813,6.184461117
Carbon Monoxide,273.1499939,1000000,0.994395971,1.421665072,0.016840743,12.40273476
Carbon Monoxide,273.1499939,1500000,0.991848707,1.432750583,0.016941855,18.65188026
Carbon Monoxide,273.1499939,2000000,0.989475965,1.443811297,0.017048204,24.92881012
Carbon Monoxide,273.1499939,2500000,0.987280786,1.454823375,0.017159615,31.23029709
Carbon Monoxide,273.1499939,3000000,0.985266089,1.465762377,0.017275902,37.55298996
Carbon Monoxide,273.1499939,3493500,0.983457148,1.476463675,0.017395288,43.81089401
Carbon Monoxide,280,10000,0.999949634,1.399648905,0.016993996,0.12032111
Carbon Monoxide,280,20000,0.999899387,1.399854779,0.016996648,0.24065432
Carbon Monoxide,280,30000,0.999849141,1.400060773,0.016999014,0.360999614
Carbon Monoxide,280,40000,0.999799013,1.400266647,0.01700123,0.481356978
Carbon Monoxide,280,50000,0.999748886,1.400472522,0.017003357,0.601726353
Carbon Monoxide,280,60000,0.999698877,1.400678515,0.017005421,0.722107768
Carbon Monoxide,280,70000,0.999648869,1.40088439,0.017007437,0.842501163
Carbon Monoxide,280,80000,0.99959898,1.401090384,0.017009418,0.962906539
Carbon Monoxide,280,90000,0.99954915,1.401296258,0.017011371,1.083323956
Carbon Monoxide,280,100000,0.999499381,1.401502252,0.017013298,1.203753233
Carbon Monoxide,280,500000,0.997559488,1.409741521,0.017086325,6.030470371
Carbon Monoxide,280,1000000,0.995277345,1.420034528,0.017179577,12.08859634
Carbon Monoxide,280,1500000,0.993156433,1.430302262,0.017277721,18.17161751
Carbon Monoxide,280,2000000,0.991199315,1.440524817,0.017380813,24.27666092
