Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Ethane,184.868454,101325,0.970755935,1.277940989,0.005835242,2.04186058
Ethane,189.868454,101325,0.972756922,1.273256779,0.00599546,1.984000564
Ethane,189.868454,131857.9375,0.964276314,1.280783176,0.00600843,2.604559422
Ethane,194.868454,101325,0.97458148,1.268727422,0.006156331,1.929475427
Ethane,194.868454,131857.9375,0.966688812,1.275656819,0.006169293,2.531397581
Ethane,194.868454,169074.6094,0.956909537,1.2845819,0.00618468,3.279052019
Ethane,199.868454,101325,0.976249158,1.26433146,0.00631711,1.877993226
Ethane,199.868454,131857.9375,0.968891144,1.270726323,0.006330043,2.462460995
Ethane,199.868454,169074.6094,0.959786475,1.278929472,0.0063454,3.187438965
Ethane,199.868454,213883.5469,0.948614776,1.289459705,0.006363594,4.079674721
Ethane,204.868454,101325,0.977776945,1.26005137,0.006477284,1.82929635
Ethane,204.868454,131857.9375,0.970906615,1.2659657,0.006490169,2.397375584
Ethane,204.868454,169074.6094,0.962415338,1.273524761,0.006505473,3.101152182
Ethane,204.868454,213883.5469,0.952012539,1.283182025,0.006523604,3.965901613
Ethane,204.868454,267233.6875,0.939354539,1.295562148,0.006545058,5.021909714
Ethane,209.868454,101325,0.979179621,1.255873203,0.006636512,1.783156395
Ethane,209.868454,131857.9375,0.972755134,1.26135397,0.006649332,2.335812092
Ethane,209.868454,169074.6094,0.964823425,1.2683357,0.006664564,3.019713402
Ethane,209.868454,213883.5469,0.955119669,1.277217269,0.00668261,3.858822107
Ethane,209.868454,267233.6875,0.943333507,1.288539767,0.006703954,4.881587982
Ethane,209.868454,330109.6563,0.929093659,1.303064466,0.006729197,6.122572422
Ethane,214.868454,101325,0.980470002,1.251786232,0.006794584,1.739369988
Ethane,214.868454,131857.9375,0.974454105,1.256874561,0.006807325,2.277479887
Ethane,214.868454,169074.6094,0.967034221,1.263336778,0.006822469,2.942701578
Ethane,214.868454,213883.5469,0.957967877,1.271525621,0.00684041,3.757821083
Ethane,214.868454,267233.6875,0.946973801,1.281913042,0.006861622,4.749664307
Ethane,214.868454,330109.6563,0.93371886,1.29515183,0.006886687,5.950477123
Ethane,214.868454,403527.25,0.917798579,1.312180996,0.006916338,7.400059223
Ethane,219.868454,101325,0.981659412,1.247782111,0.006951384,1.697755694
Ethane,219.868454,131857.9375,0.976018906,1.252513885,0.006964036,2.222119808
Ethane,219.868454,169074.6094,0.96906811,1.258507133,0.006979077,2.869746447
Ethane,219.868454,213883.5469,0.9605847,1.266074896,0.006996897,3.662360907
Ethane,219.868454,267233.6875,0.950312436,1.275631189,0.007017958,4.625345707
Ethane,219.868454,330109.6563,0.937951148,1.287739992,0.007042827,5.788918495
Ethane,219.868454,403527.25,0.923140585,1.303197622,0.007072204,7.189926624
Ethane,219.868454,488529.25,0.90543586,1.323176861,0.007106996,8.874671936
Ethane,224.868454,101325,0.982757688,1.243854403,0.007106871,1.658150554
Ethane,224.868454,131857.9375,0.977462709,1.24826169,0.007119423,2.169501066
Ethane,224.868454,169074.6094,0.970942974,1.253829837,0.00713435,2.800518513
Ethane,224.868454,213883.5469,0.96299392,1.260838509,0.007152034,3.571968555
Ethane,224.868454,267233.6875,0.953381419,1.269652605,0.007172929,4.507941723
Ethane,224.868454,330109.6563,0.941833615,1.280762672,0.007197584,5.636868
Ethane,224.868454,403527.25,0.928027987,1.294849634,0.007226676,6.993033409
Ethane,224.868454,488529.25,0.911572039,1.312895775,0.007261062,8.618930817
Ethane,224.868454,586181.8125,0.891971231,1.336385012,0.007301867,10.56903458
Ethane,229.868454,101325,0.983773649,1.239998817,0.007261051,1.620408058
Ethane,229.868454,131857.9375,0.978797317,1.244109869,0.007273496,2.119417191
Ethane,229.868454,169074.6094,0.972674549,1.249291778,0.007288297,2.734725952
Ethane,229.868454,213883.5469,0.965216517,1.25579524,0.007305833,3.486226559
Ethane,229.868454,267233.6875,0.956208587,1.263943791,0.007326549,4.396848679
Ethane,229.868454,330109.6563,0.945403636,1.274166465,0.007350979,5.493434429
Ethane,229.868454,403527.25,0.932511389,1.287049651,0.007379774,6.808033466
Ethane,229.868454,488529.25,0.91718328,1.303424001,0.007413751,8.379872322
Ethane,229.868454,586181.8125,0.898987353,1.3245157,0.007453966,10.25844955
Ethane,229.868454,697571.25,0.877367795,1.352228999,0.007501836,12.50863266
Ethane,234.868454,101325,0.984714925,1.236211896,0.007413969,1.584396005
Ethane,234.868454,131857.9375,0.9800331,1.240051866,0.007426298,2.071682453
Ethane,234.868454,169074.6094,0.974276602,1.244881868,0.007440966,2.672106504
Ethane,234.868454,213883.5469,0.967270732,1.250927567,0.007458344,3.404763699
Ethane,234.868454,267233.6875,0.958818257,1.258476853,0.00747887,4.291533947
Ethane,234.868454,330109.6563,0.948693454,1.267907381,0.007503062,5.357842922
Ethane,234.868454,403527.25,0.936634243,1.27972734,0.007531551,6.63377142
Ethane,234.868454,488529.25,0.922329009,1.294645071,0.007565117,8.155720711
Ethane,234.868454,586181.8125,0.905397654,1.313684106,0.007604755,9.968977928
Ethane,234.868454,697571.25,0.88536036,1.338394046,0.007651778,12.13182545
Ethane,234.868454,823801.0625,0.861584365,1.371256351,0.007707992,14.72252178
Ethane,239.868454,101325,0.985588431,1.232491851,0.00756569,1.549994707
Ethane,239.868454,131857.9375,0.981179178,1.23608315,0.007577898,2.026129246
Ethane,239.868454,169074.6094,0.975761294,1.240591764,0.007592425,2.612426043
Ethane,239.868454,213883.5469,0.969172716,1.246221304,0.007609638,3.327249765
Ethane,239.868454,267233.6875,0.961231589,1.25322938,0.007629964,4.191527843
Ethane,239.868454,330109.6563,0.951731384,1.261949539,0.00765391,5.229414463
Ethane,239.868454,403527.25,0.940433979,1.27282548,0.007682085,6.469247341
Ethane,239.868454,488529.25,0.927059829,1.286465287,0.007715237,7.944965363
Ethane,239.868454,586181.8125,0.911272109,1.30373168,0.007754309,9.698251724
Ethane,239.868454,697571.25,0.892652988,1.325900793,0.007800526,11.78189373
Ethane,239.868454,823801.0625,0.870663285,1.354956031,0.007855535,14.26531315
Ethane,239.868454,965989.5625,0.844573319,1.39418602,0.007921667,17.24424934
Ethane,244.868454,101325,0.986400187,1.228837252,0.007716298,1.517095566
Ethane,244.868454,131857.9375,0.982243776,1.232200265,0.007728381,1.982606292
Ethane,244.868454,169074.6094,0.977139413,1.236414552,0.007742761,2.555473328
Ethane,244.868454,213883.5469,0.970936656,1.241664767,0.007759801,3.253388882
Ethane,244.868454,267233.6875,0.963467419,1.248182297,0.007779919,4.096412182
Ethane,244.868454,330109.6563,0.954541981,1.256263256,0.007803611,5.107551098
Ethane,244.868454,403527.25,0.943943441,1.266296864,0.007831465,6.313590527
Ethane,244.868454,488529.25,0.931419551,1.278808951,0.007864203,7.746307373
Ethane,244.868454,586181.8125,0.916670263,1.294532776,0.00790272,9.44427681
Ethane,244.868454,697571.25,0.899328887,1.314530253,0.007948162,11.45564365
Ethane,244.868454,823801.0625,0.878931642,1.340409398,0.008002049,13.8425703
Ethane,244.868454,965989.5625,0.854866147,1.374746203,0.008066475,16.68875122
Ethane,244.868454,1125268.125,0.826278031,1.421980262,0.008144489,20.11311531
Ethane,249.868454,101325,0.987155735,1.225247622,0.007865883,1.485599875
Ethane,249.868454,131857.9375,0.983234048,1.22840035,0.007877837,1.940976381
Ethane,249.868454,169074.6094,0.978420556,1.232344747,0.007892066,2.501057863
Ethane,249.868454,213883.5469,0.972575188,1.23724854,0.007908926,3.182915211
Ethane,249.868454,267233.6875,0.965542197,1.243319988,0.007928832,4.005814552
Ethane,249.868454,330109.6563,0.957146943,1.250823736,0.007952263,4.991723537
Ethane,249.868454,403527.25,0.947191,1.26010263,0.007979793,6.166038036
Ethane,249.868454,488529.25,0.935446024,1.271614194,0.008012116,7.558624268
Ethane,249.868454,586181.8125,0.921643078,1.285986543,0.008050085,9.205353737
Ethane,249.868454,697571.25,0.905458391,1.3041116,0.008094781,11.15041351
Ethane,249.868454,823801.0625,0.886489332,1.327309132,0.008147612,13.44992065
Ethane,249.868454,965989.5625,0.864216149,1.357630134,0.00821048,16.17785645
Ethane,249.868454,1125268.125,0.837934852,1.398471475,0.008286079,19.43643951
Ethane,249.868454,1302779.25,0.806629181,1.45595479,0.008378464,23.37587166
Ethane,254.868454,101325,0.987859786,1.221722722,0.008014541,1.455417395
Ethane,254.868454,131857.9375,0.984156489,1.224681735,0.008026362,1.901114821
Ethane,254.868454,169074.6094,0.979613245,1.228377938,0.008040437,2.449006796
Ethane,254.868454,213883.5469,0.974099517,1.232964516,0.008057114,3.115589857
Ethane,254.868454,267233.6875,0.967470706,1.238629699,0.0080768,3.919400454
Ethane,254.868454,330109.6563,0.959565401,1.245610237,0.008099966,4.881462097
Ethane,254.868454,403527.25,0.950201869,1.254210353,0.008127169,6.025918484
Ethane,254.868454,488529.25,0.939172268,1.264829993,0.008159077,7.380938053
Ethane,254.868454,586181.8125,0.926234722,1.278010964,0.008196508,8.980025291
Ethane,254.868454,697571.25,0.911101341,1.294509053,0.008240482,10.86395931
Ethane,254.868454,823801.0625,0.893420041,1.315418839,0.008292312,13.0837698
Ethane,254.868454,965989.5625,0.872745275,1.342397332,0.008353741,15.70547962
Ethane,254.868454,1125268.125,0.848488688,1.378094196,0.008427179,18.81811905
Ethane,254.868454,1302779.25,0.819830298,1.427065015,0.008516137,22.54826546
Ethane,254.868454,1499675.5,0.785540283,1.497954488,0.008626103,27.08913231
Ethane,259.8684387,101325,0.988516808,1.218262911,0.008162365,1.426465631
Ethane,259.8684387,131857.9375,0.985016882,1.221042871,0.008174052,1.862907767
Ethane,259.8684387,169074.6094,0.980725169,1.224510789,0.008187968,2.399163485
