"MaterialCrossReference","Temperature_K","CofE"
"Austenitic Steel",74.8166667,1.467E-05
"Austenitic Steel",88.7055556,1.4778E-05
"Austenitic Steel",102.5944444,1.4904E-05
"Austenitic Steel",116.4833333,1.5012E-05
"Austenitic Steel",130.3722222,1.5138E-05
"Austenitic Steel",144.2611111,1.5246E-05
"Austenitic Steel",158.15,1.5372E-05
"Austenitic Steel",172.0388889,1.548E-05
"Austenitic Steel",185.9277778,1.5588E-05
"Austenitic Steel",199.8166667,1.575E-05
"Austenitic Steel",213.7055556,1.5894E-05
"Austenitic Steel",227.5944444,1.602E-05
"Austenitic Steel",241.4833333,1.6092E-05
"Austenitic Steel",255.3722222,1.6164E-05
"Austenitic Steel",269.2611111,1.6254E-05
"Austenitic Steel",283.15,1.6326E-05
"Austenitic Steel",294.2611111,1.6398E-05
"Austenitic Steel",310.9277778,1.6488E-05
"Austenitic Steel",324.8166667,1.656E-05
"Austenitic Steel",338.7055556,1.665E-05
"Austenitic Steel",352.5944444,1.6722E-05
"Austenitic Steel",366.4833333,1.6812E-05
"Austenitic Steel",380.3722222,1.6866E-05
"Austenitic Steel",394.2611111,1.6938E-05
"Austenitic Steel",408.15,1.6992E-05
"Austenitic Steel",422.0388889,1.7046E-05
"Austenitic Steel",435.9277778,1.71E-05
"Austenitic Steel",449.8166667,1.7154E-05
"Austenitic Steel",463.7055556,1.7208E-05
"Austenitic Steel",477.5944444,1.7262E-05
"Austenitic Steel",491.4833333,1.7316E-05
"Austenitic Steel",505.3722222,1.737E-05
"Austenitic Steel",519.2611111,1.7406E-05
"Austenitic Steel",533.15,1.746E-05
"Austenitic Steel",547.0388889,1.7514E-05
"Austenitic Steel",560.9277778,1.7568E-05
"Austenitic Steel",574.8166667,1.7622E-05
"Austenitic Steel",588.7055556,1.7676E-05
"Austenitic Steel",602.5944444,1.773E-05
"Austenitic Steel",616.4833333,1.7766E-05
"Austenitic Steel",630.3722222,1.782E-05
"Austenitic Steel",644.2611111,1.7856E-05
"Austenitic Steel",658.15,1.791E-05
"Austenitic Steel",672.0388889,1.7982E-05
"Austenitic Steel",685.9277778,1.8036E-05
"Austenitic Steel",699.8166667,1.809E-05
"Austenitic Steel",713.7055556,1.8144E-05
"Austenitic Steel",727.5944444,1.8198E-05
"Austenitic Steel",741.4833333,1.8234E-05
"Austenitic Steel",755.3722222,1.8288E-05
"Austenitic Steel",769.2611111,1.8342E-05
"Austenitic Steel",783.15,1.8414E-05
"Austenitic Steel",797.0388889,1.8468E-05
"Austenitic Steel",810.9277778,1.8522E-05
"Austenitic Steel",824.8166667,1.8576E-05
"Austenitic Steel",838.7055556,1.8612E-05
"Austenitic Steel",852.5944444,1.8666E-05
"Austenitic Steel",866.4833333,1.8702E-05
"Austenitic Steel",880.3722222,1.8738E-05
"Austenitic Steel",894.2611111,1.8792E-05
"Austenitic Steel",908.15,1.8828E-05
"Austenitic Steel",922.0388889,1.8864E-05
"Austenitic Steel",935.9277778,1.89E-05
"Austenitic Steel",949.8166667,1.8918E-05
"Austenitic Steel",963.7055556,1.8954E-05
"Austenitic Steel",977.5944444,1.8972E-05
"Austenitic Steel",991.4833333,1.9008E-05
"Austenitic Steel",1005.372222,1.9026E-05
"Austenitic Steel",1019.261111,1.9062E-05
"Austenitic Steel",1033.15,1.908E-05
"Austenitic Steel",1047.038889,1.9152E-05
"Austenitic Steel",1060.927778,1.9224E-05
"Austenitic Steel",1074.816667,1.9296E-05
"Austenitic Steel",1088.705556,1.9386E-05
"Carbon Steel",74.8166667,9E-06
"Carbon Steel",88.7055556,9.126E-06
"Carbon Steel",102.5944444,9.252E-06
"Carbon Steel",116.4833333,9.378E-06
"Carbon Steel",130.3722222,9.504E-06
"Carbon Steel",144.2611111,9.63E-06
"Carbon Steel",158.15,9.756E-06
"Carbon Steel",172.0388889,9.9E-06
"Carbon Steel",185.9277778,1.0026E-05
"Carbon Steel",199.8166667,1.017E-05
"Carbon Steel",213.7055556,1.0296E-05
"Carbon Steel",227.5944444,1.044E-05
"Carbon Steel",241.4833333,1.053E-05
"Carbon Steel",255.3722222,1.062E-05
"Carbon Steel",269.2611111,1.0728E-05
"Carbon Steel",283.15,1.0818E-05
"Carbon Steel",294.2611111,1.0926E-05
"Carbon Steel",310.9277778,1.1034E-05
"Carbon Steel",324.8166667,1.1142E-05
"Carbon Steel",338.7055556,1.125E-05
"Carbon Steel",352.5944444,1.1358E-05
"Carbon Steel",366.4833333,1.1484E-05
"Carbon Steel",380.3722222,1.1574E-05
"Carbon Steel",394.2611111,1.1682E-05
"Carbon Steel",408.15,1.1772E-05
"Carbon Steel",422.0388889,1.188E-05
"Carbon Steel",435.9277778,1.197E-05
"Carbon Steel",449.8166667,1.2078E-05
"Carbon Steel",463.7055556,1.2168E-05
"Carbon Steel",477.5944444,1.2276E-05
"Carbon Steel",491.4833333,1.2366E-05
"Carbon Steel",505.3722222,1.2456E-05
"Carbon Steel",519.2611111,1.2546E-05
"Carbon Steel",533.15,1.2636E-05
"Carbon Steel",547.0388889,1.2726E-05
"Carbon Steel",560.9277778,1.2816E-05
"Carbon Steel",574.8166667,1.2906E-05
"Carbon Steel",588.7055556,1.3014E-05
"Carbon Steel",602.5944444,1.3104E-05
"Carbon Steel",616.4833333,1.3194E-05
"Carbon Steel",630.3722222,1.3284E-05
"Carbon Steel",644.2611111,1.3392E-05
"Carbon Steel",658.15,1.3482E-05
"Carbon Steel",672.0388889,1.3572E-05
"Carbon Steel",685.9277778,1.3662E-05
"Carbon Steel",699.8166667,1.377E-05
"Carbon Steel",713.7055556,1.386E-05
"Carbon Steel",727.5944444,1.395E-05
"Carbon Steel",741.4833333,1.4022E-05
"Carbon Steel",755.3722222,1.4112E-05
"Carbon Steel",769.2611111,1.4166E-05
"Carbon Steel",783.15,1.4238E-05
"Carbon Steel",797.0388889,1.4292E-05
"Carbon Steel",810.9277778,1.4346E-05
"Carbon Steel",824.8166667,1.4418E-05
"Carbon Steel",838.7055556,1.449E-05
"Carbon Steel",852.5944444,1.4544E-05
"Carbon Steel",866.4833333,1.4616E-05
"Carbon Steel",880.3722222,1.4652E-05
"Carbon Steel",894.2611111,1.4688E-05
"Carbon Steel",908.15,1.4706E-05
"Carbon Steel",922.0388889,1.4742E-05
"Carbon Steel",935.9277778,1.4778E-05
"Carbon Steel",949.8166667,1.4832E-05
"Carbon Steel",963.7055556,1.4868E-05
"Carbon Steel",977.5944444,1.4904E-05
"Carbon Steel",991.4833333,1.494E-05
"Carbon Steel",1005.372222,1.4976E-05
"Carbon Steel",1019.261111,1.5012E-05
"Carbon Steel",1033.15,1.5048E-05
"UNS N04400",74.8166667,9.99E-06
"UNS N04400",88.7055556,1.0296E-05
"UNS N04400",102.5944444,1.0602E-05
"UNS N04400",116.4833333,1.0908E-05
"UNS N04400",130.3722222,1.1214E-05
"UNS N04400",144.2611111,1.152E-05
"UNS N04400",158.15,1.1826E-05
"UNS N04400",172.0388889,1.215E-05
"UNS N04400",185.9277778,1.233E-05
"UNS N04400",199.8166667,1.251E-05
"UNS N04400",213.7055556,1.269E-05
"UNS N04400",227.5944444,1.287E-05
"UNS N04400",241.4833333,1.2996E-05
"UNS N04400",255.3722222,1.3104E-05
"UNS N04400",269.2611111,1.323E-05
"UNS N04400",283.15,1.3338E-05
"UNS N04400",294.2611111,1.3464E-05
"UNS N04400",310.9277778,1.359E-05
"UNS N04400",324.8166667,1.3716E-05
"UNS N04400",338.7055556,1.386E-05
"UNS N04400",352.5944444,1.3986E-05
"UNS N04400",366.4833333,1.4112E-05
"UNS N04400",380.3722222,1.4202E-05
"UNS N04400",394.2611111,1.4274E-05
"UNS N04400",408.15,1.4364E-05
"UNS N04400",422.0388889,1.4436E-05
"UNS N04400",435.9277778,1.4526E-05
"UNS N04400",449.8166667,1.4598E-05
"UNS N04400",463.7055556,1.4688E-05
"UNS N04400",477.5944444,1.476E-05
"UNS N04400",491.4833333,1.485E-05
"UNS N04400",505.3722222,1.494E-05
"UNS N04400",519.2611111,1.503E-05
"UNS N04400",533.15,1.512E-05
"UNS N04400",547.0388889,1.521E-05
"UNS N04400",560.9277778,1.5282E-05
"UNS N04400",574.8166667,1.5372E-05
"UNS N04400",588.7055556,1.5444E-05
"UNS N04400",602.5944444,1.5534E-05
"UNS N04400",616.4833333,1.5624E-05
