MaterialCrossReference,Temperature_DegC,MaxStress_MPa
S6,40,138
S6,65,138
S6,100,138
S6,125,138
S6,150,138
S6,175,138
S6,200,134
S6,225,129
S6,250,125
S6,275,122
S6,300,119
S6,325,116
S6,350,114
S6,375,112
S6,400,111
S6,425,110
S6,450,109
S6,475,108
S6,500,107
S6,525,106
S6,550,105
S6,575,97.8
S6,600,80.8
S6,625,65
S6,650,50.4
S6,675,38.6
S6,700,29.6
S6,725,23
S6,750,17.4
S6,775,13.3
S6,800,10.4
S6,825,8.96
H6,40,138
H6,65,138
H6,100,138
H6,125,138
H6,150,138
H6,175,138
H6,200,134
H6,225,129
H6,250,125
H6,275,122
H6,300,119
H6,325,116
H6,350,114
H6,375,112
H6,400,111
H6,425,110
H6,450,109
H6,475,108
H6,500,107
H6,525,106
H6,550,105
H6,575,97.8
H6,600,80.8
H6,625,65
H6,650,50.4
H6,675,38.6
H6,700,29.6
H6,725,23
H6,750,17.4
H6,775,13.3
H6,800,10.4
H6,825,8.96
S4,40,138
S4,65,138
S4,100,138
S4,125,138
S4,150,138
S4,175,134
S4,200,129
S4,225,125
S4,250,122
S4,275,119
S4,300,116
S4,325,113
S4,350,111
S4,375,109
S4,400,107
S4,425,105
S4,450,103
S4,475,101
S4,500,99.1
S4,525,97.3
S4,550,95.5
S4,575,78.9
S4,600,63.8
S4,625,51.6
S4,650,41.6
S4,675,32.9
S4,700,26.5
S4,725,21.3
S4,750,17.2
S4,775,14.1
S4,800,11.2
S4,825,9.65
H4,40,138
H4,65,138
H4,100,138
H4,125,138
H4,150,138
H4,175,134
H4,200,129
H4,225,125
H4,250,122
H4,275,119
H4,300,116
H4,325,113
H4,350,111
H4,375,109
H4,400,107
H4,425,105
H4,450,103
H4,475,101
H4,500,99.1
H4,525,97.3
H4,550,95.5
H4,575,78.9
H4,600,63.8
H4,625,51.6
H4,650,41.6
H4,675,32.9
H4,700,26.5
H4,725,21.3
H4,750,17.2
H4,775,14.1
H4,800,11.2
H4,825,9.65
S3,40,138
S3,65,138
S3,100,121
S3,125,116
S3,150,111
S3,175,118
S3,200,104
S3,225,101
S3,250,98.6
S3,275,97
S3,300,95.5
S3,325,94
S3,350,93.1
S3,375,91.5
S3,400,90.3
S3,425,88.9
S3,450,87.6
S3,475,86.5
S3,500,84.8
S3,525,69
S3,550,55
S3,575,45
S3,600,34.5
S3,625,25
S3,650,17.2
S2,40,138
S2,65,138
S2,100,138
S2,125,138
S2,150,138
S2,175,138
S2,200,138
S2,225,138
S2,250,135
S2,275,131
S2,300,128
S2,325,125
S2,350,122
S2,375,120
S2,400,119
S2,425,117
S2,450,115
S2,475,114
S2,500,113
S2,525,112
S2,550,100
S2,575,76.5
S2,600,58.7
S2,625,46
S2,650,36.8
S2,675,28.7
S2,700,23
S2,725,18.4
S2,750,14.5
S2,775,11.5
S2,800,9.02
S2,825,6.83
S1,40,138
S1,65,138
