"MaterialCrossReference","Temperature_K","ModElasticity_Pa"
"Austenitic Steel",74.8166667,209000000000
"Austenitic Steel",144.2611111,205000000000
"Austenitic Steel",199.8166667,200000000000
"Austenitic Steel",294.2611111,195000000000
"Austenitic Steel",366.4833333,190000000000
"Austenitic Steel",422.0388889,186000000000
"Austenitic Steel",477.5944444,183000000000
"Austenitic Steel",533.15,178000000000
"Austenitic Steel",588.7055556,174000000000
"Austenitic Steel",644.2611111,171000000000
"Austenitic Steel",699.8166667,166000000000
"Austenitic Steel",755.3722222,162000000000
"Austenitic Steel",810.9277778,157000000000
"Austenitic Steel",866.4833333,152000000000
"Austenitic Steel",922.0388889,146000000000
"Austenitic Steel",977.5944444,139000000000
"Austenitic Steel",1033.15,132000000000
"Austenitic Steel",1088.705556,125000000000
"Carbon Steel",74.8166667,216000000000
"Carbon Steel",144.2611111,212000000000
"Carbon Steel",199.8166667,208000000000
"Carbon Steel",294.2611111,203000000000
"Carbon Steel",366.4833333,199000000000
"Carbon Steel",422.0388889,195000000000
"Carbon Steel",477.5944444,191000000000
"Carbon Steel",533.15,188000000000
"Carbon Steel",588.7055556,184000000000
"Carbon Steel",644.2611111,176000000000
"Carbon Steel",699.8166667,167000000000
"Carbon Steel",755.3722222,154000000000
"Carbon Steel",810.9277778,141000000000
"Carbon Steel",866.4833333,124000000000
"UNS N04400",74.8166667,192000000000
"UNS N04400",144.2611111,188000000000
"UNS N04400",199.8166667,185000000000
"UNS N04400",294.2611111,179000000000
"UNS N04400",366.4833333,175000000000
"UNS N04400",422.0388889,172000000000
"UNS N04400",477.5944444,170000000000
"UNS N04400",533.15,168000000000
"UNS N04400",588.7055556,166000000000
"UNS N04400",644.2611111,163000000000
"UNS N04400",699.8166667,159000000000
"UNS N04400",755.3722222,156000000000
"UNS N04400",810.9277778,152000000000
"UNS N04400",866.4833333,150000000000
"UNS N04400",922.0388889,146000000000
"UNS N06600",74.8166667,229000000000
"UNS N06600",144.2611111,225000000000
"UNS N06600",199.8166667,220000000000
"UNS N06600",294.2611111,214000000000
"UNS N06600",366.4833333,208000000000
"UNS N06600",422.0388889,206000000000
"UNS N06600",477.5944444,203000000000
"UNS N06600",533.15,200000000000
"UNS N06600",588.7055556,198000000000
"UNS N06600",644.2611111,194000000000
"UNS N06600",699.8166667,190000000000
"UNS N06600",755.3722222,186000000000
"UNS N06600",810.9277778,182000000000
"UNS N06600",866.4833333,179000000000
"UNS N06600",922.0388889,174000000000
"UNS N06625",74.8166667,221000000000
"UNS N06625",144.2611111,217000000000
"UNS N06625",199.8166667,213000000000
"UNS N06625",294.2611111,207000000000
"UNS N06625",366.4833333,202000000000
"UNS N06625",422.0388889,199000000000
"UNS N06625",477.5944444,197000000000
"UNS N06625",533.15,194000000000
"UNS N06625",588.7055556,192000000000
"UNS N06625",644.2611111,188000000000
"UNS N06625",699.8166667,184000000000
"UNS N06625",755.3722222,180000000000
"UNS N06625",810.9277778,176000000000
"UNS N06625",866.4833333,173000000000
"UNS N06625",922.0388889,169000000000
"UNS N08XXX",74.8166667,210000000000
"UNS N08XXX",144.2611111,206000000000
"UNS N08XXX",199.8166667,203000000000
"UNS N08XXX",294.2611111,197000000000
"UNS N08XXX",366.4833333,192000000000
"UNS N08XXX",422.0388889,189000000000
"UNS N08XXX",477.5944444,187000000000
"UNS N08XXX",533.15,183000000000
"UNS N08XXX",588.7055556,182000000000
"UNS N08XXX",644.2611111,179000000000
"UNS N08XXX",699.8166667,175000000000
"UNS N08XXX",755.3722222,171000000000
"UNS N08XXX",810.9277778,167000000000
"UNS N08XXX",866.4833333,164000000000
"UNS N08XXX",922.0388889,160000000000
"UNS N10276",74.8166667,218000000000
"UNS N10276",144.2611111,216000000000
"UNS N10276",199.8166667,211000000000
"UNS N10276",294.2611111,205000000000
"UNS N10276",366.4833333,201000000000
"UNS N10276",422.0388889,197000000000
"UNS N10276",477.5944444,195000000000
"UNS N10276",533.15,192000000000
"UNS N10276",588.7055556,190000000000
"UNS N10276",644.2611111,187000000000
"UNS N10276",699.8166667,183000000000
"UNS N10276",755.3722222,179000000000
"UNS N10276",810.9277778,174000000000
"UNS N10276",866.4833333,172000000000
"UNS N10276",922.0388889,168000000000
"Cr-Mo Steels, Cr ½% - 2%",74.81666667,217874000000
"Cr-Mo Steels, Cr ½% - 2%",144.2611111,213737000000
"Cr-Mo Steels, Cr ½% - 2%",199.8166667,209601000000
"Cr-Mo Steels, Cr ½% - 2%",294.2611111,204774000000
"Cr-Mo Steels, Cr ½% - 2%",366.4833333,199948000000
"Cr-Mo Steels, Cr ½% - 2%",422.0388889,196501000000
"Cr-Mo Steels, Cr ½% - 2%",477.5944444,192364000000
"Cr-Mo Steels, Cr ½% - 2%",533.15,189606000000
