UnitName,Active,ConvertToBar,AdjustByAtm,AppliesToFlowProducts,AppliesToTempProducts,AppliesToVAProducts
mPa [A] ,TRUE,1.00E-08,0,TRUE,TRUE,FALSE
mPa [G],TRUE,1.00E-08,1.01325,TRUE,TRUE,FALSE
Pa [A],TRUE,1.00E-05,0,TRUE,TRUE,FALSE
Pa [G],TRUE,1.00E-05,1.01325,TRUE,TRUE,FALSE
kPa [A],TRUE,0.01,0,TRUE,TRUE,TRUE
kPa [G],TRUE,0.01,1.01325,TRUE,TRUE,TRUE
N/m² [A],TRUE,1.00E-05,0,TRUE,TRUE,FALSE
N/m² [G],TRUE,1.00E-05,1.01325,TRUE,TRUE,FALSE
kN/m² [A],TRUE,0.01,0,TRUE,TRUE,FALSE
kN/m² [G],TRUE,0.01,1.01325,TRUE,TRUE,FALSE
bar [A],TRUE,1,0,TRUE,TRUE,TRUE
bar [G],TRUE,1,1.01325,TRUE,TRUE,TRUE
mbar [A],TRUE,0.001,0,TRUE,TRUE,FALSE
mbar [G],TRUE,0.001,1.01325,TRUE,TRUE,FALSE
atm [A],TRUE,1.01325,0,TRUE,TRUE,TRUE
atm [G],TRUE,1.01325,1.01325,TRUE,TRUE,TRUE
lb/ft² [A],TRUE,0.000478803,0,TRUE,TRUE,FALSE
lb/ft² [G],TRUE,0.000478803,1.01325,TRUE,TRUE,FALSE
psi [A],TRUE,0.068947573,0,TRUE,TRUE,TRUE
psi [G],TRUE,0.068947573,1.01325,TRUE,TRUE,TRUE
in wg [A] @ 4°C,TRUE,0.002490889,0,TRUE,TRUE,TRUE
in wg [G] @ 4°C,TRUE,0.002490889,1.01325,TRUE,TRUE,TRUE
mm wg [A] @ 4°C,TRUE,9.81E-05,0,TRUE,TRUE,FALSE
mm wg [G] @ 4°C,TRUE,9.81E-05,1.01325,TRUE,TRUE,FALSE
kgf/cm² [A],TRUE,0.980665,0,TRUE,TRUE,TRUE
kgf/cm² [G],TRUE,0.980665,1.01325,TRUE,TRUE,TRUE
