"Pressure_PaA","Temperature_K","Density_kgm3","IsentropicIndex","Viscosity_cP","ZFactor","EnglishUS","French","German","Spanish","Russian"
100000,372.75,0.5902,1.3178,0.01226,0.9848,"","","","",""
105000,374.15,0.6178,1.3175,0.0123,0.984295,"","","","",""
110000,375.45,0.6452,1.3175,0.01235,0.983798,"","","","",""
115000,376.75,0.6726,1.3171,0.01239,0.983308,"","","","",""
120000,377.95,0.6999,1.3168,0.01243,0.982826,"","","","",""
125000,379.15,0.7272,1.3166,0.01247,0.98235,"","","","",""
130000,380.25,0.7544,1.3164,0.01251,0.981881,"","","","",""
135000,381.35,0.7815,1.3162,0.01255,0.981417,"","","","",""
140000,382.45,0.8085,1.316,0.01259,0.98096,"","","","",""
145000,383.55,0.8355,1.3158,0.01262,0.980508,"","","","",""
150000,384.55,0.8624,1.3156,0.01266,0.980061,"","","","",""
155000,385.55,0.8893,1.3154,0.01269,0.979619,"","","","",""
160000,386.45,0.9161,1.3152,0.01273,0.979182,"","","","",""
165000,387.45,0.9429,1.315,0.01276,0.918749,"","","","",""
170000,388.35,0.9696,1.3148,0.01279,0.978321,"","","","",""
175000,389.25,0.9962,1.3146,0.01282,0.977897,"","","","",""
180000,390.05,1.0228,1.3145,0.01285,0.977477,"","","","",""
185000,390.95,1.0494,1.3143,0.01288,0.977061,"","","","",""
190000,391.75,1.0759,1.3141,0.01291,0.976649,"","","","",""
195000,392.55,1.1024,1.314,0.01294,0.97624,"","","","",""
200000,393.35,1.1289,1.3138,0.01296,0.975835,"","","","",""
205000,394.15,1.1553,1.3136,0.01299,0.975433,"","","","",""
210000,394.95,1.1816,1.3135,0.01302,0.975035,"","","","",""
215000,395.65,1.2079,1.3133,0.01304,0.97464,"","","","",""
220000,396.45,1.2342,1.3132,0.01307,0.974248,"","","","",""
225000,397.15,1.2605,1.33,0.01309,0.973859,"","","","",""
230000,397.85,1.2867,1.3129,0.01312,0.973473,"","","","",""
235000,398.55,1.3129,1.3127,0.01314,0.973089,"","","","",""
240000,399.25,1.339,1.3126,0.01317,0.972709,"","","","",""
245000,399.95,1.3651,1.3124,0.01319,0.972331,"","","","",""
250000,400.55,1.3912,1.3123,0.01321,0.971956,"","","","",""
255000,401.25,1.4173,1.3121,0.01323,0.971583,"","","","",""
260000,401.85,1.4433,1.312,0.01326,0.971213,"","","","",""
265000,402.55,1.4693,1.3119,0.01328,0.970845,"","","","",""
270000,403.15,1.4953,1.3117,0.0133,0.97048,"","","","",""
275000,403.75,1.5215,1.3116,0.01332,0.970116,"","","","",""
280000,404.35,1.5471,1.3115,0.01334,0.969755,"","","","",""
285000,404.95,1.573,1.3113,0.01336,0.969397,"","","","",""
290000,405.55,1.5989,1.3112,0.01338,0.96904,"","","","",""
295000,406.15,1.6247,1.3111,0.0134,0.968685,"","","","",""
300000,406.75,1.6505,1.3109,0.01342,0.968333,"","","","",""
305000,407.25,1.6763,1.3108,0.01344,0.967982,"","","","",""
310000,407.85,1.7021,1.3107,0.01346,0.967634,"","","","",""
315000,408.35,1.7278,1.3106,0.01348,0.967287,"","","","",""
320000,408.95,1.7536,1.3104,0.0135,0.966942,"","","","",""
325000,409.45,1.7793,1.3103,0.01352,0.966599,"","","","",""
330000,409.95,1.8049,1.3102,0.01354,0.966258,"","","","",""
335000,410.55,1.8306,1.3101,0.01355,0.965919,"","","","",""
340000,411.05,1.8562,1.31,0.01357,0.965581,"","","","",""
345000,411.55,1.8818,1.3098,0.01359,0.965245,"","","","",""
350000,412.05,1.9074,1.3097,0.01362,0.964911,"","","","",""
355000,412.55,1.933,1.3096,0.01364,0.964578,"","","","",""
360000,413.05,1.9586,1.3095,0.01366,0.964247,"","","","",""
365000,413.55,1.9841,1.3094,0.01368,0.963917,"","","","",""
370000,414.05,2.0096,1.3093,0.01369,0.963589,"","","","",""
375000,414.45,2.0351,1.3092,0.01371,0.963263,"","","","",""
380000,414.95,2.0606,1.3091,0.01372,0.962938,"","","","",""
385000,415.45,2.0861,1.309,0.01374,0.962614,"","","","",""
