UnitName,Active,LiquidOnly,ConvertTo_m2s,ConvertTo_cP,AppliesToFlowProducts,AppliesToTempProducts,AppliesToVAProducts
Pa.s,TRUE,FALSE,,1000,TRUE,TRUE,FALSE
kg/m.s,TRUE,FALSE,,1000,TRUE,TRUE,FALSE
Poise,TRUE,FALSE,,100,TRUE,TRUE,FALSE
cP,TRUE,FALSE,,1,TRUE,TRUE,TRUE
lbf·s/ft²,TRUE,FALSE,,47880.25951,TRUE,TRUE,FALSE
lb/(ft·s),TRUE,FALSE,,1488.163933,TRUE,TRUE,FALSE
St,TRUE,TRUE,0.0001,1000,TRUE,TRUE,FALSE
cSt,TRUE,TRUE,1.00E-06,1000,TRUE,TRUE,TRUE
m²/s,TRUE,TRUE,1,1000,TRUE,TRUE,FALSE
mm²/s,TRUE,TRUE,1.00E-06,1000,TRUE,TRUE,FALSE
