"Temperature_K","Density_kgm3"
273.15,999.8879395
298.15,997.0189209
323.15,988.0992432
348.15,974.8574219
373.15,958.3141479
373.16,0.555303872
398.15,0.555303872
423.15,0.521921396
448.15,0.492364675
473.15,0.466005713
498.15,0.442347914
523.15,0.420993268
548.15,0.401618809
573.15,0.383959591
598.15,0.367796212
623.15,0.352945387
648.15,0.339252681
673.15,0.32658717
698.15,0.314836919
723.15,0.303905815
748.15,0.293710798
773.15,0.284179688
798.15,0.275249511
823.15,0.266864955
848.15,0.258977413
873.15,0.25154382
898.15,0.244525999
923.15,0.237889946
948.15,0.231605262
973.15,0.225644708
998.15,0.219983786
1023.15,0.214600414
1048.15,0.209474653
1073.15,0.204588398
1098.15,0.199925214
1123.15,0.195470154
1148.15,0.19120957
1173.15,0.187130988
1198.15,0.18322295
1223.15,0.179474995
1248.15,0.175877467
1273.15,0.172421455
1298.15,0.169098794
1323.15,0.165901884
1348.15,0.162823707
1373.15,0.15985778
1398.15,0.156998053
1423.15,0.154238924
1448.15,0.151576072
1473.15,0.149004221
