"Expression","RuleType","SelectionOnly","ShortName","Notes"
"([SelectedItem]{CH/FPD58/PROBE/MATERIAL}='S6')",1,True,"Material may not be suitable when corrosive components are present. Customer to confirm suitability.",
"([SelectedItem]{CH/FPD58/PROBE/MATERIAL}='S6') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 811)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>811))",3,False,"Material not suitable for stack temperatures greater than 538°C.",
"([SelectedItem]{CH/FPD58/PROBE/MATERIAL}='S1')",1,True,"Material may not be suitable when corrosive components are present. Customer to confirm suitability.",
"([SelectedItem]{CH/FPD58/PROBE/MATERIAL}='S1') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 973)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>973))",2,False,"Material not suitable for stack temperatures greater than 700°C.",
"([SelectedItem]{CH/FPD58/PROBE/MATERIAL}='N2')",1,True,"Material may not be suitable when corrosive components are present. Customer to confirm suitability.",
"([SelectedItem]{CH/FPD58/PROBE/MATERIAL}='N2') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 1173)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>1173))",2,False,"For stack temperatures between 900°C - 1,200°C the instrument will have a reduced lifespan.",
"([SelectedItem]{CH/FPD58/PROBE/MATERIAL}='N2') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 1473)) OR  ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>1473))",3,False,"Material not suitable for stack temperatures greater than 1,200°C.",
"([SelectedItem]{CH/FPD58/INTERFACE/UNIT}='A')",1,True,"Purging advised if particulate concentration >30 mg/m³.",
"([SelectedItem]{CH/FPD58/INTERFACE/UNIT}='B')",1,True,"Purging advised if particulate concentration >30 mg/m³.",
"([MaxParticulateQty]>30) AND ([MaxParticulateQty]<=300)",2,False,"Purging is strongly recommended as particulate concentration >30 mg/m³.",
"([MaxParticulateQty]>300)",3,False,"Particulate content is very high (>300 mg/m³), please contact your sales representative for advice.",
"([SelectedItem]{CH/FPD58/TEMP/ELEM}='AT') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 873)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>873))",3,False,"RTD temperature sensor not available when stack temperature is greater than 600°C.",
"([SelectedItem]{CH/FPD58/STAND/ACC}='K1') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 673)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>673))",3,False,"Gasket type not suitable when stack temperature is greater than 400°C.",
"([SelectedItem]{CH/FPD58/STAND/ACC}='K2') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 673)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>673))",3,False,"Gasket type not suitable when stack temperature is greater than 400°C.",
"([SelectedItem]{CH/FPD58/STAND/ACC}='K3') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 1073)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>1073))",3,False,"Gasket type not suitable when stack temperature is greater than 800°C.",
