"ProductCode","SelectionGroup","GrpOrder","InProductCode","MustSelect","SingleSelection","SpecialGroup","MustSelectRule","Name","Description"
"FPD581","CH/FPD58/DESIGN/LEVEL",1,True,True,True,0,"","Design Level","Design Level"
"FPD581","CH/FPD58/PROBE/TYPE",2,True,True,True,6,"","Probe Type","Probe Type"
"FPD581","CH/FPD58/PROBE/MATERIAL",3,True,True,True,3,"","Probe Material","Probe Material"
"FPD581","CH/FPD58/FITTING/MATERIAL",4,True,True,True,2,"","Fitting Material","Fitting Material"
"FPD581","CH/FPD58/CONN/SIZE",5,True,True,True,0,"","Process Connection Size","Process Connection Size"
"FPD581","CH/FPD58/CONN/RATING",6,True,True,True,0,"","Process Connection Rating","Process Connection Rating"
"FPD581","CH/FPD58/STAND",7,True,True,True,0,"","Standoff","Standoff"
"FPD581","CH/FPD58/INTERFACE/UNIT",8,True,True,True,0,"","Interface Unit Options","Interface Unit Options"
"FPD581","CH/FPD58/DPTX/MOUNT",9,True,True,True,0,"","DP Transmitter Mounting Position","DP Transmitter Mounting Position"
"FPD581","CH/FPD58/DPTXSPAN/LIMITS",10,True,True,True,0,"","DP Span Limits","DP Span Limits"
"FPD581","CH/FPD58/SEAL/MAT",11,True,True,True,0,"","Seal Material","Seal Material"
"FPD581","CH/FPD58/COMMS/OUTPUT",12,True,True,True,0,"","Communications Output","Communications Output"
"FPD581","CH/FPD58/HOUSE/MAT",13,True,True,True,0,"","DP Tx Housing Detail","DP Tx Housing Detail"
"FPD581","CH/FPD58/DISPL",14,True,True,True,0,"","Integrated LCD Display","Integrated LCD Display"
"FPD581","CH/FPD58/TEMP/ELEM",15,True,False,True,0,"","Temperature Element","Temperature Element"
"FPD581","CH/FPD58/STAND/ACC",16,True,False,True,0,"","Bolts and Gaskets","Bolts and Gaskets"
"FPD581","CH/FPD58/PROBE/DES",17,True,False,False,0,"","Probe Design","Probe Design"
"FPD581","CH/FPD58/EX/CERT",18,True,False,True,0,"","DP Tx Explosion Certificates","DP Tx Explosion Certificates"
"FPD581","CH/FPD58/CERTIFICATE",19,True,False,False,0,"","Certificates","Certificates"
"FPD581","CH/FPD58/DOC/LANG",20,True,False,False,0,"","Documentation Language","Documentation Language"
"FPD581","CH/FPD58/CONTAMINANTS",99,False,False,False,50,"","Corrosive Components","Corrosive Components"
"FPD583","CH/FPD58/DESIGN/LEVEL",1,True,True,True,0,"","Design Level","Design Level"
"FPD583","CH/FPD58/PROBE/TYPE",2,True,True,True,6,"","Probe Type","Probe Type"
"FPD583","CH/FPD58/PROBE/MATERIAL",3,True,True,True,3,"","Probe Material","Probe Material"
"FPD583","CH/FPD58/FITTING/MATERIAL",4,True,True,True,2,"","Fitting Material","Fitting Material"
"FPD583","CH/FPD58/CONN/SIZE",5,True,True,True,0,"","Process Connection Size","Process Connection Size"
"FPD583","CH/FPD58/CONN/RATING",6,True,True,True,0,"","Process Connection Rating","Process Connection Rating"
"FPD583","CH/FPD58/STAND",7,True,True,True,0,"","Standoff","Standoff"
"FPD583","CH/FPD58/INTERFACE/UNIT",8,True,True,True,0,"","Interface Unit Options","Interface Unit Options"
"FPD583","CH/FPD58/DPTX/MOUNT",9,True,True,True,0,"","DP Transmitter Mounting Position","DP Transmitter Mounting Position"
"FPD583","CH/FPD58/DPTXSPAN/LIMITS",10,True,True,True,0,"","DP Span Limits","DP Span Limits"
"FPD583","CH/FPD58/SEAL/MAT",11,True,True,True,0,"","Seal Material","Seal Material"
"FPD583","CH/FPD58/COMMS/OUTPUT",12,True,True,True,0,"","Communications Output","Communications Output"
"FPD583","CH/FPD58/HOUSE/MAT",13,True,True,True,0,"","DP Tx Housing Detail","DP Tx Housing Detail"
"FPD583","CH/FPD58/DISPL",14,True,True,True,0,"","Integrated LCD Display","Integrated LCD Display"
"FPD583","CH/FPD58/TEMP/ELEM",15,True,False,True,0,"","Temperature Element","Temperature Element"
"FPD583","CH/FPD58/STAND/ACC",16,True,False,True,0,"","Bolts and Gaskets","Bolts and Gaskets"
