"ProductCode","SelectionGroup","GrpOrder","InProductCode","MustSelect","SingleSelection","SpecialGroup","MustSelectRule","Name","Description"
"TIN","CH/HAZARD",1,True,True,True,0,"","Hazardous Area Certification","Hazardous Area Certification"
"TIN","CH/TX",2,True,True,True,0,"","Transmitter","Transmitter"
"TIN","CH/COMMS",3,True,True,True,0,"","Transmitter Comms","Transmitter Comms"
"TIN","CH/SENSORTYPE",5,True,True,True,0,"","Sensor Type","Sensor Type"
"TIN","CH/SENSORTOL",6,True,True,True,0,"","Sensor Tolerance","Sensor Tolerance"
"TIN","CH/SENSORCON",7,True,True,True,0,"","Sensor Connection","Sensor Connection"
"TIN","CH/SENSORLEN",8,True,True,True,256,"","Sensor Length (mm)","Sensor Length (mm)"
"TIN","CH/SENSORDIA",9,True,True,True,0,"","Sensor Diameter","Sensor Diameter"
"TIN","CH/SHEATHMAT",10,True,True,True,0,"","Sheath Material","Sheath Material"
"TIN","CH/SENSORTERM",11,True,True,True,0,"","Sensor Termination","Sensor Termination"
"TIN","CH/TX_UNITS",12,False,False,True,0,"NOT(CH/TX = Y0)","Transmitter Units","Transmitter Units"
"TIN","CH/TX_RANGEMIN",13,False,False,True,256,"NOT(CH/TX = Y0)","Temperature Range - Min","Temperature Range - Min"
"TIN","CH/TX_RANGEMAX",14,False,False,True,256,"NOT(CH/TX = Y0)","Temperature Range - Max","Temperature Range - Max"
"TIN","CH/TX_BURNOUT",15,False,False,True,0,"CH/COMMS IN (H5,H7)","Output on Error (Burnout)","Output on Error (Burnout)"
"TIN","CH/TX_HOTBACKUP",16,False,False,True,0,"CH/TX = A3","Auto Redundancy (Hot Backup)","Auto Redundancy (Hot Backup)"
"TIN","CH/TX_SIL",17,False,False,True,0,"NOT(CH/TX = Y0)","SIL 2","SIL 2"
