"ProductCode","SelectionGroup","PartNumber","Order","Active","DefaultItem","Cost","ExclusionRule","Name","Description","AdditionalData","InShortenedList"
"TAW","CH/HAZARD","Y0",1,True,False,0,"","Safe Area - Non certified","Safe Area - Non certified",,False
"TAW","CH/HAZARD","A0",2,True,False,0,"","ATEX Ex i - With installed certified transmitter","ATEX Ex i - With installed certified transmitter",,False
"TAW","CH/HAZARD","A1",3,True,False,0,"","ATEX Ex d","ATEX Ex d",,False
"TAW","CH/HAZARD","A2",4,True,False,0,"","ATEX Ex n","ATEX Ex n",,False
"TAW","CH/HAZARD","B0",5,True,False,0,"","IECEx i - With installed certified transmitter","IECEx i - With installed certified transmitter",,False
"TAW","CH/HAZARD","B1",6,True,False,0,"","IECEx d","IECEx d",,False
"TAW","CH/HAZARD","F0",7,True,False,0,"","FM Intrinsically Safe - With installed certified transmitter","FM Intrinsically Safe - With installed certified transmitter",,False
"TAW","CH/HAZARD","S0",8,True,False,0,"","Simple Apparatus Equipment - For intrinsically safe installations without transmitter","Simple Apparatus Equipment - For intrinsically safe installations without transmitter",,False
"TAW","CH/TX","Y0",1,True,False,0,"CH/HAZARD IN (A0,B0,F0)","None","None",,False
"TAW","CH/TX","Y1",2,True,False,0,"CH/HAZARD IN (A0,B0,F0,S0)","Customer Free Issue","Customer Free Issue",,False
"TAW","CH/TX","Y2",3,True,False,0,"CH/HAZARD IN (A0,B0,F0,S0)","Customer to Install Own Transmitter","Customer to Install Own Transmitter",,False
"TAW","CH/TX","A2",4,True,False,0,"CH/HAZARD=S0","ABB TTH200 - Smart HART, single sensor input","ABB TTH200 - Smart HART, single sensor input",,False
"TAW","CH/TX","A3",5,True,False,0,"CH/HAZARD=S0","ABB TTH300 - Smart HART, extended functionality, dual sensor input","ABB TTH300 - Smart HART, extended functionality, dual sensor input",,False
"TAW","CH/TX","Z9",6,True,False,0,"","Customer Specific","Customer Specific",,False
"TAW","CH/COMMS","Y0",1,True,False,0,"NOT(CH/TX=Y0)","None","None",,False
"TAW","CH/COMMS","H5",2,True,False,0,"CH/TX=Y0","HART 5 (4...20 mA)","HART 5 (4...20 mA)",,False
"TAW","CH/COMMS","H7",3,True,False,0,"CH/TX=Y0 OR CH/TX=A2","HART 7 (4...20 mA)","HART 7 (4...20 mA)",,False
"TAW","CH/COMMS","P1",4,True,False,0,"CH/TX=Y0 OR CH/TX=A2","Profibus PA","Profibus PA",,False
"TAW","CH/COMMS","F1",5,True,False,0,"CH/TX=Y0 OR CH/TX=A2","Foundation Fieldbus - H1","Foundation Fieldbus - H1",,False
"TAW","CH/HEADTYPE","L1",1,True,False,0,"","AGL - Aluminium Epoxy Coated, Std Blind Lid","AGL - Aluminium Epoxy Coated, Std Blind Lid",,False
"TAW","CH/HEADTYPE","L2",2,True,False,0,"","AGL H - Aluminium Epoxy Coated, High Blind Lid","AGL H - Aluminium Epoxy Coated, High Blind Lid",,False
"TAW","CH/HEADTYPE","L3",3,True,False,0,"","AGL HD - Aluminium Epoxy Coated, High Window Lid","AGL HD - Aluminium Epoxy Coated, High Window Lid",,False
"TAW","CH/HEADTYPE","S1",4,True,False,0,"","AGS - 316L St Steel, Natural Finish, Std Blind Lid","AGS - 316L St Steel, Natural Finish, Std Blind Lid",,False
"TAW","CH/HEADTYPE","S2",5,True,False,0,"","AGS H - 316L St Steel, Natural Finish, High Blind Lid","AGS H - 316L St Steel, Natural Finish, High Blind Lid",,False
"TAW","CH/HEADTYPE","S3",6,True,False,0,"","AGS HD - 316L St Steel, Natural Finish, High Window Lid","AGS HD - 316L St Steel, Natural Finish, High Window Lid",,False
"TAW","CH/HEADTYPE","L4",7,True,False,0,"","AGL F - Aluminium Epoxy Coated, Std Blind Lid, Field Housing","AGL F - Aluminium Epoxy Coated, Std Blind Lid, Field Housing",,False
"TAW","CH/HEADTYPE","L5",8,True,False,0,"","AGL FH - Aluminium Epoxy Coated, High Blind Lid, Field Housing","AGL FH - Aluminium Epoxy Coated, High Blind Lid, Field Housing",,False
"TAW","CH/HEADTYPE","L6",9,True,False,0,"","AGL FD - Aluminium Epoxy Coated, Window Lid, Field Housing","AGL FD - Aluminium Epoxy Coated, Window Lid, Field Housing",,False
"TAW","CH/HEADTYPE","S4",10,True,False,0,"","AGS F - 316L St Steel, Natural Finish, Std Blind Lid, Field Housing","AGS F - 316L St Steel, Natural Finish, Std Blind Lid, Field Housing",,False
"TAW","CH/HEADTYPE","S5",11,True,False,0,"","AGS FH - 316L St Steel, Natural Finish, High Blind Lid, Field Housing","AGS FH - 316L St Steel, Natural Finish, High Blind Lid, Field Housing",,False
"TAW","CH/HEADTYPE","S6",12,True,False,0,"","AGS FD - 316L St Steel, Natural Finish, Window Lid, Field Housing","AGS FD - 316L St Steel, Natural Finish, Window Lid, Field Housing",,False
"TAW","CH/HEADTYPE","B1",13,True,False,0,"CH/HAZARD IN (A1,B1)","BUZ - Aluminium, Painted, Hinged Lid","BUZ - Aluminium, Painted, Hinged Lid",,False
"TAW","CH/HEADTYPE","B2",14,True,False,0,"CH/HAZARD IN (A1,B1)","BUZ H - Aluminium Painted, High Hinged Lid","BUZ H - Aluminium Painted, High Hinged Lid",,False
"TAW","CH/HEADTYPE","K1",15,True,False,0,"","KNE - Aluminium Painted, Screwed Lid","KNE - Aluminium Painted, Screwed Lid",,False
"TAW","CH/HEADTYPE","K2",16,True,False,0,"","KI - Cast Iron, Painted, Screwed Lid","KI - Cast Iron, Painted, Screwed Lid",,False
"TAW","CH/HEADTYPE","H8",17,True,False,0,"","H8 - Aluminium Painted - Form B Head","H8 - Aluminium Painted - Form B Head",,False
"TAW","CH/HEADTYPE","S7",18,True,False,0,"","LS - 316 St Steel, Screwed Lid","LS - 316 St Steel, Screwed Lid",,False
"TAW","CH/DISPLAY","Y0",1,True,False,0,"","None","None",,False
"TAW","CH/DISPLAY","Z9",2,True,False,0,"CH/TX IN (Y0,A2,A3) OR NOT(CH/HEADTYPE IN (L3,S3,L5,L6,S5,S6))","Customer Specific","Customer Specific",,False
