"ProductCode","SelectionGroup","GrpOrder","InProductCode","MustSelect","SingleSelection","SpecialGroup","MustSelectRule","Name","Description"
"TAW","CH/HAZARD",1,True,True,True,0,"","Hazardous Area Certification","Hazardous Area Certification"
"TAW","CH/TX",2,True,True,True,0,"","Transmitter","Transmitter"
"TAW","CH/COMMS",3,True,True,True,0,"","Transmitter Comms","Transmitter Comms"
"TAW","CH/HEADTYPE",4,True,True,True,0,"","Head Type","Head Type"
"TAW","CH/DISPLAY",5,True,True,True,0,"","Display","Display"
"TAW","CH/HEADCABLECON",6,True,True,True,0,"","Head Cable Connection","Head Cable Connection"
"TAW","CH/HEADCON",7,True,True,True,0,"","Head Connection","Head Connection"
"TAW","CH/EXTENSION",8,True,True,True,0,"","Inset Extension","Inset Extension"
"TAW","CH/EXTENSIONLEN",9,True,True,True,256,"","Extension Length (mm)","Extension Length (mm)"
"TAW","CH/SENSORTYPE",10,True,True,True,0,"","Sensor Type","Sensor Type"
"TAW","CH/SENSORTOL",11,True,True,True,0,"","Sensor Tolerance","Sensor Tolerance"
"TAW","CH/SENSORCON",12,True,True,True,0,"","Sensor Connection","Sensor Connection"
"TAW","CH/SENSORDIA",14,True,True,True,0,"","Sensor Diameter","Sensor Diameter"
"TAW","CH/SHEATHMAT",15,True,True,True,0,"","Sheath Material","Sheath Material"
"TAW","CH/SENSORTERM",16,True,True,True,0,"","Sensor Termination","Sensor Termination"
"TAW","CH/TW_MATERIAL",17,True,True,True,3,"","Thermowell Material","Thermowell Material"
"TAW","CH/TW_CONSTRUCTION",18,True,True,True,61,"","Thermowell Construction","Thermowell Construction"
"TAW","CH/TW_PROCCONN_TYPE",19,True,True,True,0,"","Process Connection","Process Connection"
"TAW","CH/TW_PROCCONN_DETAIL",20,True,True,True,0,"","Process Connection Detail","Process Connection Detail"
"TAW","CH/TW_INSTCONN",21,True,True,True,0,"","Instrument Connection","Instrument Connection"
"TAW","CH/TW_PROFILE",22,True,True,True,60,"","Profile","Profile"
"TAW","CH/TW_ROOT_DIA",23,True,True,True,320,"","Stem Root Diameter (mm)","Stem Root Diameter (mm)"
"TAW","CH/TW_TIP_DIA",24,True,True,True,321,"CH/PROFILE IN (T,S)","Stem Tip Diameter (mm)","Stem Tip Diameter (mm)"
"TAW","CH/TW_STEP",25,False,True,True,322,"CH/PROFILE IN (T,S)","Taper/Step Length from Tip (mm)","Taper/Step Length from Tip (mm)"
"TAW","CH/TW_BORE",26,True,True,True,62,"","Bore Diameter","Bore Diameter"
"TAW","CH/TW_TIP_THICK",27,True,True,True,63,"","Tip Thickness","Tip Thickness"
"TAW","CH/IMMERSIONLEN",28,True,True,True,323,"","Immersion Length (mm)","Immersion Length (mm)"
"TAW","CH/LAGGINGLEN",29,True,True,True,324,"","External (lagging) Length (mm)","External (lagging) Length (mm)"
"TAW","CH/TW_VCOL",30,True,True,True,0,"","Velocity Collar","Velocity Collar"
"TAW","CH/TW_VCOL_DIA",31,False,False,True,256,"CH/TW_VCOL = Y","Velocity Collar Diameter","Velocity Collar Diameter"
"TAW","CH/TW_VCOL_POS",32,False,False,True,256,"CH/TW_VCOL = Y","Velocity Collar Position","Velocity Collar Position"
"TAW","CH/TW_PLUG",33,True,True,True,0,"","Plug and Chain","Plug and Chain"
"TAW","CH/TW_COATING",34,True,True,True,0,"","Coating","Coating"
"TAW","CH/TX_UNITS",35,False,False,True,0,"NOT(CH/TX = Y0)","Transmitter Units","Transmitter Units"
"TAW","CH/TX_RANGEMIN",36,False,False,True,256,"NOT(CH/TX = Y0)","Temperature Range - Min","Temperature Range - Min"
"TAW","CH/TX_RANGEMAX",37,False,False,True,256,"NOT(CH/TX = Y0)","Temperature Range - Max","Temperature Range - Max"
"TAW","CH/TX_BURNOUT",38,False,False,True,0,"CH/COMMS IN (H5,H7)","Output on Error (Burnout)","Output on Error (Burnout)"
"TAW","CH/TX_HOTBACKUP",39,False,False,True,0,"CH/TX = A3","Auto Redundancy (Hot Backup)","Auto Redundancy (Hot Backup)"
"TAW","CH/TX_SIL",40,False,False,True,0,"NOT(CH/TX = Y0)","SIL 2","SIL 2"
