"ProductCode","SelectionGroup","PartNumber","Order","Active","DefaultItem","Cost","ExclusionRule","Name","Description","AdditionalData","InShortenedList"
"TTW","CH/TW_MATERIAL","S6",1,True,False,0,"","316/316L Stainless Steel","316/316L Stainless Steel",,False
"TTW","CH/TW_MATERIAL","H6",2,True,False,0,"","316H Stainless Steel","316H Stainless Steel",,False
"TTW","CH/TW_MATERIAL","S4",3,True,False,0,"","304/304L Stainless Steel","304/304L Stainless Steel",,False
"TTW","CH/TW_MATERIAL","H4",4,True,False,0,"","304H Stainless Steel","304H Stainless Steel",,False
"TTW","CH/TW_MATERIAL","S3",5,True,False,0,"","310 Stainless Steel","310 Stainless Steel",,False
"TTW","CH/TW_MATERIAL","S2",6,True,False,0,"","321 Stainless Steel","321 Stainless Steel",,False
"TTW","CH/TW_MATERIAL","S1",7,True,False,0,"","321H Stainless Steel","321H Stainless Steel",,False
"TTW","CH/TW_MATERIAL","S5",8,True,False,0,"","347 Stainless Steel","347 Stainless Steel",,False
"TTW","CH/TW_MATERIAL","S7",9,True,False,0,"","347H Stainless Steel","347H Stainless Steel",,False
"TTW","CH/TW_MATERIAL","S8",10,True,False,0,"","317/317L Stainless Steel","317/317L Stainless Steel",,False
"TTW","CH/TW_MATERIAL","D1",11,True,False,0,"","22% Cr Duplex (UNS S31803)","22% Cr Duplex (UNS S31803)",,False
"TTW","CH/TW_MATERIAL","D2",12,True,False,0,"","25% Cr Super Duplex (UNS S32750)","25% Cr Super Duplex (UNS S32750)",,False
"TTW","CH/TW_MATERIAL","D3",13,True,False,0,"","25% Cr Super Duplex (UNS S32760)","25% Cr Super Duplex (UNS S32760)",,False
"TTW","CH/TW_MATERIAL","U6",14,True,False,0,"","Alloy C22 (UNS N06022)","Alloy C22 (UNS N06022)",,False
"TTW","CH/TW_MATERIAL","U7",15,True,False,0,"","Alloy C276 (UNS N010276)","Alloy C276 (UNS N010276)",,False
"TTW","CH/TW_MATERIAL","C3",16,True,False,0,"","Carbon Steel","Carbon Steel",,False
"TTW","CH/TW_MATERIAL","C4",17,True,False,0,"","Low Temp Carbon Steel","Low Temp Carbon Steel",,False
"TTW","CH/TW_MATERIAL","M1",18,True,False,0,"","6% Mo SS (UNS S31254)","6% Mo SS (UNS S31254)",,False
"TTW","CH/TW_MATERIAL","U1",19,True,False,0,"","Alloy 20 (UNS N08020)","Alloy 20 (UNS N08020)",,False
"TTW","CH/TW_MATERIAL","U2",20,True,False,0,"","Alloy 200 (UNS N02200)","Alloy 200 (UNS N02200)",,False
"TTW","CH/TW_MATERIAL","M4",21,True,False,0,"","Alloy 400 (UNS N04400)","Alloy 400 (UNS N04400)",,False
"TTW","CH/TW_MATERIAL","U3",22,True,False,0,"","Alloy 600 (UNS N06600)","Alloy 600 (UNS N06600)",,False
"TTW","CH/TW_MATERIAL","U8",23,True,False,0,"","Alloy 601 (UNS N06601)","Alloy 601 (UNS N06601)",,False
"TTW","CH/TW_MATERIAL","N2",24,True,False,0,"","Alloy 625 (UNS N06625)","Alloy 625 (UNS N06625)",,False
"TTW","CH/TW_MATERIAL","U4",25,True,False,0,"","Alloy 800 (UNS N08800)","Alloy 800 (UNS N08800)",,False
"TTW","CH/TW_MATERIAL","H7",26,True,False,0,"","Alloy 800H (UNS N08810)","Alloy 800H (UNS N08810)",,False
"TTW","CH/TW_MATERIAL","H8",27,True,False,0,"","Alloy 800HT (UNS N08811)","Alloy 800HT (UNS N08811)",,False
"TTW","CH/TW_MATERIAL","U5",28,True,False,0,"","Alloy 825 (UNS N08825)","Alloy 825 (UNS N08825)",,False
"TTW","CH/TW_MATERIAL","P4",29,True,False,0,"","Titanium","Titanium",,False
"TTW","CH/TW_CONSTRUCTION","A",1,True,False,0,"","Fillet & Groove","Fillet & Groove","FFG",False
"TTW","CH/TW_CONSTRUCTION","B",2,True,False,0,"","Full Penetration","Full Penetration","FFP",False
"TTW","CH/TW_CONSTRUCTION","C",3,True,False,0,"CH/TW_MATERIAL = P4","Forged","Forged","F",False
"TTW","CH/TW_CONSTRUCTION","D",4,True,False,0,"CH/TW_MATERIAL = P4","Forged Van Stone - A105N Flange","Forged Van Stone - A105N Flange","VS",False
"TTW","CH/TW_CONSTRUCTION","E",5,True,False,0,"CH/TW_MATERIAL = P4","Forged Van Stone - 316SS Flange","Forged Van Stone - 316SS Flange","VS",False
"TTW","CH/TW_CONSTRUCTION","F",6,True,False,0,"CH/TW_MATERIAL = P4","Forged Van Stone - As Thermowell","Forged Van Stone - As Thermowell","VS",False
"TTW","CH/TW_CONSTRUCTION","G",7,True,False,0,"","Round Bar Van Stone - A105N Flange","Round Bar Van Stone - A105N Flange","VS",False
"TTW","CH/TW_CONSTRUCTION","H",8,True,False,0,"","Round Bar Van Stone - 316SS Flange","Round Bar Van Stone - 316SS Flange","VS",False
"TTW","CH/TW_CONSTRUCTION","I",9,True,False,0,"","Round Bar Van Stone - Flange As Thermowell","Round Bar Van Stone - Flange As Thermowell","VS",False
"TTW","CH/TW_CONSTRUCTION","J",10,True,False,0,"","Weld In","Weld In","W",False
"TTW","CH/TW_CONSTRUCTION","K",11,True,False,0,"","Screwed","Screwed","T",False
"TTW","CH/TW_CONSTRUCTION","L",12,True,False,0,"","Shell Van Stone S38.113 / S38.114 Round Bar - A105N Flange","Shell Van Stone S38.113 / S38.114 Round Bar - A105N Flange","VS",False
"TTW","CH/TW_CONSTRUCTION","M",13,True,False,0,"","Shell Van Stone S38.113 / S38.114 Round Bar - 316SS Flange","Shell Van Stone S38.113 / S38.114 Round Bar - 316SS Flange","VS",False
"TTW","CH/TW_CONSTRUCTION","N",14,True,False,0,"","Shell Van Stone S38.113 / S38.114 Round Bar - Flange As Thermowell Material","Shell Van Stone S38.113 / S38.114 Round Bar - Flange As Thermowell Material","VS",False
"TTW","CH/TW_CONSTRUCTION","O",15,True,False,0,"CH/TW_MATERIAL = P4","BP Van Stone - A105N Flange","BP Van Stone - A105N Flange","VS",False
"TTW","CH/TW_CONSTRUCTION","P",16,True,False,0,"CH/TW_MATERIAL = P4","BP Van Stone - 316SS Flange","BP Van Stone - 316SS Flange","VS",False
"TTW","CH/TW_CONSTRUCTION","Q",17,True,False,0,"CH/TW_MATERIAL = P4","BP Van Stone - Flange As Thermowell Material","BP Van Stone - Flange As Thermowell Material","VS",False
"TTW","CH/TW_CONSTRUCTION","R",18,True,False,0,"","Threaded Flange","Threaded Flange","T",False
"TTW","CH/TW_CONSTRUCTION","S",19,True,False,0,"","Threaded and Seal Welded Flange","Threaded and Seal Welded Flange","T",False
"TTW","CH/TW_PROCCONN_TYPE","Y0",1,True,False,0,"CH/TW_CONSTRUCTION IN (A,B,C,D,E,F,G,H,I,L,M,N,O,P,Q,R,S)","Not Flanged","Not Flanged",,False
"TTW","CH/TW_PROCCONN_TYPE","R2",2,True,False,0,"CH/TW_CONSTRUCTION IN (J,K)","Raised Face DN 20 (¾ in.)","Raised Face DN 20 (¾ in.)",,False
"TTW","CH/TW_PROCCONN_TYPE","R3",3,True,False,0,"CH/TW_CONSTRUCTION IN (J,K)","Raised Face DN 25 (1 in.)","Raised Face DN 25 (1 in.)",,False
"TTW","CH/TW_PROCCONN_TYPE","R4",4,True,False,0,"CH/TW_CONSTRUCTION IN (J,K)","Raised Face DN 40 (1½ in.)","Raised Face DN 40 (1½ in.)",,False
"TTW","CH/TW_PROCCONN_TYPE","R5",5,True,False,0,"CH/TW_CONSTRUCTION IN (J,K)","Raised Face DN 50 (2 in.)","Raised Face DN 50 (2 in.)",,False
"TTW","CH/TW_PROCCONN_TYPE","R8",6,True,False,0,"CH/TW_CONSTRUCTION IN (J,K)","Raised Face DN 65 (2½ in.)","Raised Face DN 65 (2½ in.)",,False
"TTW","CH/TW_PROCCONN_TYPE","R6",7,True,False,0,"CH/TW_CONSTRUCTION IN (J,K)","Raised Face DN 80 (3 in.)","Raised Face DN 80 (3 in.)",,False
"TTW","CH/TW_PROCCONN_TYPE","R7",8,True,False,0,"CH/TW_CONSTRUCTION IN (J,K)","Raised Face DN 100 (4 in.)","Raised Face DN 100 (4 in.)",,False
"TTW","CH/TW_PROCCONN_TYPE","J2",9,True,False,0,"CH/TW_CONSTRUCTION IN (J,K)","Ring Type Joint DN 20 (¾ in.)","Ring Type Joint DN 20 (¾ in.)",,False
"TTW","CH/TW_PROCCONN_TYPE","J3",10,True,False,0,"CH/TW_CONSTRUCTION IN (J,K)","Ring Type Joint DN 25 (1 in.)","Ring Type Joint DN 25 (1 in.)",,False
"TTW","CH/TW_PROCCONN_TYPE","J4",11,True,False,0,"CH/TW_CONSTRUCTION IN (J,K)","Ring Type Joint DN 40 (1½ in.)","Ring Type Joint DN 40 (1½ in.)",,False
