"ProductCode","SelectionGroup","GrpOrder","InProductCode","MustSelect","SingleSelection","SpecialGroup","MustSelectRule","Name","Description"
"TTW","CH/TW_MATERIAL",1,True,True,True,3,"","Thermowell Material","Thermowell Material"
"TTW","CH/TW_CONSTRUCTION",2,True,True,True,61,"","Thermowell Construction","Thermowell Construction"
"TTW","CH/TW_PROCCONN_TYPE",3,True,True,True,0,"","Process Connection","Process Connection"
"TTW","CH/TW_PROCCONN_DETAIL",4,True,True,True,0,"","Process Connection Detail","Process Connection Detail"
"TTW","CH/TW_INSTCONN",5,True,True,True,0,"","Instrument Connection","Instrument Connection"
"TTW","CH/TW_PROFILE",6,True,True,True,60,"","Profile","Profile"
"TTW","CH/TW_ROOT_DIA",7,True,True,True,320,"","Stem Root Diameter (mm)","Stem Root Diameter (mm)"
"TTW","CH/TW_TIP_DIA",8,True,True,True,321,"CH/PROFILE IN (T,S)","Stem Tip Diameter (mm)","Stem Tip Diameter (mm)"
"TTW","CH/TW_STEP",9,False,True,True,322,"CH/PROFILE IN (T,S)","Taper/Step Length from Tip (mm)","Taper/Step Length from Tip (mm)"
"TTW","CH/TW_BORE",10,True,True,True,62,"","Bore Diameter","Bore Diameter"
"TTW","CH/TW_TIP_THICK",11,True,True,True,63,"","Tip Thickness","Tip Thickness"
"TTW","CH/IMMERSIONLEN",12,True,True,True,323,"","Immersion Length (mm)","Immersion Length (mm)"
"TTW","CH/LAGGINGLEN",13,True,True,True,324,"","External (lagging) Length (mm)","External (lagging) Length (mm)"
"TTW","CH/TW_VCOL",14,True,True,True,0,"","Velocity Collar","Velocity Collar"
"TTW","CH/TW_VCOL_DIA",15,False,False,True,256,"CH/TW_VCOL = Y","Velocity Collar Diameter","Velocity Collar Diameter"
"TTW","CH/TW_VCOL_POS",16,False,False,True,256,"CH/TW_VCOL = Y","Velocity Collar Position","Velocity Collar Position"
"TTW","CH/TW_PLUG",17,True,True,True,0,"","Plug and Chain","Plug and Chain"
"TTW","CH/TW_COATING",18,True,True,True,0,"","Coating","Coating"
