ColumnName,Value,Units,UnitsType,Notes,Expression
GADrawing1,FPD350.1,,,121,Exp1 AND Exp2
GADrawing1,FPD350.2,,,122,Exp1 AND Exp3
GADrawing1,FPD350.3,,,123,Exp1 AND Exp4
GADrawing1,FPD350.4,,,301,Exp1 AND Exp5 AND Exp13 AND Exp15
GADrawing1,FPD350.5,,,311,Exp1 AND Exp5 AND Exp13 AND Exp17
GADrawing1,FPD350.6,,,401 NRTB,Exp1 AND Exp6 AND Exp13 AND Exp15 AND Exp20 
GADrawing1,FPD350.7,,,401,Exp1 AND Exp6 AND Exp13 AND Exp15 
GADrawing1,FPD350.8,,,402 NRTB,Exp1 AND Exp6 AND Exp14 AND Exp16 AND Exp20
GADrawing1,FPD350.9,,,402,Exp1 AND Exp6 AND Exp14 AND Exp16
GADrawing1,FPD350.10,,,411 NRTB,Exp1 AND Exp6 AND Exp13 AND Exp17 AND Exp20
GADrawing1,FPD350.11,,,411,Exp1 AND Exp6 AND Exp13 AND Exp17
GADrawing1,FPD350.12,,,412 FE,Exp1 AND Exp6 AND Exp14 AND Exp19
GADrawing1,FPD350.13,,,412 NRTB FE,Exp1 AND Exp6 AND Exp14 AND Exp19 AND Exp20
GADrawing1,FPD350.14,,,412 NRTB,Exp1 AND Exp6 AND Exp14 AND Exp18 AND Exp20
GADrawing1,FPD350.15,,,412,Exp1 AND Exp6 AND Exp14 AND Exp18 
GADrawing1,FPD350.16,,,511 FS NRTB,Exp1 AND Exp7 AND Exp13 AND Exp17 AND Exp20
GADrawing1,FPD350.17,,,511,Exp1 AND Exp7 AND Exp13 AND Exp17 
GADrawing1,FPD350.18,,,512 FS ENDCUP NRTB,Exp1 AND Exp7 AND Exp14 AND Exp18 AND Exp20
GADrawing1,FPD350.19,,,512 FS FE NRTB,Exp1 AND Exp7 AND Exp14 AND Exp19 AND Exp20
GADrawing1,FPD350.20,,,512FS FE,Exp1 AND Exp7 AND Exp14 AND Exp19
GADrawing1,FPD350.21,,,512,Exp1 AND Exp7 AND Exp14 AND Exp18
GADrawing1,FPD350.22,,,H701,Exp1 AND Exp11 AND Exp13 AND Exp15
GADrawing1,FPD350.23,,,H701 NRTB,Exp1 AND Exp11 AND Exp13 AND Exp15 AND Exp20
GADrawing1,FPD350.24,,,H702 TES NRTB,Exp1 AND Exp11 AND Exp14 AND Exp16 AND Exp20
GADrawing1,FPD350.25,,,H702,Exp1 AND Exp11 AND Exp14 AND Exp16
GADrawing1,FPD350.26,,,H711 FS,Exp1 AND Exp11 AND Exp13 AND Exp17
GADrawing1,FPD350.27,,,H711 ,Exp1 AND Exp11 AND Exp13 AND Exp17 AND Exp20
GADrawing1,FPD350.28,,,H712 FS EC NRTB,Exp1 AND Exp11 AND Exp14 AND Exp18 AND Exp20
GADrawing1,FPD350.29,,,H712 FS FE NRTB,Exp1 AND Exp11 AND Exp14 AND Exp19 AND Exp20
GADrawing1,FPD350.30,,,H712 FS FE ,Exp1 AND Exp11 AND Exp14 AND Exp19
GADrawing1,FPD350.31,,,H712,Exp1 AND Exp11 AND Exp14 AND Exp18
GADrawing1,FPD350.32,,,H811 FS NRTB,Exp1 AND Exp12 AND Exp13 AND Exp17 AND Exp20
GADrawing1,FPD350.33,,,H811 FS ,Exp1 AND Exp12 AND Exp13 AND Exp17
GADrawing1,FPD350.34,,,H812 FS EC NRTB,Exp1 AND Exp12 AND Exp14 AND Exp18 AND Exp20
GADrawing1,FPD350.35,,,H812 FS FE NRTB,Exp1 AND Exp12 AND Exp14 AND Exp19 AND Exp20
GADrawing1,FPD350.36,,,H812 FS FE,Exp1 AND Exp12 AND Exp14 AND Exp19
GADrawing1,FPD350.37,,,H812,Exp1 AND Exp12 AND Exp14 AND Exp18
GADrawing1,FPD350.38,,,L701 NRTB,Exp1 AND Exp10 AND Exp13 AND Exp15 AND Exp20
GADrawing1,FPD350.39,,,L701,Exp1 AND Exp10 AND Exp13 AND Exp15
GADrawing2,FPD350.40,,,GEAR RETRACT,Exp1 AND Exp11 AND Exp21 
GADrawing2,FPD350.40,,,GEAR RETRACT,Exp1 AND Exp12 AND Exp21
GADrawing3,FPD350.41,,,External Flange End Support,Exp1 AND Exp6 AND Exp14 AND Exp19
