ItemName,ShortName,EnglishUS,French,German,Spanish,Russian
Fluid,<p>Select <b>Fluid</b> to be used from the list. &lt;Other&gt; allows you to enter your own density etc.</p>,,,,,
Quantity,<p><b>Quantity</b> of this part required.</p>,,,,,
Pressure,<p>Operating <b>pressure</b> is required to compute results.</p><p><b>Note</b>: the operating pressure should be used here but the design pressure (if available) should be checked against the maximum allowable pressure for the chosen %APPLICATIONNAME% model.</p>,,,,,
DesignPressure,<p><b>Design Pressure</b>: for information only - no calculations are performed using this value.</p>,,,,,
Temperature,<p>Operating <b>temperature</b> is required to compute results.</p><p><b>Note</b>: the operating temperature should be used here but the design temperature (if available) should be checked against the maximum allowable temperature for the chosen %APPLICATIONNAME% model.</p>,,,,,
DesignTemperature,<p><b>Design Temperature</b>: for information only - no calculations are performed using this value.</p>,,,,,
Density,"<p>For <b>fluids</b> that this application is programmed for, the <b><i>density</i></b> will be automatically computed from temperature and pressure.</p><p>For user defined fluids the <b><i>operating density</i>, <i>SG</i> or <i>MW </i></b> must be entered.</p>",,,,,
Viscosity,<p>Operating <b>viscosity</b> of a fluid is effectively a measure of its resistance to flow.</p>,,,,,
ZFactor,"<p><b>Z Factor</b> (compressibility) is required for gases only.</p><p>Selecting user gas means the Z Factor must be entered.</p><p>Z Factor is used to modify the ideal gas law to account for real gas behaviour.</p><p>The effect of Z Factor depends upon the units used for density and flow; please see the Tools menu, Z Factor Effects entry for a fuller explanation of this (ensure you have selected your required units first).</p><p>In the specific case of operating density and actual flow, Z Factor has no effect on the DP result calculated but is useful for converting to normal units.</p>",,,,,
IsentropicIndex,"<p><b>Isentropic Index</b></br>Also known as the heat capacity ratio, it is the ratio between the specific heat capacity at constant pressure (Cp) and the specific heat capacity at constant volume (Cv) i.e. Cp/Cv</p>",,,,,
Dimensions,"<p><b>Pipe dimensions</b> are required; enter the relevant dimensions, or click on the Pipe NB button to bring up the pipe schedule wizard.</p><p>Actual dimensions <b>must</b> be used to ensure accurate calculations and correct installation.</p>",,,,,
FlowRates,"<p><b>Meter Max Flowrate</b> is always required. However, it is strongly advised to also enter values for ""Max Flow"", ""Normal Flow"", and, ""Minimum Flow"" if available.</p><p>Meter Max is the value to which the transmitter will be ranged (i.e. 20 mA). If Meter Max is not available, calculate a value for Meter Max based on Normal/Operating flow divided by 0.70 i.e Normal flow should be approx 70% of Meter Max.</p>",,,,,
ProductCode,<p>Select the required product from the list.</p><p>The pipe sizes available in the pipe table will then reflect the size limitations of your selection.</p>,,,,,
CH/FPD/PACK/GLND/MAT,<p>Select the required material for the packing gland from the list.</p>,,,,,
CH/FPD/TEMP,"<p>If required, select the temperature element variant from the list.</p>",,,,,
ResultsUnits,"<p>These units are used for the results display, calculation pages etc and may be amended as required.</p>",,,,,
CH/FPD/PRODUCT/DES,<p><b>Product Design</b><br/>Select the product variant required.</p>,,,,,
CH/FPD/TORBAR/TYPE,<p>Select desired process connections.</p>,,,,,
CH/FPD/END/SUPT,<p>Select whether the unit is unsupported or has an end support.</p>,,,,,
CH/FPD/LINE/SIZE,<p>Line Nominal Bore</p>,,,,,
CH/FPD/PIPE/SCH,<p>Pipe Schedule</p>,,,,,
CH/FPD/NONELEM/MAT,"<p><b>Pipe Material</b><br/>Please select correct actual pipe material required. If your material is not included in the pull-down list, please select ""Others"" and advise material detail in notes.</p>",,,,,
CH/FPD/ELEM/MAT,"<p><b>Torbar Material</b><br/>Please select correct material required for the Torbar probe. If your material is not included in the pull-down list, please select ""Others"" and advise the material detail in the notes section.</p>",,,,,
CH/FPD/MOUNTING,<p><b>Mounting Type</b><br/>This is the means by which the Torbar is connected to the process pipe.</p>,,,,,
CH/FPD/END/CONN/TYPE,<p><b>Process Connection</b><br/>This option provides more detail about the flange or thread used in mounting the Torbar to the pipe.</p>,,,,,
CH/FPD/END/CONN/RAT,<p>Select the Flange Rating (or Not Flanged if a threaded unit has been selected).</p>,,,,,
CH/FPD/TAPPING/TYPE,"<p><b>Tapping Type</b><br/>This details the type of connections available on the head of the Torbar for the customer to connect to. Options D1, D2, D3, D4 and D5 are concerned with mounting a transmitter directly to the probe.</p>",,,,,
CH/FPD/TAPPING/SIZE,<p>Select the size of tapping/valve required.</p>,,,,,
