ProductCode,SelectionGroup,PartNumber,Name,MinID_mm,MaxID_mm
FPD350_3,CH/FPD/LINE/SIZE,050,Nominally 50 mm inside diameter (Actual ID must be in range 44…61 mm),44,61
FPD350_3,CH/FPD/LINE/SIZE,080,Nominally 80 mm inside diameter (Actual ID must be in range 62…87 mm),62,87
FPD350_3,CH/FPD/LINE/SIZE,100,Nominally 100 mm inside diameter (Actual ID must be in range 88…111 mm),88,111
FPD350_3,CH/FPD/LINE/SIZE,125,Nominally 125 mm inside diameter (Actual ID must be in range 112…137 mm),112,137
FPD350_3,CH/FPD/LINE/SIZE,150,Nominally 150 mm inside diameter (Actual ID must be in range 138…174 mm),138,174
FPD350_4,CH/FPD/LINE/SIZE,100,DN 100 (4 in.),88,111
FPD350_4,CH/FPD/LINE/SIZE,125,DN 125 (5 in.),112,137
FPD350_4,CH/FPD/LINE/SIZE,150,DN 150 (6 in.),138,174
FPD350_4,CH/FPD/LINE/SIZE,200,DN 200 (8 in.),175,224
FPD350_4,CH/FPD/LINE/SIZE,250,DN 250 (10 in.),225,274
FPD350_4,CH/FPD/LINE/SIZE,300,DN 300 (12 in.),275,324
FPD350_4,CH/FPD/LINE/SIZE,350,DN 350 (14 in.),325,374
FPD350_4,CH/FPD/LINE/SIZE,400,DN 400 (16 in.),375,424
FPD350_4,CH/FPD/LINE/SIZE,450,DN 450 (18 in.),425,474
FPD350_4,CH/FPD/LINE/SIZE,500,DN 500 (20 in.),475,549
FPD350_4,CH/FPD/LINE/SIZE,600,DN 600 (24 in.),550,674
FPD350_4,CH/FPD/LINE/SIZE,750,DN 750 (30 in.),675,824
FPD350_4,CH/FPD/LINE/SIZE,900,DN 900 (36 in.),825,1015.9
FPD350_4,CH/FPD/LINE/SIZE,001,DN 1000 (40 in.),1016,1066.8
FPD350_4,CH/FPD/LINE/SIZE,101,DN 1100 (44 in.),1066.9,1168.4
FPD350_4,CH/FPD/LINE/SIZE,201,DN 1200 (48 in.),1168.5,1270
FPD350_4,CH/FPD/LINE/SIZE,301,DN 1300 (52 in.),1270.1,1371.6
FPD350_4,CH/FPD/LINE/SIZE,401,DN 1400 (56 in.),1371.7,1473.2
FPD350_4,CH/FPD/LINE/SIZE,501,DN 1500 (60 in.),1473.3,1574.8
FPD350_4,CH/FPD/LINE/SIZE,601,DN 1600 (64 in.),1574.9,1676.4
FPD350_4,CH/FPD/LINE/SIZE,701,DN 1700 (68 in.),1676.5,1778
FPD350_4,CH/FPD/LINE/SIZE,801,DN 1800 (72 in.),1778.1,1879.6
FPD350_4,CH/FPD/LINE/SIZE,901,DN 1900 (76 in.),1879.7,1981.2
FPD350_4,CH/FPD/LINE/SIZE,002,DN 2000 (80 in.),1981.3,2082.8
FPD350_4,CH/FPD/LINE/SIZE,102,DN 2100 (84 in.),2082.9,2184.4
FPD350_4,CH/FPD/LINE/SIZE,202,DN 2200 (88 in.),2184.5,2286
FPD350_4,CH/FPD/LINE/SIZE,302,DN 2300 (92 in.),2286.1,2387.6
FPD350_4,CH/FPD/LINE/SIZE,402,DN 2400 (96 in.),2387.7,2489.2
FPD350_4,CH/FPD/LINE/SIZE,502,DN 2500,2489.3,2540
FPD350_4,CH/FPD/LINE/SIZE,602,DN 2600,2540.1,2641.6
FPD350_4,CH/FPD/LINE/SIZE,702,DN 2700,2641.7,2743.2
FPD350_4,CH/FPD/LINE/SIZE,802,DN 2800,2743.3,2844.8
FPD350_4,CH/FPD/LINE/SIZE,902,DN 2900,2844.9,2946.4
FPD350_4,CH/FPD/LINE/SIZE,003,DN 3000,2946.5,3048
FPD350_4,CH/FPD/LINE/SIZE,103,DN 3100,3048.1,3149.6
FPD350_4,CH/FPD/LINE/SIZE,203,DN 3200,3149.7,3251.2
FPD350_4,CH/FPD/LINE/SIZE,303,DN 3300,3251.3,3352.8
FPD350_4,CH/FPD/LINE/SIZE,403,DN 3400,3352.9,3454.4
FPD350_4,CH/FPD/LINE/SIZE,503,DN 3500,3454.5,3556
FPD350_5,CH/FPD/LINE/SIZE,250,DN 250 (10 in.),225,274
