CharacteristicCode_Logic,Active,Description,IsoValveMass_kg,IsoValveLength_mm
(CH/FPD/END/CONN/TYPE=R3) AND (CH/FPD/END/CONN/RAT=A1) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 150lb RF",,127
(CH/FPD/END/CONN/TYPE=R3) AND (CH/FPD/END/CONN/RAT=A3) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 300lb RF",,165
(CH/FPD/END/CONN/TYPE=R3) AND (CH/FPD/END/CONN/RAT=A6) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 600lb RF",,216
(CH/FPD/END/CONN/TYPE=R3) AND (CH/FPD/END/CONN/RAT=A7) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 900lb RF",,254
(CH/FPD/END/CONN/TYPE=R3) AND (CH/FPD/END/CONN/RAT=A8) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 1500lb RF",,254
(CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/END/CONN/RAT=A1) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 150lb FF",,127
(CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/END/CONN/RAT=A3) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 300lb FF",,165
(CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/END/CONN/RAT=A6) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 600lb FF",,216
(CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/END/CONN/RAT=A7) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 900lb FF",,254
(CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/END/CONN/RAT=A8) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 1500lb FF",,254
(CH/FPD/END/CONN/TYPE=J1) AND (CH/FPD/END/CONN/RAT=A1) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 150lb RTJ",,127
(CH/FPD/END/CONN/TYPE=J1) AND (CH/FPD/END/CONN/RAT=A3) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 300lb RTJ",,165
(CH/FPD/END/CONN/TYPE=J1) AND (CH/FPD/END/CONN/RAT=A6) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 600lb RTJ",,216
