"MaxDPGroup","InternalDia_mm","MaxDP_Bar"
1,0,1666.6667
1,100,1666.6667
2,50,4185
2,75,1860
2,100,1046
2,150,465
2,200,261.6
2,250,167.4
2,300,116.3
3,100,3429
3,150,1524
3,200,857.3
3,250,548.6
3,300,381
3,350,279.9
3,400,214.3
3,450,169.3
3,600,95.25
3,900,34.04
3,1200,20
3,1500,13.33
3,1800,6.67
4,100,2195
4,150,2195
4,200,2195
4,250,2195
4,300,1524
4,350,1120
4,400,857.3
4,450,677.3
4,600,381
4,900,169.3
4,1200,95.25
4,1500,60.96
4,1800,40.85
4,2000,30
4,3000,15
4,5000,10
5,200,2284
5,250,2284
5,300,1586
5,350,1165
5,400,892.1
5,450,704.8
5,600,396.5
5,900,176.2
5,1200,99.12
5,1500,60
5,1800,43.33
5,2000,35
6,250,2819
6,300,2819
6,350,2819
6,400,2819
6,450,2819
6,600,1586
6,900,704.8
6,1200,396.5
6,1500,253.7
6,1800,176.2
6,2000,140
6,3000,90
6,5000,10
