ProductCode,SelectionGroup,GrpOrder,PartNumber,Order,Active,DefaultItem,ExclusionRule,Cost,Name,Description,AdditionalData,InShortenedList,EnglishUS,EnglishUS_LongDesc,French,French_LongDesc,German,German_LongDesc,Spanish,Spanish_LongDesc,Russian,Russian_LongDesc
FPD350_1,CH/FPD/PRODUCT/DES,1,T1,1,TRUE,FALSE,,0,Inline Torbar,Inline Torbar,,TRUE,,,,,,,,,,
FPD350_1,CH/FPD/TORBAR/TYPE,2,F1,1,TRUE,FALSE,,0,Flanged ends,Flanged ends,,TRUE,,,,,,,,,,
FPD350_1,CH/FPD/TORBAR/TYPE,2,T1,2,TRUE,FALSE,,0,Threaded ends,Threaded ends,,TRUE,,,,,,,,,,
FPD350_1,CH/FPD/TORBAR/TYPE,2,W1,3,TRUE,FALSE,,0,Welded ends,Welded ends,,TRUE,,,,,,,,,,
FPD350_1,CH/FPD/LINE/SIZE,3,015,1,TRUE,FALSE,,0,DN 15 (½ in.),DN 15 (½ in.),"½""",TRUE,,,,,,,,,,
FPD350_1,CH/FPD/LINE/SIZE,3,020,2,TRUE,FALSE,,0,DN 20 (¾ in.),DN 20 (¾ in.),"¾""",TRUE,,,,,,,,,,
FPD350_1,CH/FPD/LINE/SIZE,3,025,3,TRUE,FALSE,,0,DN 25 (1 in.),DN 25 (1 in.),"1""",TRUE,,,,,,,,,,
FPD350_1,CH/FPD/LINE/SIZE,3,032,4,TRUE,FALSE,,0,DN 32 (1-¼ in.),DN 32 (1-¼ in.),"1¼""",TRUE,,,,,,,,,,
FPD350_1,CH/FPD/LINE/SIZE,3,040,5,TRUE,FALSE,,0,DN 40 (1-½ in.),DN 40 (1-½ in.),"1½""",TRUE,,,,,,,,,,
FPD350_1,CH/FPD/LINE/SIZE,3,050,6,TRUE,FALSE,,0,DN 50 (2 in.),DN 50 (2 in.),"2""",TRUE,,,,,,,,,,
FPD350_1,CH/FPD/LINE/SIZE,3,999,7,TRUE,FALSE,,999999,Others,Others,Customer,,,,,,,,,,,
FPD350_1,CH/FPD/ELEM/MAT,4,S6,1,TRUE,FALSE,,0,316/316L Stainless Steel,316/316L Stainless Steel,,TRUE,,,,,,,,,,
FPD350_1,CH/FPD/ELEM/MAT,4,S4,2,TRUE,FALSE,,999999,304/304L Stainless Steel,304/304L Stainless Steel,,,,,,,,,,,,
FPD350_1,CH/FPD/ELEM/MAT,4,S2,3,TRUE,FALSE,,999999,321 Stainless Steel,321 Stainless Steel,,,,,,,,,,,,
FPD350_1,CH/FPD/ELEM/MAT,4,H4,4,TRUE,FALSE,,999999,304H Stainless Steel,304H Stainless Steel,,,,,,,,,,,,
FPD350_1,CH/FPD/ELEM/MAT,4,S3,5,TRUE,FALSE,,999999,310 Stainless Steel,310 Stainless Steel,,,,,,,,,,,,
