ProductCode,SelectionGroup,GrpOrder,InProductCode,MustSelect,SingleSelection,SpecialGroup,MustSelectRule,Name,Description
FPD350_1,CH/FPD/PRODUCT/DES,1,TRUE,TRUE,TRUE,6,,Product Design,Product Design
FPD350_1,CH/FPD/TORBAR/TYPE,2,TRUE,TRUE,TRUE,7,,Torbar Type,Torbar Type
FPD350_1,CH/FPD/LINE/SIZE,3,TRUE,TRUE,TRUE,4,,Line Nominal Bore,Line Nominal Bore
FPD350_1,CH/FPD/ELEM/MAT,4,TRUE,TRUE,TRUE,3,,Probe Material,Probe Material
FPD350_1,CH/FPD/NONELEM/MAT,5,TRUE,TRUE,TRUE,2,,Pipe Fitting Material,Pipe Fitting Material
FPD350_1,CH/FPD/MOUNTING,6,TRUE,TRUE,TRUE,31,,Mounting Type,Mounting Type
FPD350_1,CH/FPD/END/CONN/TYPE,7,TRUE,TRUE,TRUE,0,,Process Connection Type,Process Connection Type
FPD350_1,CH/FPD/END/CONN/RAT,8,TRUE,TRUE,TRUE,10,,Process Connection Rating,Process Connection Rating
FPD350_1,CH/FPD/TAPPING/TYPE,9,TRUE,TRUE,TRUE,0,,Tapping Type,Tapping Type
FPD350_1,CH/FPD/TAPPING/SIZE,10,TRUE,TRUE,TRUE,0,,Tapping Size,Tapping Size
FPD350_1,CH/FPD/VALVE/MAT,11,TRUE,TRUE,TRUE,0,,Tapping/Valve Material,Tapping/Valve Material
FPD350_1,CH/FPD/PIPE/ORIENT,12,TRUE,TRUE,TRUE,30,,Pipe Orientation and shape,Pipe Orientation and shape
FPD350_1,CH/FPD/ISO/VALVE,13,TRUE,TRUE,TRUE,0,,Process Isolation Valve,Process Isolation Valve
FPD350_1,CH/FPD/BOLT/TYPE/MAT,14,TRUE,FALSE,TRUE,0,,Bolt Type and Material,Bolt Type and Material
FPD350_1,CH/FPD/GASKET,15,TRUE,FALSE,TRUE,0,,Gasket Material,Gasket Material
FPD350_1,CH/FPD/SURFACE/TREAT,16,TRUE,FALSE,TRUE,0,,Surface Treatment,Surface Treatment
FPD350_1,CH/FPD/CERTIFICATION,17,TRUE,FALSE,FALSE,0,,Certification,Certification
FPD350_1,CH/FPD/TESTING,18,TRUE,FALSE,FALSE,0,,Testing,Testing
FPD350_1,CH/FPD/DOC/LANG,19,TRUE,FALSE,TRUE,0,,Documentation Language (default = English),Documentation Language (default = English)
FPD350_1,CH/FPD/ADD/REQ,20,TRUE,FALSE,TRUE,0,,Added Requirements,Added Requirements
FPD350_3,CH/FPD/PRODUCT/DES,1,TRUE,TRUE,TRUE,6,,Product Design,Product Design
FPD350_3,CH/FPD/END/SUPT,2,TRUE,TRUE,TRUE,7,,End Support,End Support
FPD350_3,CH/FPD/LINE/SIZE,3,TRUE,TRUE,TRUE,4,,Line Nominal Bore,Line Nominal Bore
FPD350_3,CH/FPD/ELEM/MAT,4,TRUE,TRUE,TRUE,3,,Probe Material,Probe Material
FPD350_3,CH/FPD/NONELEM/MAT,5,TRUE,TRUE,TRUE,2,,Pipe Fitting Material,Pipe Fitting Material
FPD350_3,CH/FPD/MOUNTING,6,TRUE,TRUE,TRUE,31,,Mounting Type,Mounting Type
FPD350_3,CH/FPD/END/CONN/TYPE,7,TRUE,TRUE,TRUE,0,,Process Connection Type,Process Connection Type
FPD350_3,CH/FPD/END/CONN/RAT,8,TRUE,TRUE,TRUE,10,,Process Connection Rating,Process Connection Rating
FPD350_3,CH/FPD/TAPPING/TYPE,9,TRUE,TRUE,TRUE,0,,Tapping Type,Tapping Type
FPD350_3,CH/FPD/TAPPING/SIZE,10,TRUE,TRUE,TRUE,0,,Tapping Size,Tapping Size
FPD350_3,CH/FPD/VALVE/MAT,11,TRUE,TRUE,TRUE,0,,Tapping/Valve Material,Tapping/Valve Material
FPD350_3,CH/FPD/PIPE/ORIENT,12,TRUE,TRUE,TRUE,30,,Pipe Orientation and shape,Pipe Orientation and shape
FPD350_3,CH/FPD/ISO/VALVE,13,TRUE,TRUE,TRUE,0,,Process Isolation Valve,Process Isolation Valve
FPD350_3,CH/FPD/TAPPING/SETS,14,TRUE,FALSE,TRUE,0,,Number of Tapping Sets,Number of Tapping Sets
FPD350_3,CH/FPD/BOLT/TYPE/MAT,15,TRUE,FALSE,TRUE,0,,Bolt type and material,Bolt type and material
FPD350_3,CH/FPD/GASKET,16,TRUE,FALSE,TRUE,0,,Gasket Material,Gasket Material
FPD350_3,CH/FPD/FITT/ACC,17,TRUE,FALSE,TRUE,0,,Fitting Accessories,Fitting Accessories
FPD350_3,CH/FPD/SURFACE/TREAT,18,TRUE,FALSE,TRUE,0,,Surface Treatment,Surface Treatment
FPD350_3,CH/FPD/CERTIFICATION,19,TRUE,FALSE,FALSE,0,,Certification,Certification
FPD350_3,CH/FPD/TESTING,20,TRUE,FALSE,FALSE,0,,Testing,Testing
FPD350_3,CH/FPD/DOC/LANG,21,TRUE,FALSE,TRUE,0,,Documentation Language (default = English),Documentation Language (default = English)
FPD350_3,CH/FPD/ADD/REQ,22,TRUE,FALSE,TRUE,0,,Added Requirements,Added Requirements
