"ColumnName","Value","Units","UnitsType","Expression","Notes"
"GADrawing1","MachinedFlangedVenturi","","","Exp1 AND Exp6","Machined with Flanges"
"GADrawing1","MachinedPreppedVenturi","","","Exp1 AND Exp5","Machined with Prepped ends"
"GADrawing1","FPD300.V2.1","","","Exp2 AND Exp4 AND Exp5 AND Exp11 AND Exp14","Fabricated Weld Prepared - DN300-400 - Direct NPT Taps - 15Cone"
"GADrawing1","FPD300.V2.2","","","Exp2 AND Exp4 AND Exp5 AND Exp12 AND Exp14","Fabricated Weld Prepared - DN450-700 - Direct NPT Taps - 15Cone"
"GADrawing1","FPD300.V2.3","","","Exp2 AND Exp4 AND Exp5 AND Exp13 AND Exp14","Fabricated Weld Prepared - DN800-1050 - Direct NPT Taps - 15Cone"
"GADrawing1","FPD300.V2.7","","","Exp2 AND Exp4 AND Exp6 AND Exp11 AND Exp14 AND Exp16","Fabricated Flanged CL150-600 - DN300-400 - Direct NPT Taps - 15Cone"
"GADrawing1","FPD300.V2.8","","","Exp2 AND Exp4 AND Exp6 AND Exp12 AND Exp14 AND Exp16","Fabricated Flanged CL150-600 - DN450-700 - Direct NPT Taps - 15Cone"
"GADrawing1","FPD300.V2.9","","","Exp2 AND Exp4 AND Exp6 AND Exp13 AND Exp14 AND Exp16","Fabricated Flanged CL150-600 - DN800-1050 - Direct NPT Taps - 15Cone"
"AdditionalUpstreamLength","0","mm","length","","No additional length"
"ParallelDownstreamLength","10","mm","length","Exp1 AND Exp5","Machined + prepped"
"ParallelDownstreamLength","10","mm","length","Exp1 AND Exp6","Machined + flanged"
"ParallelDownstreamLength","100","mm","length","Exp2 AND Exp5","Fabricated + prepped"
"ParallelDownstreamLength","0","mm","length","Exp2 AND Exp6","Fabricated + flanged"
"UpstreamTappingDiameter","=IIF(isnull([PipeID]{length,PipeIDUnits},0)*0.1>0.01,0.01,convert(isnull([PipeID]{length,PipeIDUnits},0)*0.1*1000.0,'System.Int32')/1000.0)","m","length","Exp7",
