"Expression","RuleType","SelectionOnly","ShortName","Notes"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='V1') AND ([Beta] IS NOT NULL) AND ([Beta] < 0.4)",4,False,"Beta value must be >= 0.4 - Consider using a lower DP to achieve a larger Beta or consider using a larger line size.","Beta low stop (Machined)"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='V1') AND ([Beta] IS NOT NULL) AND ([Beta] > 0.75)",4,False,"Beta must be <= 0.75 - Consider reducing Beta by accepting a higher DP or consider using a smaller line size. Please check the acceptability of the overall pressure loss.","Beta high stop (Machined)"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='V1') AND  ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] < 200000)",2,False,"Reynolds number must be >= 200,000","Reynolds @ meter max (Machined)"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='V1') AND  ([ReynoldsNoAtNormal] IS NOT NULL) AND  ([ReynoldsNoAtNormal] < 200000)",2,False,"Reynolds number (@ normal flow) must be >= 200,000","Reynolds @ normal ((Machined)"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='V1') AND  ([ReynoldsNoAtMeterMax] IS NOT NULL) AND  ([ReynoldsNoAtMeterMax] > 1000000)",2,False,"Reynolds number must be <= 1,000,000","Reynolds @ meter max (Machined)"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='V1') AND  ([ReynoldsNoAtNormal] IS NOT NULL) AND ([ReynoldsNoAtNormal] > 1000000)",2,False,"Reynolds number (@ normal flow) must be <= 1,000,000","Reynolds @ normal ((Machined)"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='V1') AND ([PipeID]{Length,PipeIDUnits}>250)",3,False,"Pipe ID too big (max 250mm)","Pipe too Big"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='V1') AND ([PipeID]{Length,PipeIDUnits}<0.05)",3,False,"Pipe ID too small (min 50mm)","Pipe too Small"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='V1') AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND (([ReynoldsNoAtMeterMax] < 200000) OR ([ReynoldsNoAtMeterMax] > 1000000))",1,False,"The Reynolds number ReD is outside the scope of ISO-5167-4, the Coefficient of discharge ""Red"" value will be calculated using ISO-5167-4 Annex B.","Limit Info V1"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='V2') AND ([Beta] IS NOT NULL) AND ([Beta] < 0.4)",4,False,"Beta value must be >= 0.4 - Consider using a lower DP to achieve a larger Beta or consider using a larger line size.","Beta low stop (Fabricated)"
