"ProductDesign","Direction","MinReynolds","MaxReynolds","CoeffDisch","UncertaintyPerc"
"Machined","Single",50000,100000,0.97,0.03
"Machined","Single",100000,200000,0.977,0.025
"Machined","Single",200000,300000,0.992,0.025
"Machined","Single",300000,500000,0.998,0.015
"Machined","Single",500000,1000000,0.995,0.01
"Machined","Single",1000000,2000000,1,0.02
"Machined","Single",2000000,100000000,1.01,0.03
"Fabricated","Single",40000,60000,0.96,0.03
"Fabricated","Single",60000,100000,0.97,0.025
"Fabricated","Single",100000,200000,0.98,0.025
"Fabricated","Single",200000,2000000,0.985,0.01
"Fabricated","Single",2000000,100000000,0.985,0.02
"Machined","Bidirectional",50000,100000,0,0.03
"Machined","Bidirectional",100000,200000,0,0.025
"Machined","Bidirectional",200000,300000,0,0.025
"Machined","Bidirectional",300000,500000,0,0.015
"Machined","Bidirectional",500000,1000000,0,0.01
"Machined","Bidirectional",1000000,2000000,0,0.02
"Machined","Bidirectional",2000000,100000000,0,0.03
"Fabricated","Bidirectional",40000,60000,0,0.03
"Fabricated","Bidirectional",60000,100000,0,0.025
"Fabricated","Bidirectional",100000,200000,0,0.025
"Fabricated","Bidirectional",200000,2000000,0,0.01
"Fabricated","Bidirectional",2000000,100000000,0,0.02
