"LineSize","Rating","Length_mm","NoBolts"
"050","A1",64,4
"050","A3",70,8
"050","A4",80,8
"050","A6",80,8
"050","A7",109,8
"050","A8",109,8
"050","A9",134,8
"050","D0",,
"050","D1",,
"050","D2",,
"050","D3",,
"050","D4",,
"050","D5",,
"050","D6",,
"080","A1",70,4
"080","A3",80,8
"080","A4",90,8
"080","A6",90,8
"080","A7",109,8
"080","A8",124,8
"080","A9",175,8
"080","D0",,
"080","D1",,
"080","D2",,
"080","D3",,
"080","D4",,
"080","D5",,
"080","D6",,
"100","A1",77,8
"100","A3",86,8
"100","A4",96,8
"100","A6",109,8
"100","A7",121,8
"100","A8",131,8
"100","A9",197,8
"100","D0",,
"100","D1",,
"100","D2",,
"100","D3",,
"100","D4",,
"100","D5",,
"100","D6",,
"125","A1",89,8
"125","A3",99,8
"125","A4",109,8
"125","A6",121,8
"125","A7",134,8
"125","A8",163,8
"125","A9",236,8
"125","D0",,
"125","D1",,
"125","D2",,
"125","D3",,
"125","D4",,
"125","D5",,
"125","D6",,
"150","A1",89,8
"150","A3",99,12
"150","A4",110,12
"150","A6",124,12
"150","A7",147,12
"150","A8",178,12
"150","A9",280,8
"150","D0",,
"150","D1",,
"150","D2",,
"150","D3",,
"150","D4",,
"150","D5",,
"150","D6",,
"200","A1",102,8
"200","A3",112,12
"200","A4",124,12
"200","A6",140,12
"200","A7",169,12
"200","A8",220,12
"200","A9",325,12
"200","D0",,
"200","D1",,
"200","D2",,
"200","D3",,
"200","D4",,
"200","D5",,
"200","D6",,
"250","A1",102,12
"250","A3",118,16
"250","A4",131,16
"250","A6",159,16
"250","A7",191,16
"250","A8",261,12
"250","A9",426,12
"250","D0",,
"250","D1",,
"250","D2",,
"250","D3",,
"250","D4",,
"250","D5",,
"250","D6",,
"300","A1",115,12
"300","A3",131,16
"300","A4",144,16
"300","A6",163,20
"300","A7",207,20
"300","A8",290,16
"300","A9",471,12
"300","D0",,
"300","D1",,
"300","D2",,
"300","D3",,
"300","D4",,
"300","D5",,
"300","D6",,
"350","A1",127,12
"350","A3",143,20
"350","A4",156,20
"350","A6",172,20
"350","A7",220,20
"350","A8",305,16
"350","A9",,
"350","D0",,
"350","D1",,
"350","D2",,
"350","D3",,
"350","D4",,
"350","D5",,
"350","D6",,
"400","A1",127,16
"400","A3",146,20
"400","A4",159,20
"400","A6",185,20
"400","A7",223,20
"400","A8",318,16
"400","A9",,
"400","D0",,
"400","D1",,
"400","D2",,
"400","D3",,
"400","D4",,
"400","D5",,
"400","D6",,
"450","A1",140,16
"450","A3",159,24
"450","A4",172,24
"450","A6",191,20
"450","A7",236,20
"450","A8",334,16
"450","A9",,
"450","D0",,
"450","D1",,
"450","D2",,
"450","D3",,
"450","D4",,
"450","D5",,
"450","D6",,
"500","A1",145,20
"500","A3",162,24
"500","A4",175,24
"500","A6",197,24
"500","A7",255,20
"500","A8",363,16
"500","A9",,
"500","D0",,
"500","D1",,
"500","D2",,
"500","D3",,
"500","D4",,
"500","D5",,
"500","D6",,
"550","A1",,
"550","A3",,
"550","A4",,
"550","A6",,
"550","A7",,
"550","A8",,
"550","A9",,
"550","D0",,
"550","D1",,
"550","D2",,
"550","D3",,
"550","D4",,
"550","D5",,
"550","D6",,
"600","A1",153,20
"600","A3",169,24
"600","A4",182,24
"600","A6",210,24
"600","A7",299,20
"600","A8",413,16
"600","A9",,
"600","D0",,
"600","D1",,
"600","D2",,
"600","D3",,
"600","D4",,
"600","D5",,
"600","D6",,
"650","A1",120.7,24
"650","A3",184.2,28
"650","A4",199.9,28
"650","A6",228.6,28
"650","A7",292.1,20
"650","A8",,
"650","A9",,
"650","D0",,
"650","D1",,
"650","D2",,
"650","D3",,
"650","D4",,
"650","D5",,
"650","D6",,
"700","A1",125.5,28
"700","A3",196.9,28
"700","A4",212.6,28
"700","A6",241.3,28
"700","A7",304.8,20
"700","A8",,
"700","A9",,
"700","D0",,
"700","D1",,
"700","D2",,
"700","D3",,
"700","D4",,
"700","D5",,
"700","D6",,
"750","A1",136.7,28
"750","A3",209.6,28
"750","A4",225.3,28
"750","A6",254,28
"750","A7",317.5,20
"750","A8",,
"750","A9",,
"750","D0",,
"750","D1",,
"750","D2",,
"750","D3",,
"750","D4",,
"750","D5",,
"750","D6",,
"800","A1",144.5,28
"800","A3",222.3,28
"800","A4",238,28
"800","A6",266.7,28
"800","A7",336.6,20
"800","A8",,
"800","A9",,
"800","D0",,
"800","D1",,
"800","D2",,
"800","D3",,
"800","D4",,
"800","D5",,
"800","D6",,
"850","A1",149.4,32
"850","A3",231.6,28
"850","A4",247.7,28
"850","A6",276.1,28
"850","A7",355.6,20
"850","A8",,
"850","A9",,
"850","D0",,
"850","D1",,
"850","D2",,
"850","D3",,
"850","D4",,
"850","D5",,
"850","D6",,
"900","A1",157.2,32
"900","A3",241.3,32
"900","A4",257.4,32
"900","A6",288.8,28
"900","A7",368.3,20
"900","A8",,
"900","A9",,
"900","D0",,
"900","D1",,
"900","D2",,
"900","D3",,
"900","D4",,
"900","D5",,
"900","D6",,
