"ProductCode","SelectionGroup","PartNumber","Order","Active","DefaultItem","Cost","ExclusionRule","Name","Description","AdditionalData","InShortenedList"
"FPD300","CH/FPD/PRODUCT/DES","V1",1,True,False,0,"","Machined Venturi","Machined Venturi","Machined",False
"FPD300","CH/FPD/PRODUCT/DES","V2",2,True,False,0,"","Fabricated Venturi","Fabricated Venturi","Fabricated",False
"FPD300","CH/FPD/CUST/STD","A1",1,True,False,0,"","Standard (15° Outlet Cone)","Standard (15° Outlet Cone)","15",False
"FPD300","CH/FPD/CUST/STD","L1",2,True,False,0,"","Long Pattern (7° Outlet Cone)","Long Pattern (7° Outlet Cone)","7",False
"FPD300","CH/FPD/CUST/STD","A2",3,True,False,0,"","Bi-directional (10.5° Inlet/Outlet Cones)","Bi-directional (10.5° Inlet/Outlet Cones)","10.5/bidirectional",False
"FPD300","CH/FPD/CUST/STD","Z9",4,True,False,0,"","Others","Others",,False
"FPD300","CH/FPD/ORIFICE/DESIGN","Y0",1,True,False,0,"","Standard - Direct","Standard - Direct",,False
"FPD300","CH/FPD/ORIFICE/DESIGN","AR",2,True,False,0,"","Annular Ring","Annular Ring",,False
"FPD300","CH/FPD/LINE/SIZE","050",2,True,False,0,"CH/FPD/PRODUCT/DES=V2","DN 50 (2 in.)","DN 50 (2 in.)","2""",False
"FPD300","CH/FPD/LINE/SIZE","080",3,True,False,0,"CH/FPD/PRODUCT/DES=V2","DN 80 (3 in.)","DN 80 (3 in.)","3""",False
"FPD300","CH/FPD/LINE/SIZE","100",4,True,False,0,"CH/FPD/PRODUCT/DES=V2","DN 100 (4 in.)","DN 100 (4 in.)","4""",False
"FPD300","CH/FPD/LINE/SIZE","125",5,True,False,0,"CH/FPD/PRODUCT/DES=V2","DN 125 (5 in.)","DN 125 (5 in.)","5""",False
"FPD300","CH/FPD/LINE/SIZE","150",6,True,False,0,"CH/FPD/PRODUCT/DES=V2","DN 150 (6 in.)","DN 150 (6 in.)","6""",False
"FPD300","CH/FPD/LINE/SIZE","200",7,True,False,0,"CH/FPD/PRODUCT/DES=V2","DN 200 (8 in.)","DN 200 (8 in.)","8""",False
"FPD300","CH/FPD/LINE/SIZE","250",8,True,False,0,"CH/FPD/PRODUCT/DES=V2","DN 250 (10 in.)","DN 250 (10 in.)","10""",False
"FPD300","CH/FPD/LINE/SIZE","300",9,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 300 (12 in.)","DN 300 (12 in.)","12""",False
"FPD300","CH/FPD/LINE/SIZE","350",10,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 350 (14 in.)","DN 350 (14 in.)","14""",False
"FPD300","CH/FPD/LINE/SIZE","400",11,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 400 (16 in.)","DN 400 (16 in.)","16""",False
"FPD300","CH/FPD/LINE/SIZE","450",12,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 450 (18 in.)","DN 450 (18 in.)","18""",False
"FPD300","CH/FPD/LINE/SIZE","500",13,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 500 (20 in.)","DN 500 (20 in.)","20""",False
"FPD300","CH/FPD/LINE/SIZE","550",14,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 550 (22 in.)","DN 550 (22 in.)","22""",False
"FPD300","CH/FPD/LINE/SIZE","600",15,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 600 (24 in.)","DN 600 (24 in.)","24""",False
"FPD300","CH/FPD/LINE/SIZE","650",16,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 650 (26 in.)","DN 650 (26 in.)","26""",False
"FPD300","CH/FPD/LINE/SIZE","700",17,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 700 (28 in.)","DN 700 (28 in.)","28""",False
"FPD300","CH/FPD/LINE/SIZE","750",18,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 750 (30 in.)","DN 750 (30 in.)","30""",False
"FPD300","CH/FPD/LINE/SIZE","800",19,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 800 (32 in.)","DN 800 (32 in.)","32""",False
"FPD300","CH/FPD/LINE/SIZE","850",20,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 850 (34 in.)","DN 850 (34 in.)","34""",False
"FPD300","CH/FPD/LINE/SIZE","900",21,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 900 (36 in.)","DN 900 (36 in.)","36""",False
"FPD300","CH/FPD/LINE/SIZE","950",22,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 950 (38 in.)","DN 950 (38 in.)","38""",False
"FPD300","CH/FPD/LINE/SIZE","001",23,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 1000 (40 in.)","DN 1000 (40 in.)","40""",False
"FPD300","CH/FPD/LINE/SIZE","051",24,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 1050 (42 in.)","DN 1050 (42 in.)","42""",False
"FPD300","CH/FPD/LINE/SIZE","101",25,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 1100 (44 in.)","DN 1100 (44 in.)","44""",False
"FPD300","CH/FPD/LINE/SIZE","151",26,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 1150 (46 in.)","DN 1150 (46 in.)","46""",False
"FPD300","CH/FPD/LINE/SIZE","201",27,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 1200 (48 in.)","DN 1200 (48 in.)","48""",False
"FPD300","CH/FPD/LINE/SIZE","301",28,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 1300 (52 in.)","DN 1300 (52 in.)","52""",False
"FPD300","CH/FPD/LINE/SIZE","351",29,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 1350 (54 in.)","DN 1350 (54 in.)","54""",False
"FPD300","CH/FPD/LINE/SIZE","401",30,True,False,0,"CH/FPD/PRODUCT/DES=V1","DN 1400 (56 in.)","DN 1400 (56 in.)","56""",False
