"ProductCode","SelectionGroup","GrpOrder","InProductCode","MustSelect","SingleSelection","SpecialGroup","MustSelectRule","Name","Description","EnglishUS","EnglishUS_LongDesc","French","French_LongDesc","German","German_LongDesc","Spanish","Spanish_LongDesc","Russian","Russian_LongDesc"
FPD300,CH/FPD/PRODUCT/DES,1,True,True,True,6,,"Product Design","Product Design","","","","","","","","","",""
FPD300,CH/FPD/CUST/STD,2,True,True,True,50,,"Divergent Angle","Divergent Angle","","","","","","","","","",""
FPD300,CH/FPD/ORIFICE/DESIGN,3,True,True,True,0,,"Tapping Method","Tapping Method","","","","","","","","","",""
FPD300,CH/FPD/LINE/SIZE,4,True,True,True,4,,"Meter Nominal Bore","Meter Nominal Bore","","","","","","","","","",""
FPD300,CH/FPD/PIPE/SCH,5,True,True,True,5,,"Pipe Schedule","Pipe Schedule","","","","","","","","","",""
FPD300,CH/FPD/NONELEM/MAT,6,True,True,True,2,,"Pipework Material","Pipework Material","","","","","","","","","",""
FPD300,CH/FPD/ELEM/MAT,7,True,True,True,3,,"Meter Material","Meter Material","","","","","","","","","",""
FPD300,CH/FPD/END/CONN/TYPE,8,True,True,True,51,,"Process Connection Type","Process Connection Type","","","","","","","","","",""
FPD300,CH/FPD/END/CONN/RAT,9,True,True,True,10,,"Process Connection Rating","Process Connection Rating","","","","","","","","","",""
FPD300,CH/FPD/SURFACE/TREAT,10,True,False,False,0,,"Surface Treatment","Surface Treatment","","","","","","","","","",""
FPD300,CH/FPD/TAPPING/TYPE,11,True,True,True,0,,"Tapping Type","Tapping Type","","","","","","","","","",""
FPD300,CH/FPD/TAPPING/RAT,12,True,True,True,0,,"Tapping Rating","Tapping Rating","","","","","","","","","",""
FPD300,CH/FPD/TAPPING/SIZE,13,True,True,True,0,,"Tapping Size","Tapping Size","","","","","","","","","",""
FPD300,CH/FPD/TAPPING/SETS,14,True,True,True,0,,"Tapping Sets","Tapping Sets","","","","","","","","","",""
FPD300,CH/FPD/TAPPING/ORIENT,15,True,False,True,0,,"Tapping Orientation","Tapping Orientation","","","","","","","","","",""
FPD300,CH/FPD/CERTIFICATION,16,True,False,False,0,,"Certification","Certification","","","","","","","","","",""
FPD300,CH/FPD/TESTING,17,True,False,False,0,,"Testing","Testing","","","","","","","","","",""
FPD300,CH/FPD/CAL,18,True,False,False,0,,"Calibration","Calibration","","","","","","","","","",""
FPD300,CH/FPD/DOC/LANG,19,True,False,False,0,,"Documentation Language","Documentation Language","","","","","","","","","",""
FPD300,CH/FPD/ADD/REQ,20,True,False,False,0,,"Added Requirements","Added Requirements","","","","","","","","","",""
