ProductCode,SelectionGroup,GrpOrder,PartNumber,Order,Active,DefaultItem,ExclusionRule,Cost,Name,Description,AdditionalData,EnglishUS,EnglishUS_LongDesc,French,French_LongDesc,German,German_LongDesc,Spanish,Spanish_LongDesc,Russian,Russian_LongDesc
FPD470_1,CH/FPD/PRODUCT/DES,1,P,1,TRUE,FALSE,,0,Pipe Tap,Pipe Tap,,,,,,,,,,,
FPD470_1,CH/FPD/ORIFICE/DESIGN,2,W1,1,TRUE,FALSE,,0,Single Wedge,Single Wedge,,,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,040,1,TRUE,FALSE,,0,DN 40 (1½ in.),DN 40 (1½ in.),"1½""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,050,2,TRUE,FALSE,,0,DN 50 (2 in.),DN 50 (2 in.),"2""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,065,3,TRUE,FALSE,,999999,DN 65 (2½ in.),DN 65 (2½ in.),"2½""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,080,4,TRUE,FALSE,,0,DN 80 (3 in.),DN 80 (3 in.),"3""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,090,5,TRUE,FALSE,,0,DN 90 (3½ in.),DN 90 (3½ in.),"3½""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,100,6,TRUE,FALSE,,0,DN 100 (4 in.),DN 100 (4 in.),"4""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,125,7,TRUE,FALSE,,999999,DN 125 (5 in.),DN 125 (5 in.),"5""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,150,8,TRUE,FALSE,,0,DN 150 (6 in.),DN 150 (6 in.),"6""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,200,9,TRUE,FALSE,,0,DN 200 (8 in.),DN 200 (8 in.),"8""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,250,10,TRUE,FALSE,,0,DN 250 (10 in.),DN 250 (10 in.),"10""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,300,11,TRUE,FALSE,,0,DN 300 (12 in.),DN 300 (12 in.),"12""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,350,12,TRUE,FALSE,,0,DN 350 (14 in.),DN 350 (14 in.),"14""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,400,13,TRUE,FALSE,,0,DN 400 (16 in.),DN 400 (16 in.),"16""",,,,,,,,,,
