Notes,Expression,SelectionOnly,RuleType,ShortName,EnglishUS,French,German,Spanish,Russian
Min temp IOMaster,"('[ProductCode]'='FPD510') AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}<253)",FALSE,3,Minimum temperature for IOMaster is -20°C,,,,,
Max temp IOMaster,"('[ProductCode]'='FPD510') AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>394)",FALSE,3,Maximum temperature for IOMaster is 121°C,,,,,
Min temp WedgeMaster,"('[ProductCode]'='FPD570') AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}<253) AND ([FluidCategory]<3)",FALSE,3,Minimum temperature for WedgeMaster for gas/liquid is -20°C,,,,,
Max temp WedgeMaster,"('[ProductCode]'='FPD570') AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>394) AND ([FluidCategory]<3)",FALSE,3,Maximum temperature for WedgeMaster for gas/liquid is 121°C,,,,,
Min temp WedgeMaster,"('[ProductCode]'='FPD570') AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}<253) AND ([FluidCategory]=3) AND ('[FluidName]'='Steam (Saturated)')",FALSE,3,Minimum temperature for WedgeMaster for steam is -20°C,,,,,
Max temp WedgeMaster,"('[ProductCode]'='FPD570') AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>503) AND ([FluidCategory]=3) AND ('[FluidName]'='Steam (Saturated)')",FALSE,3,Maximum temperature for WedgeMaster for steam is 230°C,,,,,
Min temp OriMaster,"('[ProductCode]'='FPD500') AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}<253) AND ([FluidCategory]<3)",FALSE,3,Minimum temperature for OriMaster for gas/liquid is -20°C,,,,,
Max temp OriMaster,"('[ProductCode]'='FPD500') AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>394) AND ([FluidCategory]<3)",FALSE,3,Maximum temperature for OriMaster for gas/liquid is 121°C,,,,,
Min temp OriMaster,"('[ProductCode]'='FPD500') AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}<253) AND ([FluidCategory]=3) AND ('[FluidName]'='Steam (Saturated)')",FALSE,3,Minimum temperature for OriMaster for steam is -20°C,,,,,
Max temp OriMaster,"('[ProductCode]'='FPD500') AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>503) AND ([FluidCategory]=3) AND ('[FluidName]'='Steam (Saturated)')",FALSE,3,Maximum temperature for OriMaster for steam is 230°C,,,,,
Min temp PitoMaster,"('[ProductCode]'='FPD550') AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}<253) AND ([FluidCategory]<3)",FALSE,3,Minimum temperature for PitoMaster for gas/liquid is -20°C,,,,,
Max temp PitoMaster,"('[ProductCode]'='FPD550') AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>394) AND ([FluidCategory]<3)",FALSE,3,Maximum temperature for PitoMaster for gas/liquid is 121°C,,,,,
Min temp PitoMaster,"('[ProductCode]'='FPD550') AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}<253) AND ([FluidCategory]=3) AND ('[FluidName]'='Steam (Saturated)')",FALSE,3,Minimum temperature for PitoMaster for steam is -20°C,,,,,
Max temp PitoMaster,"('[ProductCode]'='FPD550') AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>453) AND ([FluidCategory]=3) AND ('[FluidName]'='Steam (Saturated)')",FALSE,3,Maximum temperature for PitoMaster for steam is 180°C,,,,,
"Transmitter/DP Meter max limit","('[ProductCode]'<>'FPD500') AND ([DPAtMeterMax]{DP,DPUnits}>1000) AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS}='A')",FALSE,3,Transmitter not suitable for DP at meter max,,,,,
"Transmitter/DP Meter max limit","('[ProductCode]'<>'FPD500') AND ([DPAtMeterMax]{DP,DPUnits}>4000) AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS}='B')",FALSE,3,Transmitter not suitable for DP at meter max,,,,,
"Transmitter/DP Meter max limit","('[ProductCode]'<>'FPD500') AND ([DPAtMeterMax]{DP,DPUnits}>6000) AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS}='C')",FALSE,3,Transmitter not suitable for DP at meter max,,,,,
"Transmitter/DP Meter max limit","('[ProductCode]'<>'FPD500') AND ([DPAtMeterMax]{DP,DPUnits}>16000) AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS}='E')",FALSE,3,Transmitter not suitable for DP at meter max,,,,,
"Transmitter/DP Meter max limit","('[ProductCode]'<>'FPD500') AND ([DPAtMeterMax]{DP,DPUnits}>40000) AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS}='F')",FALSE,3,Transmitter not suitable for DP at meter max,,,,,
"Transmitter/DP Meter max limit","('[ProductCode]'<>'FPD500') AND ([DPAtMeterMax]{DP,DPUnits}>65000) AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS}='G')",FALSE,3,Transmitter not suitable for DP at meter max,,,,,
"Transmitter/DP Meter max limit","('[ProductCode]'<>'FPD500') AND ([DPAtMeterMax]{DP,DPUnits}>160000) AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS}='H')",FALSE,3,Transmitter not suitable for DP at meter max,,,,,
"Transmitter/DP Meter max limit","('[ProductCode]'<>'FPD500') AND ([DPAtMeterMax]{DP,DPUnits}>250000) AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS}='L')",FALSE,3,Transmitter not suitable for DP at meter max,,,,,
"Transmitter/DP Meter max limit","('[ProductCode]'='FPD500') AND ([DPAtMeterMax]{DP,DPUnits}>1000) AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS}='A')",FALSE,3,Transmitter not suitable for DP at meter max,,,,,
"Transmitter/DP Meter max limit","('[ProductCode]'='FPD500') AND ([DPAtMeterMax]{DP,DPUnits}>4000) AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS}='B')",FALSE,3,Transmitter not suitable for DP at meter max,,,,,
"Transmitter/DP Meter max limit","('[ProductCode]'='FPD500') AND ([DPAtMeterMax]{DP,DPUnits}>6000) AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS}='C')",FALSE,3,Transmitter not suitable for DP at meter max,,,,,
"Transmitter/DP Meter max limit","('[ProductCode]'='FPD500') AND ([DPAtMeterMax]{DP,DPUnits}>16000) AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS}='E')",FALSE,3,Transmitter not suitable for DP at meter max,,,,,
"Transmitter/DP Meter max limit","('[ProductCode]'='FPD500') AND ([DPAtMeterMax]{DP,DPUnits}>40000) AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS}='F')",FALSE,3,Transmitter not suitable for DP at meter max,,,,,
"Transmitter/DP Meter max limit","('[ProductCode]'='FPD500') AND ([DPAtMeterMax]{DP,DPUnits}>65000) AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS}='G')",FALSE,3,Transmitter not suitable for DP at meter max,,,,,
"Transmitter/DP Meter max limit","('[ProductCode]'='FPD500') AND ([DPAtMeterMax]{DP,DPUnits}>160000) AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS}='H')",FALSE,3,Transmitter not suitable for DP at meter max,,,,,
"Transmitter/DP Meter max limit","('[ProductCode]'='FPD500') AND ([DPAtMeterMax]{DP,DPUnits}>250000) AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS}='L')",FALSE,3,Transmitter not suitable for DP at meter max,,,,,
"Steam not for IOMaster",('[ProductCode]'='FPD510') AND ('[FluidName]'='Steam (Saturated)'),FALSE,3,Steam isn't supported for the IOMaster by this application,,,,,
,"('[ProductCode]'='FPD510') AND ([SelectedItem]{CH/FPD5/PRESS/RAT} IN ('B3','B1','F2','F4') AND NOT('[PipeSchedule]' IN ('80','80S')))",FALSE,3,Mismatch between process pipe schedule and the Sch 80 pipework supplied as part of the Pressure Rating selection,,,,,
,"('[ProductCode]'='FPD510') AND ([SelectedItem]{CH/FPD5/PRESS/RAT} IN('A1','D2','A3','D4') AND NOT('[PipeSchedule]' IN ('40','40S')))",FALSE,3,Mismatch between process pipe schedule and the Sch 40 pipework supplied as part of the Pressure Rating selection,,,,,
,"([SelectedItem]{CH/FPD5/MODEL/DESIGN}='M1') AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS}='A') AND ([OperatingPressure]{pressure,OperatingPressureUnits}>600000) ",FALSE,3,Operating pressure exceeds max. static pressure for transmitter of 6 Bar[A],,,,,
,"([SelectedItem]{CH/FPD5/MODEL/DESIGN} IN ('V1','V2')) AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS}='A') AND ([OperatingPressure]{pressure,OperatingPressureUnits}>2000000) ",FALSE,3,Operating pressure exceeds max. static pressure for transmitter of 20 Bar[A],,,,,
,"([SelectedItem]{CH/FPD5/MODEL/DESIGN} IN ('V1','V2')) AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS}='B') AND ([OperatingPressure]{pressure,OperatingPressureUnits}>7000000) ",FALSE,3,Operating pressure exceeds max. static pressure for transmitter of 70 Bar[A],,,,,
,"([SelectedItem]{CH/FPD5/MODEL/DESIGN}='M1') AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS} IN ('C','F','L')) AND ([OperatingPressure]{pressure,OperatingPressureUnits}>10000000) ",FALSE,3,Operating pressure exceeds max. static pressure for transmitter of 100 Bar[A],,,,,
,"([SelectedItem]{CH/FPD5/MODEL/DESIGN} IN ('V1','V2')) AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS}='E') AND ([OperatingPressure]{pressure,OperatingPressureUnits}>16000000) ",FALSE,3,Operating pressure exceeds max. static pressure for transmitter of 160 Bar[A],,,,,
,"([SelectedItem]{CH/FPD5/MODEL/DESIGN}='V1') AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS} IN ('G','H')) AND ([OperatingPressure]{pressure,OperatingPressureUnits}>20000000) ",FALSE,3,Operating pressure exceeds max. static pressure for transmitter of 200 Bar[A],,,,,
,"([SelectedItem]{CH/FPD5/MODEL/DESIGN}='V2') AND ([SelectedItem]{CH/FPD5/SPAN/LIMITS} IN ('G','H')) AND ([OperatingPressure]{pressure,OperatingPressureUnits}>21000000) ",FALSE,3,Operating pressure exceeds max. static pressure for transmitter of 210 Bar[A],,,,,
,"([OperatingPressure]{pressure,OperatingPressureUnits}>10101300.25) ",FALSE,3,Operating pressure exceeds max. static pressure for Compact Meters (100 Bar g),,,,,
,"('[ProductCode]'='FPD570') AND ([DPAtMeterMax]{DP,DPUnits}>250000)",FALSE,2,Differential pressure too high,,,,,
,"('[ProductCode]'='FPD570') AND ([DPAtMeterMax]{DP,DPUnits}<200)",FALSE,2,Differential pressure too low,,,,,
,('[ProductCode]'='FPD570') AND ([ReynoldsNo]<500),FALSE,2,Reynolds number too low,,,,,
,"('[ProductCode]'='FPD510') AND ([DPAtMeterMax]{DP,DPUnits}>[OperatingPressure]{Pressure,OperatingPressureUnits}*0.054)",FALSE,2,Differential pressure too high,,,,,
,"('[ProductCode]'='FPD510') AND ([DPAtMeterMax]{DP,DPUnits}<200)",FALSE,2,Differential pressure too low,,,,,
,('[ProductCode]'='FPD510') AND ([ReynoldsNo]<5000),FALSE,2,Reynolds number too low,,,,,
,"('[ProductCode]'='FPD500') AND (([OperatingPressure]{Pressure,OperatingPressureUnits}-[DPAtMeterMax]{DP,DPUnits})/[OperatingPressure]{Pressure,OperatingPressureUnits}<0.75)",FALSE,2,Differential pressure too high,,,,,
,"('[ProductCode]'='FPD500') AND ([DPAtMeterMax]{DP,DPUnits}<2)",FALSE,2,Differential pressure too low,,,,,
,('[ProductCode]'='FPD500') AND ([ReynoldsNo]<5000) AND ([SelectedItem]{CH/FPD5/BETA/RATIO}='1'),FALSE,2,Reynolds number too low for Beta=0.4,,,,,
,('[ProductCode]'='FPD500') AND ([ReynoldsNo]<(16000*0.65*0.65)) AND ([SelectedItem]{CH/FPD5/BETA/RATIO}='2'),FALSE,2,Reynolds number too low for Beta=0.65,,,,,
CriticalFlow,"('[ProductCode]'='FPD550') AND (ISNULL([NormalFlow], 0) <= 0)",FALSE,2,"As no normal flowrate figure has been entered, the software is unable to carry out a critical resonance (wake) test.",,,,,
CriticalFlow,"('[ProductCode]'='FPD550') AND ([CriticalVL] <= [VelocityNormalFlow]) AND ([VelocityNormalFlow] <= [CriticalVH])",FALSE,3,"Velocity at normal flow is between critical velocities.",,,,,
DP warning,"(ISNULL([MinimumFlow],-1)<0)",FALSE,1,"As no minimum flow has been provided turndown checks will not be completed",,,,,
DP warning,"[MinimumFlow]{flow,MinimumFlowUnits} < 0.25 * [MeterMaxFlow]{flow, MeterMaxFlowUnits}",FALSE,2,"Flow measurement range “Turndown” is greater than 4:1.  We recommend that you ensure that any transmitter used with this meter will have sufficient accuracy at your specified Normal and Minimum flowrates.",,,,,
"Max Reynolds for All products","([ReynoldsNoAtMeterMax] is not null) AND ([ReynoldsNoAtMeterMax] > 100000000)",FALSE,4,"Reynolds number is greater than the limit 100,000,000 for any type of differential pressure flow metering. No other type of flow meter in this software package is suitable for such a condition. Please check the accuracy of the input data, consider decreasing the reynolds number by increasing the line size.",,,,,
DP / transmitter warning,"[DPAtMeterMax]{DP,DPUnits} < 125",FALSE,3,Note: DP is low - check transmitter suitable for these conditions.,,,,,
