Description,CharacteristicCode_Logic,Active,MassEquation_kg
,(CH/FPD5/METER/SIZE=015) AND (CH/FPD5/PRESS/RAT=Y0),TRUE,2.3
,(CH/FPD5/METER/SIZE=015) AND (CH/FPD5/PRESS/RAT=A1),TRUE,3.97
,(CH/FPD5/METER/SIZE=015) AND (CH/FPD5/PRESS/RAT=A3),TRUE,4.18
,(CH/FPD5/METER/SIZE=015) AND (CH/FPD5/PRESS/RAT=B1),TRUE,3.97
,(CH/FPD5/METER/SIZE=015) AND (CH/FPD5/PRESS/RAT=B3),TRUE,4.18
,(CH/FPD5/METER/SIZE=015) AND (CH/FPD5/PRESS/RAT=D2),TRUE,3.77
,(CH/FPD5/METER/SIZE=015) AND (CH/FPD5/PRESS/RAT=D4),TRUE,3.98
,(CH/FPD5/METER/SIZE=015) AND (CH/FPD5/PRESS/RAT=F2),TRUE,3.79
,(CH/FPD5/METER/SIZE=015) AND (CH/FPD5/PRESS/RAT=F4),TRUE,4.01
,(CH/FPD5/METER/SIZE=025) AND (CH/FPD5/PRESS/RAT=Y0),TRUE,2.3
,(CH/FPD5/METER/SIZE=025) AND (CH/FPD5/PRESS/RAT=A1),TRUE,4.82
,(CH/FPD5/METER/SIZE=025) AND (CH/FPD5/PRESS/RAT=A3),TRUE,5.27
,(CH/FPD5/METER/SIZE=025) AND (CH/FPD5/PRESS/RAT=B1),TRUE,5.72
,(CH/FPD5/METER/SIZE=025) AND (CH/FPD5/PRESS/RAT=B3),TRUE,6.17
,(CH/FPD5/METER/SIZE=025) AND (CH/FPD5/PRESS/RAT=D2),TRUE,5.07
,(CH/FPD5/METER/SIZE=025) AND (CH/FPD5/PRESS/RAT=D4),TRUE,5.52
,(CH/FPD5/METER/SIZE=025) AND (CH/FPD5/PRESS/RAT=F2),TRUE,5.07
,(CH/FPD5/METER/SIZE=025) AND (CH/FPD5/PRESS/RAT=F4),TRUE,5.52
,(CH/FPD5/METER/SIZE=040) AND (CH/FPD5/PRESS/RAT=Y0),TRUE,2.5
,(CH/FPD5/METER/SIZE=040) AND (CH/FPD5/PRESS/RAT=A1),TRUE,8.16
,(CH/FPD5/METER/SIZE=040) AND (CH/FPD5/PRESS/RAT=A3),TRUE,9.47
,(CH/FPD5/METER/SIZE=040) AND (CH/FPD5/PRESS/RAT=B1),TRUE,9.41
,(CH/FPD5/METER/SIZE=040) AND (CH/FPD5/PRESS/RAT=B3),TRUE,10.72
,(CH/FPD5/METER/SIZE=040) AND (CH/FPD5/PRESS/RAT=D2),TRUE,8.47
,(CH/FPD5/METER/SIZE=040) AND (CH/FPD5/PRESS/RAT=D4),TRUE,9.78
,(CH/FPD5/METER/SIZE=040) AND (CH/FPD5/PRESS/RAT=F2),TRUE,8.56
,(CH/FPD5/METER/SIZE=040) AND (CH/FPD5/PRESS/RAT=F4),TRUE,9.87
,(CH/FPD5/MODEL/DESIGN=V1) AND ((CH/FPD5/HOUSE/MAT=H) OR (CH/FPD5/HOUSE/MAT=L)),TRUE,3.5
,(CH/FPD5/MODEL/DESIGN=V1) AND ((CH/FPD5/HOUSE/MAT=S) OR (CH/FPD5/HOUSE/MAT=T)),TRUE,3.5
,(CH/FPD5/MODEL/DESIGN=V2) AND ((CH/FPD5/HOUSE/MAT=A) OR (CH/FPD5/HOUSE/MAT=B)),TRUE,4
,(CH/FPD5/MODEL/DESIGN=V2) AND ((CH/FPD5/HOUSE/MAT=S) OR (CH/FPD5/HOUSE/MAT=T)),TRUE,6
,(CH/FPD5/MODEL/DESIGN=M1) AND ((CH/FPD5/HOUSE/MAT=A) OR (CH/FPD5/HOUSE/MAT=B)),TRUE,3
,(CH/FPD5/MODEL/DESIGN=M1) AND ((CH/FPD5/HOUSE/MAT=S) OR (CH/FPD5/HOUSE/MAT=T)),TRUE,5
,(CH/FPD5/MANIFOLD=3),TRUE,1.75
,(CH/FPD5/MANIFOLD=5),TRUE,2.5
