Notes,Expression,SelectionOnly,RuleType,ShortName,EnglishUS,French,German,Spanish,Russian
Beta low stop ISA 1932,([SelectedItem]{CH/FPD/PRODUCT/DES}='N2') AND ([Beta] IS NOT NULL) AND ([Beta] < 0.3),FALSE,4,Beta value must be no less than 0.3 - Consider using a lower DP to achieve a larger Beta or consider using a larger line size.,,,,,
Beta high stop ISA 1932,([SelectedItem]{CH/FPD/PRODUCT/DES}='N2') AND ([Beta] IS NOT NULL) AND ([Beta] > 0.8),FALSE,4,Beta value must be no more than 0.8 - Consider reducing the Beta by accepting a higher DP or consider using a smaller line size. Please check the acceptability of the overall pressure loss.,,,,,
Reynolds @ meter max ISA 1932,([SelectedItem]{CH/FPD/PRODUCT/DES}='N2') AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND (([ReynoldsNoAtMeterMax] < 70000) OR ([ReynoldsNoAtMeterMax] >1e7)) AND ([Beta] IS NOT NULL) AND (([Beta] >= 0.30) AND ([Beta] <= 0.44)),FALSE,2,Pipe Reynolds number must be between 70000 and 10^7 for Beta Ratio of 0.30 to 0.44.,,,,,
Reynolds @ meter max ISA 1932,([SelectedItem]{CH/FPD/PRODUCT/DES}='N2') AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND (([ReynoldsNoAtMeterMax] < 20000) OR ([ReynoldsNoAtMeterMax] >1e7)) AND ([Beta] IS NOT NULL) AND (([Beta] >= 0.44) AND ([Beta] <= 0.80)),FALSE,2,Pipe Reynolds number must be between 20000 and 10^7 for Beta Ratio of 0.44 to 0.80.,,,,,
Reynolds @ meter normal ISA 1932,([SelectedItem]{CH/FPD/PRODUCT/DES}='N2') AND ([ReynoldsNoAtNormal] IS NOT NULL) AND (([ReynoldsNoAtNormal] < 70000) OR ([ReynoldsNoAtNormal] >1e7)) AND ([Beta] IS NOT NULL) AND (([Beta] >= 0.30) AND ([Beta] <= 0.44)),FALSE,2,Pipe Reynolds number must be between 70000 and 10^7 for Beta Ratio of 0.30 to 0.44.,,,,,
Reynolds @ meter normal ISA 1932,([SelectedItem]{CH/FPD/PRODUCT/DES}='N2') AND ([ReynoldsNoAtNormal] IS NOT NULL) AND (([ReynoldsNoAtNormal] < 20000) OR ([ReynoldsNoAtNormal] >1e7)) AND ([Beta] IS NOT NULL) AND (([Beta] >= 0.44) AND ([Beta] <= 0.80)),FALSE,2,Pipe Reynolds number must be between 20000 and 10^7 for Beta Ratio of 0.44 to 0.80.,,,,,
Pipe bore too Big ISA 1932,"([SelectedItem]{CH/FPD/PRODUCT/DES}='N2') AND ([PipeID]{length,PipeIDUnits} > 0.5)",FALSE,2,Pipe Bore too large - must be no more than 500 mm.,,,,,
Pipe bore too Small ISA 1932,"([SelectedItem]{CH/FPD/PRODUCT/DES}='N2') AND ([PipeID]{length,PipeIDUnits} < 0.05)",FALSE,2,Pipe Bore too small - must be no less than 50 mm.,,,,,
Beta low stop Long Radius Nozzle ,([SelectedItem]{CH/FPD/PRODUCT/DES}='N3') AND ([Beta] IS NOT NULL) AND ([Beta] < 0.2),FALSE,4,Beta value must be no less than 0.2 - Consider using a lower DP to achieve a larger Beta or consider using a larger line size.,,,,,
Beta high stop Long Radius Nozzle  ,([SelectedItem]{CH/FPD/PRODUCT/DES}='N3') AND ([Beta] IS NOT NULL) AND ([Beta] > 0.8),FALSE,4,Beta value must be no more than 0.8 - Consider reducing the Beta by accepting a higher DP or consider using a smaller line size. Please check the acceptability of the overall pressure loss.,,,,,
